# Unicode Characters in the Tibetan Block
# Source: http://www.fileformat.info/info/unicode/block/tibetan/list.htm
"U+0F00", "\xe0\xbc\x80", "TIBETAN SYLLABLE OM (U+0F00)"
"U+0F01", "\xe0\xbc\x81", "TIBETAN MARK GTER YIG MGO TRUNCATED A (U+0F01)"
"U+0F02", "\xe0\xbc\x82", "TIBETAN MARK GTER YIG MGO -UM RNAM BCAD MA (U+0F02)"
"U+0F03", "\xe0\xbc\x83", "TIBETAN MARK GTER YIG MGO -UM GTER TSHEG MA (U+0F03)"
"U+0F04", "\xe0\xbc\x84", "TIBETAN MARK INITIAL YIG MGO MDUN MA (U+0F04)"
"U+0F05", "\xe0\xbc\x85", "TIBETAN MARK CLOSING YIG MGO SGAB MA (U+0F05)"
"U+0F06", "\xe0\xbc\x86", "TIBETAN MARK CARET YIG MGO PHUR SHAD MA (U+0F06)"
"U+0F07", "\xe0\xbc\x87", "TIBETAN MARK YIG MGO TSHEG SHAD MA (U+0F07)"
"U+0F08", "\xe0\xbc\x88", "TIBETAN MARK SBRUL SHAD (U+0F08)"
"U+0F09", "\xe0\xbc\x89", "TIBETAN MARK BSKUR YIG MGO (U+0F09)"
"U+0F0A", "\xe0\xbc\x8a", "TIBETAN MARK BKA- SHOG YIG MGO (U+0F0A)"
"U+0F0B", "\xe0\xbc\x8b", "TIBETAN MARK INTERSYLLABIC TSHEG (U+0F0B)"
"U+0F0C", "\xe0\xbc\x8c", "TIBETAN MARK DELIMITER TSHEG BSTAR (U+0F0C)"
"U+0F0D", "\xe0\xbc\x8d", "TIBETAN MARK SHAD (U+0F0D)"
"U+0F0E", "\xe0\xbc\x8e", "TIBETAN MARK NYIS SHAD (U+0F0E)"
"U+0F0F", "\xe0\xbc\x8f", "TIBETAN MARK TSHEG SHAD (U+0F0F)"
"U+0F10", "\xe0\xbc\x90", "TIBETAN MARK NYIS TSHEG SHAD (U+0F10)"
"U+0F11", "\xe0\xbc\x91", "TIBETAN MARK RIN CHEN SPUNGS SHAD (U+0F11)"
"U+0F12", "\xe0\xbc\x92", "TIBETAN MARK RGYA GRAM SHAD (U+0F12)"
"U+0F13", "\xe0\xbc\x93", "TIBETAN MARK CARET -DZUD RTAGS ME LONG CAN (U+0F13)"
"U+0F14", "\xe0\xbc\x94", "TIBETAN MARK GTER TSHEG (U+0F14)"
"U+0F15", "\xe0\xbc\x95", "TIBETAN LOGOTYPE SIGN CHAD RTAGS (U+0F15)"
"U+0F16", "\xe0\xbc\x96", "TIBETAN LOGOTYPE SIGN LHAG RTAGS (U+0F16)"
"U+0F17", "\xe0\xbc\x97", "TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS (U+0F17)"
"U+0F18", "\xe0\xbc\x98", "TIBETAN ASTROLOGICAL SIGN -KHYUD PA (U+0F18)"
"U+0F19", "\xe0\xbc\x99", "TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS (U+0F19)"
"U+0F1A", "\xe0\xbc\x9a", "TIBETAN SIGN RDEL DKAR GCIG (U+0F1A)"
"U+0F1B", "\xe0\xbc\x9b", "TIBETAN SIGN RDEL DKAR GNYIS (U+0F1B)"
"U+0F1C", "\xe0\xbc\x9c", "TIBETAN SIGN RDEL DKAR GSUM (U+0F1C)"
"U+0F1D", "\xe0\xbc\x9d", "TIBETAN SIGN RDEL NAG GCIG (U+0F1D)"
"U+0F1E", "\xe0\xbc\x9e", "TIBETAN SIGN RDEL NAG GNYIS (U+0F1E)"
"U+0F1F", "\xe0\xbc\x9f", "TIBETAN SIGN RDEL DKAR RDEL NAG (U+0F1F)"
"U+0F20", "\xe0\xbc\xa0", "TIBETAN DIGIT ZERO (U+0F20)"
"U+0F21", "\xe0\xbc\xa1", "TIBETAN DIGIT ONE (U+0F21)"
"U+0F22", "\xe0\xbc\xa2", "TIBETAN DIGIT TWO (U+0F22)"
"U+0F23", "\xe0\xbc\xa3", "TIBETAN DIGIT THREE (U+0F23)"
"U+0F24", "\xe0\xbc\xa4", "TIBETAN DIGIT FOUR (U+0F24)"
"U+0F25", "\xe0\xbc\xa5", "TIBETAN DIGIT FIVE (U+0F25)"
"U+0F26", "\xe0\xbc\xa6", "TIBETAN DIGIT SIX (U+0F26)"
"U+0F27", "\xe0\xbc\xa7", "TIBETAN DIGIT SEVEN (U+0F27)"
"U+0F28", "\xe0\xbc\xa8", "TIBETAN DIGIT EIGHT (U+0F28)"
"U+0F29", "\xe0\xbc\xa9", "TIBETAN DIGIT NINE (U+0F29)"
"U+0F2A", "\xe0\xbc\xaa", "TIBETAN DIGIT HALF ONE (U+0F2A)"
