# Unicode Characters in the Linear B Syllabary Block
# Source: http://www.fileformat.info/info/unicode/block/linear_b_syllabary/list.htm
"U+10000", "\xe1\x80\x80\x30", "LINEAR B SYLLABLE B008 A (U+10000)"
"U+10001", "\xe1\x80\x80\x31", "LINEAR B SYLLABLE B038 E (U+10001)"
"U+10002", "\xe1\x80\x80\x32", "LINEAR B SYLLABLE B028 I (U+10002)"
"U+10003", "\xe1\x80\x80\x33", "LINEAR B SYLLABLE B061 O (U+10003)"
"U+10004", "\xe1\x80\x80\x34", "LINEAR B SYLLABLE B010 U (U+10004)"
"U+10005", "\xe1\x80\x80\x35", "LINEAR B SYLLABLE B001 DA (U+10005)"
"U+10006", "\xe1\x80\x80\x36", "LINEAR B SYLLABLE B045 DE (U+10006)"
"U+10007", "\xe1\x80\x80\x37", "LINEAR B SYLLABLE B007 DI (U+10007)"
"U+10008", "\xe1\x80\x80\x38", "LINEAR B SYLLABLE B014 DO (U+10008)"
"U+10009", "\xe1\x80\x80\x39", "LINEAR B SYLLABLE B051 DU (U+10009)"
"U+1000A", "\xe1\x80\x80\x41", "LINEAR B SYLLABLE B057 JA (U+1000A)"
"U+1000B", "\xe1\x80\x80\x42", "LINEAR B SYLLABLE B046 JE (U+1000B)"
"U+1000D", "\xe1\x80\x80\x44", "LINEAR B SYLLABLE B036 JO (U+1000D)"
"U+1000E", "\xe1\x80\x80\x45", "LINEAR B SYLLABLE B065 JU (U+1000E)"
"U+1000F", "\xe1\x80\x80\x46", "LINEAR B SYLLABLE B077 KA (U+1000F)"
"U+10010", "\xe1\x80\x81\x30", "LINEAR B SYLLABLE B044 KE (U+10010)"
"U+10011", "\xe1\x80\x81\x31", "LINEAR B SYLLABLE B067 KI (U+10011)"
"U+10012", "\xe1\x80\x81\x32", "LINEAR B SYLLABLE B070 KO (U+10012)"
"U+10013", "\xe1\x80\x81\x33", "LINEAR B SYLLABLE B081 KU (U+10013)"
"U+10014", "\xe1\x80\x81\x34", "LINEAR B SYLLABLE B080 MA (U+10014)"
"U+10015", "\xe1\x80\x81\x35", "LINEAR B SYLLABLE B013 ME (U+10015)"
"U+10016", "\xe1\x80\x81\x36", "LINEAR B SYLLABLE B073 MI (U+10016)"
"U+10017", "\xe1\x80\x81\x37", "LINEAR B SYLLABLE B015 MO (U+10017)"
"U+10018", "\xe1\x80\x81\x38", "LINEAR B SYLLABLE B023 MU (U+10018)"
"U+10019", "\xe1\x80\x81\x39", "LINEAR B SYLLABLE B006 NA (U+10019)"
"U+1001A", "\xe1\x80\x81\x41", "LINEAR B SYLLABLE B024 NE (U+1001A)"
"U+1001B", "\xe1\x80\x81\x42", "LINEAR B SYLLABLE B030 NI (U+1001B)"
"U+1001C", "\xe1\x80\x81\x43", "LINEAR B SYLLABLE B052 NO (U+1001C)"
"U+1001D", "\xe1\x80\x81\x44", "LINEAR B SYLLABLE B055 NU (U+1001D)"
"U+1001E", "\xe1\x80\x81\x45", "LINEAR B SYLLABLE B003 PA (U+1001E)"
"U+1001F", "\xe1\x80\x81\x46", "LINEAR B SYLLABLE B072 PE (U+1001F)"
