# Unicode Characters in the Linear B Ideograms Block
# Source: http://www.fileformat.info/info/unicode/block/linear_b_ideograms/list.htm
"U+10080", "\xe1\x80\x88\x30", "LINEAR B IDEOGRAM B100 MAN (U+10080)"
"U+10081", "\xe1\x80\x88\x31", "LINEAR B IDEOGRAM B102 WOMAN (U+10081)"
"U+10082", "\xe1\x80\x88\x32", "LINEAR B IDEOGRAM B104 DEER (U+10082)"
"U+10083", "\xe1\x80\x88\x33", "LINEAR B IDEOGRAM B105 EQUID (U+10083)"
"U+10084", "\xe1\x80\x88\x34", "LINEAR B IDEOGRAM B105F MARE (U+10084)"
"U+10085", "\xe1\x80\x88\x35", "LINEAR B IDEOGRAM B105M STALLION (U+10085)"
"U+10086", "\xe1\x80\x88\x36", "LINEAR B IDEOGRAM B106F EWE (U+10086)"
"U+10087", "\xe1\x80\x88\x37", "LINEAR B IDEOGRAM B106M RAM (U+10087)"
"U+10088", "\xe1\x80\x88\x38", "LINEAR B IDEOGRAM B107F SHE-GOAT (U+10088)"
"U+10089", "\xe1\x80\x88\x39", "LINEAR B IDEOGRAM B107M HE-GOAT (U+10089)"
"U+1008A", "\xe1\x80\x88\x41", "LINEAR B IDEOGRAM B108F SOW (U+1008A)"
"U+1008B", "\xe1\x80\x88\x42", "LINEAR B IDEOGRAM B108M BOAR (U+1008B)"
"U+1008C", "\xe1\x80\x88\x43", "LINEAR B IDEOGRAM B109F COW (U+1008C)"
"U+1008D", "\xe1\x80\x88\x44", "LINEAR B IDEOGRAM B109M BULL (U+1008D)"
"U+1008E", "\xe1\x80\x88\x45", "LINEAR B IDEOGRAM B120 WHEAT (U+1008E)"
"U+1008F", "\xe1\x80\x88\x46", "LINEAR B IDEOGRAM B121 BARLEY (U+1008F)"
"U+10090", "\xe1\x80\x89\x30", "LINEAR B IDEOGRAM B122 OLIVE (U+10090)"
"U+10091", "\xe1\x80\x89\x31", "LINEAR B IDEOGRAM B123 SPICE (U+10091)"
"U+10092", "\xe1\x80\x89\x32", "LINEAR B IDEOGRAM B125 CYPERUS (U+10092)"
"U+10093", "\xe1\x80\x89\x33", "LINEAR B MONOGRAM B127 KAPO (U+10093)"
"U+10094", "\xe1\x80\x89\x34", "LINEAR B MONOGRAM B128 KANAKO (U+10094)"
"U+10095", "\xe1\x80\x89\x35", "LINEAR B IDEOGRAM B130 OIL (U+10095)"
"U+10096", "\xe1\x80\x89\x36", "LINEAR B IDEOGRAM B131 WINE (U+10096)"
"U+10097", "\xe1\x80\x89\x37", "LINEAR B IDEOGRAM B132 (U+10097)"
"U+10098", "\xe1\x80\x89\x38", "LINEAR B MONOGRAM B133 AREPA (U+10098)"
"U+10099", "\xe1\x80\x89\x39", "LINEAR B MONOGRAM B135 MERI (U+10099)"
"U+1009A", "\xe1\x80\x89\x41", "LINEAR B IDEOGRAM B140 BRONZE (U+1009A)"
"U+1009B", "\xe1\x80\x89\x42", "LINEAR B IDEOGRAM B141 GOLD (U+1009B)"
"U+1009C", "\xe1\x80\x89\x43", "LINEAR B IDEOGRAM B142 (U+1009C)"
"U+1009D", "\xe1\x80\x89\x44", "LINEAR B IDEOGRAM B145 WOOL (U+1009D)"
"U+1009E", "\xe1\x80\x89\x45", "LINEAR B IDEOGRAM B146 (U+1009E)"
"U+1009F", "\xe1\x80\x89\x46", "LINEAR B IDEOGRAM B150 (U+1009F)"
"U+100A0", "\xe1\x80\x8a\x30", "LINEAR B IDEOGRAM B151 HORN (U+100A0)"
"U+100A1", "\xe1\x80\x8a\x31", "LINEAR B IDEOGRAM B152 (U+100A1)"
