# Unicode Characters in the Aegean Numbers Block
# Source: http://www.fileformat.info/info/unicode/block/aegean_numbers/list.htm
"U+10100", "\xe1\x80\x90\x30", "AEGEAN WORD SEPARATOR LINE (U+10100)"
"U+10101", "\xe1\x80\x90\x31", "AEGEAN WORD SEPARATOR DOT (U+10101)"
"U+10102", "\xe1\x80\x90\x32", "AEGEAN CHECK MARK (U+10102)"
"U+10107", "\xe1\x80\x90\x37", "AEGEAN NUMBER ONE (U+10107)"
"U+10108", "\xe1\x80\x90\x38", "AEGEAN NUMBER TWO (U+10108)"
"U+10109", "\xe1\x80\x90\x39", "AEGEAN NUMBER THREE (U+10109)"
"U+1010A", "\xe1\x80\x90\x41", "AEGEAN NUMBER FOUR (U+1010A)"
"U+1010B", "\xe1\x80\x90\x42", "AEGEAN NUMBER FIVE (U+1010B)"
"U+1010C", "\xe1\x80\x90\x43", "AEGEAN NUMBER SIX (U+1010C)"
"U+1010D", "\xe1\x80\x90\x44", "AEGEAN NUMBER SEVEN (U+1010D)"
"U+1010E", "\xe1\x80\x90\x45", "AEGEAN NUMBER EIGHT (U+1010E)"
"U+1010F", "\xe1\x80\x90\x46", "AEGEAN NUMBER NINE (U+1010F)"
"U+10110", "\xe1\x80\x91\x30", "AEGEAN NUMBER TEN (U+10110)"
"U+10111", "\xe1\x80\x91\x31", "AEGEAN NUMBER TWENTY (U+10111)"
"U+10112", "\xe1\x80\x91\x32", "AEGEAN NUMBER THIRTY (U+10112)"
"U+10113", "\xe1\x80\x91\x33", "AEGEAN NUMBER FORTY (U+10113)"
"U+10114", "\xe1\x80\x91\x34", "AEGEAN NUMBER FIFTY (U+10114)"
"U+10115", "\xe1\x80\x91\x35", "AEGEAN NUMBER SIXTY (U+10115)"
"U+10116", "\xe1\x80\x91\x36", "AEGEAN NUMBER SEVENTY (U+10116)"
"U+10117", "\xe1\x80\x91\x37", "AEGEAN NUMBER EIGHTY (U+10117)"
"U+10118", "\xe1\x80\x91\x38", "AEGEAN NUMBER NINETY (U+10118)"
"U+10119", "\xe1\x80\x91\x39", "AEGEAN NUMBER ONE HUNDRED (U+10119)"
"U+1011A", "\xe1\x80\x91\x41", "AEGEAN NUMBER TWO HUNDRED (U+1011A)"
"U+1011B", "\xe1\x80\x91\x42", "AEGEAN NUMBER THREE HUNDRED (U+1011B)"
"U+1011C", "\xe1\x80\x91\x43", "AEGEAN NUMBER FOUR HUNDRED (U+1011C)"
"U+1011D", "\xe1\x80\x91\x44", "AEGEAN NUMBER FIVE HUNDRED (U+1011D)"
"U+1011E", "\xe1\x80\x91\x45", "AEGEAN NUMBER SIX HUNDRED (U+1011E)"
"U+1011F", "\xe1\x80\x91\x46", "AEGEAN NUMBER SEVEN HUNDRED (U+1011F)"
"U+10120", "\xe1\x80\x92\x30", "AEGEAN NUMBER EIGHT HUNDRED (U+10120)"
"U+10121", "\xe1\x80\x92\x31", "AEGEAN NUMBER NINE HUNDRED (U+10121)"
"U+10122", "\xe1\x80\x92\x32", "AEGEAN NUMBER ONE THOUSAND (U+10122)"
"U+10123", "\xe1\x80\x92\x33", "AEGEAN NUMBER TWO THOUSAND (U+10123)"
