# Unicode Characters in the Ancient Greek Numbers Block
# Source: http://www.fileformat.info/info/unicode/block/ancient_greek_numbers/list.htm
"U+10140", "\xe1\x80\x94\x30", "GREEK ACROPHONIC ATTIC ONE QUARTER (U+10140)"
"U+10141", "\xe1\x80\x94\x31", "GREEK ACROPHONIC ATTIC ONE HALF (U+10141)"
"U+10142", "\xe1\x80\x94\x32", "GREEK ACROPHONIC ATTIC ONE DRACHMA (U+10142)"
"U+10143", "\xe1\x80\x94\x33", "GREEK ACROPHONIC ATTIC FIVE (U+10143)"
"U+10144", "\xe1\x80\x94\x34", "GREEK ACROPHONIC ATTIC FIFTY (U+10144)"
"U+10145", "\xe1\x80\x94\x35", "GREEK ACROPHONIC ATTIC FIVE HUNDRED (U+10145)"
"U+10146", "\xe1\x80\x94\x36", "GREEK ACROPHONIC ATTIC FIVE THOUSAND (U+10146)"
"U+10147", "\xe1\x80\x94\x37", "GREEK ACROPHONIC ATTIC FIFTY THOUSAND (U+10147)"
"U+10148", "\xe1\x80\x94\x38", "GREEK ACROPHONIC ATTIC FIVE TALENTS (U+10148)"
"U+10149", "\xe1\x80\x94\x39", "GREEK ACROPHONIC ATTIC TEN TALENTS (U+10149)"
"U+1014A", "\xe1\x80\x94\x41", "GREEK ACROPHONIC ATTIC FIFTY TALENTS (U+1014A)"
"U+1014B", "\xe1\x80\x94\x42", "GREEK ACROPHONIC ATTIC ONE HUNDRED TALENTS (U+1014B)"
"U+1014C", "\xe1\x80\x94\x43", "GREEK ACROPHONIC ATTIC FIVE HUNDRED TALENTS (U+1014C)"
"U+1014D", "\xe1\x80\x94\x44", "GREEK ACROPHONIC ATTIC ONE THOUSAND TALENTS (U+1014D)"
"U+1014E", "\xe1\x80\x94\x45", "GREEK ACROPHONIC ATTIC FIVE THOUSAND TALENTS (U+1014E)"
"U+1014F", "\xe1\x80\x94\x46", "GREEK ACROPHONIC ATTIC FIVE STATERS (U+1014F)"
"U+10150", "\xe1\x80\x95\x30", "GREEK ACROPHONIC ATTIC TEN STATERS (U+10150)"
"U+10151", "\xe1\x80\x95\x31", "GREEK ACROPHONIC ATTIC FIFTY STATERS (U+10151)"
"U+10152", "\xe1\x80\x95\x32", "GREEK ACROPHONIC ATTIC ONE HUNDRED STATERS (U+10152)"
"U+10153", "\xe1\x80\x95\x33", "GREEK ACROPHONIC ATTIC FIVE HUNDRED STATERS (U+10153)"
"U+10154", "\xe1\x80\x95\x34", "GREEK ACROPHONIC ATTIC ONE THOUSAND STATERS (U+10154)"
"U+10155", "\xe1\x80\x95\x35", "GREEK ACROPHONIC ATTIC TEN THOUSAND STATERS (U+10155)"
"U+10156", "\xe1\x80\x95\x36", "GREEK ACROPHONIC ATTIC FIFTY THOUSAND STATERS (U+10156)"
"U+10157", "\xe1\x80\x95\x37", "GREEK ACROPHONIC ATTIC TEN MNAS (U+10157)"
"U+10158", "\xe1\x80\x95\x38", "GREEK ACROPHONIC HERAEUM ONE PLETHRON (U+10158)"
