# Unicode Characters in the Phaistos Disc Block
# Source: http://www.fileformat.info/info/unicode/block/phaistos_disc/list.htm
"U+101D0", "\xe1\x80\x9d\x30", "PHAISTOS DISC SIGN PEDESTRIAN (U+101D0)"
"U+101D1", "\xe1\x80\x9d\x31", "PHAISTOS DISC SIGN PLUMED HEAD (U+101D1)"
"U+101D2", "\xe1\x80\x9d\x32", "PHAISTOS DISC SIGN TATTOOED HEAD (U+101D2)"
"U+101D3", "\xe1\x80\x9d\x33", "PHAISTOS DISC SIGN CAPTIVE (U+101D3)"
"U+101D4", "\xe1\x80\x9d\x34", "PHAISTOS DISC SIGN CHILD (U+101D4)"
"U+101D5", "\xe1\x80\x9d\x35", "PHAISTOS DISC SIGN WOMAN (U+101D5)"
"U+101D6", "\xe1\x80\x9d\x36", "PHAISTOS DISC SIGN HELMET (U+101D6)"
"U+101D7", "\xe1\x80\x9d\x37", "PHAISTOS DISC SIGN GAUNTLET (U+101D7)"
"U+101D8", "\xe1\x80\x9d\x38", "PHAISTOS DISC SIGN TIARA (U+101D8)"
"U+101D9", "\xe1\x80\x9d\x39", "PHAISTOS DISC SIGN ARROW (U+101D9)"
"U+101DA", "\xe1\x80\x9d\x41", "PHAISTOS DISC SIGN BOW (U+101DA)"
"U+101DB", "\xe1\x80\x9d\x42", "PHAISTOS DISC SIGN SHIELD (U+101DB)"
"U+101DC", "\xe1\x80\x9d\x43", "PHAISTOS DISC SIGN CLUB (U+101DC)"
"U+101DD", "\xe1\x80\x9d\x44", "PHAISTOS DISC SIGN MANACLES (U+101DD)"
"U+101DE", "\xe1\x80\x9d\x45", "PHAISTOS DISC SIGN MATTOCK (U+101DE)"
"U+101DF", "\xe1\x80\x9d\x46", "PHAISTOS DISC SIGN SAW (U+101DF)"
"U+101E0", "\xe1\x80\x9e\x30", "PHAISTOS DISC SIGN LID (U+101E0)"
"U+101E1", "\xe1\x80\x9e\x31", "PHAISTOS DISC SIGN BOOMERANG (U+101E1)"
"U+101E2", "\xe1\x80\x9e\x32", "PHAISTOS DISC SIGN CARPENTRY PLANE (U+101E2)"
"U+101E3", "\xe1\x80\x9e\x33", "PHAISTOS DISC SIGN DOLIUM (U+101E3)"
"U+101E4", "\xe1\x80\x9e\x34", "PHAISTOS DISC SIGN COMB (U+101E4)"
"U+101E5", "\xe1\x80\x9e\x35", "PHAISTOS DISC SIGN SLING (U+101E5)"
"U+101E6", "\xe1\x80\x9e\x36", "PHAISTOS DISC SIGN COLUMN (U+101E6)"
"U+101E7", "\xe1\x80\x9e\x37", "PHAISTOS DISC SIGN BEEHIVE (U+101E7)"
"U+101E8", "\xe1\x80\x9e\x38", "PHAISTOS DISC SIGN SHIP (U+101E8)"
"U+101E9", "\xe1\x80\x9e\x39", "PHAISTOS DISC SIGN HORN (U+101E9)"
"U+101EA", "\xe1\x80\x9e\x41", "PHAISTOS DISC SIGN HIDE (U+101EA)"
"U+101EB", "\xe1\x80\x9e\x42", "PHAISTOS DISC SIGN BULLS LEG (U+101EB)"
"U+101EC", "\xe1\x80\x9e\x43", "PHAISTOS DISC SIGN CAT (U+101EC)"
"U+101ED", "\xe1\x80\x9e\x44", "PHAISTOS DISC SIGN RAM (U+101ED)"
"U+101EE", "\xe1\x80\x9e\x45", "PHAISTOS DISC SIGN EAGLE (U+101EE)"
"U+101EF", "\xe1\x80\x9e\x46", "PHAISTOS DISC SIGN DOVE (U+101EF)"
"U+101F0", "\xe1\x80\x9f\x30", "PHAISTOS DISC SIGN TUNNY (U+101F0)"
"U+101F1", "\xe1\x80\x9f\x31", "PHAISTOS DISC SIGN BEE (U+101F1)"
"U+101F2", "\xe1\x80\x9f\x32", "PHAISTOS DISC SIGN PLANE TREE (U+101F2)"
"U+101F3", "\xe1\x80\x9f\x33", "PHAISTOS DISC SIGN VINE (U+101F3)"
"U+101F4", "\xe1\x80\x9f\x34", "PHAISTOS DISC SIGN PAPYRUS (U+101F4)"
"U+101F5", "\xe1\x80\x9f\x35", "PHAISTOS DISC SIGN ROSETTE (U+101F5)"
"U+101F6", "\xe1\x80\x9f\x36", "PHAISTOS DISC SIGN LILY (U+101F6)"
"U+101F7", "\xe1\x80\x9f\x37", "PHAISTOS DISC SIGN OX BACK (U+101F7)"
"U+101F8", "\xe1\x80\x9f\x38", "PHAISTOS DISC SIGN FLUTE (U+101F8)"
"U+101F9", "\xe1\x80\x9f\x39", "PHAISTOS DISC SIGN GRATER (U+101F9)"
"U+101FA", "\xe1\x80\x9f\x41", "PHAISTOS DISC SIGN STRAINER (U+101FA)"
"U+101FB", "\xe1\x80\x9f\x42", "PHAISTOS DISC SIGN SMALL AXE (U+101FB)"
"U+101FC", "\xe1\x80\x9f\x43", "PHAISTOS DISC SIGN WAVY BAND (U+101FC)"
"U+101FD", "\xe1\x80\x9f\x44", "PHAISTOS DISC SIGN COMBINING OBLIQUE STROKE (U+101FD)"
