# Unicode Characters in the Lycian Block
# Source: http://www.fileformat.info/info/unicode/block/lycian/list.htm
"U+10280", "\xe1\x80\xa8\x30", "LYCIAN LETTER A (U+10280)"
"U+10281", "\xe1\x80\xa8\x31", "LYCIAN LETTER E (U+10281)"
"U+10282", "\xe1\x80\xa8\x32", "LYCIAN LETTER B (U+10282)"
"U+10283", "\xe1\x80\xa8\x33", "LYCIAN LETTER BH (U+10283)"
"U+10284", "\xe1\x80\xa8\x34", "LYCIAN LETTER G (U+10284)"
"U+10285", "\xe1\x80\xa8\x35", "LYCIAN LETTER D (U+10285)"
"U+10286", "\xe1\x80\xa8\x36", "LYCIAN LETTER I (U+10286)"
"U+10287", "\xe1\x80\xa8\x37", "LYCIAN LETTER W (U+10287)"
"U+10288", "\xe1\x80\xa8\x38", "LYCIAN LETTER Z (U+10288)"
"U+10289", "\xe1\x80\xa8\x39", "LYCIAN LETTER TH (U+10289)"
"U+1028A", "\xe1\x80\xa8\x41", "LYCIAN LETTER J (U+1028A)"
"U+1028B", "\xe1\x80\xa8\x42", "LYCIAN LETTER K (U+1028B)"
"U+1028C", "\xe1\x80\xa8\x43", "LYCIAN LETTER Q (U+1028C)"
"U+1028D", "\xe1\x80\xa8\x44", "LYCIAN LETTER L (U+1028D)"
"U+1028E", "\xe1\x80\xa8\x45", "LYCIAN LETTER M (U+1028E)"
"U+1028F", "\xe1\x80\xa8\x46", "LYCIAN LETTER N (U+1028F)"
"U+10290", "\xe1\x80\xa9\x30", "LYCIAN LETTER MM (U+10290)"
"U+10291", "\xe1\x80\xa9\x31", "LYCIAN LETTER NN (U+10291)"
"U+10292", "\xe1\x80\xa9\x32", "LYCIAN LETTER U (U+10292)"
"U+10293", "\xe1\x80\xa9\x33", "LYCIAN LETTER P (U+10293)"
"U+10294", "\xe1\x80\xa9\x34", "LYCIAN LETTER KK (U+10294)"
"U+10295", "\xe1\x80\xa9\x35", "LYCIAN LETTER R (U+10295)"
"U+10296", "\xe1\x80\xa9\x36", "LYCIAN LETTER S (U+10296)"
"U+10297", "\xe1\x80\xa9\x37", "LYCIAN LETTER T (U+10297)"
"U+10298", "\xe1\x80\xa9\x38", "LYCIAN LETTER TT (U+10298)"
"U+10299", "\xe1\x80\xa9\x39", "LYCIAN LETTER AN (U+10299)"
"U+1029A", "\xe1\x80\xa9\x41", "LYCIAN LETTER EN (U+1029A)"
"U+1029B", "\xe1\x80\xa9\x42", "LYCIAN LETTER H (U+1029B)"
"U+1029C", "\xe1\x80\xa9\x43", "LYCIAN LETTER X (U+1029C)"
