# Unicode Characters in the Carian Block
# Source: http://www.fileformat.info/info/unicode/block/carian/list.htm
"U+102A0", "\xe1\x80\xaa\x30", "CARIAN LETTER A (U+102A0)"
"U+102A1", "\xe1\x80\xaa\x31", "CARIAN LETTER P2 (U+102A1)"
"U+102A2", "\xe1\x80\xaa\x32", "CARIAN LETTER D (U+102A2)"
"U+102A3", "\xe1\x80\xaa\x33", "CARIAN LETTER L (U+102A3)"
"U+102A4", "\xe1\x80\xaa\x34", "CARIAN LETTER UUU (U+102A4)"
"U+102A5", "\xe1\x80\xaa\x35", "CARIAN LETTER R (U+102A5)"
"U+102A6", "\xe1\x80\xaa\x36", "CARIAN LETTER LD (U+102A6)"
"U+102A7", "\xe1\x80\xaa\x37", "CARIAN LETTER A2 (U+102A7)"
"U+102A8", "\xe1\x80\xaa\x38", "CARIAN LETTER Q (U+102A8)"
"U+102A9", "\xe1\x80\xaa\x39", "CARIAN LETTER B (U+102A9)"
"U+102AA", "\xe1\x80\xaa\x41", "CARIAN LETTER M (U+102AA)"
"U+102AB", "\xe1\x80\xaa\x42", "CARIAN LETTER O (U+102AB)"
"U+102AC", "\xe1\x80\xaa\x43", "CARIAN LETTER D2 (U+102AC)"
"U+102AD", "\xe1\x80\xaa\x44", "CARIAN LETTER T (U+102AD)"
"U+102AE", "\xe1\x80\xaa\x45", "CARIAN LETTER SH (U+102AE)"
"U+102AF", "\xe1\x80\xaa\x46", "CARIAN LETTER SH2 (U+102AF)"
"U+102B0", "\xe1\x80\xab\x30", "CARIAN LETTER S (U+102B0)"
"U+102B1", "\xe1\x80\xab\x31", "CARIAN LETTER C-18 (U+102B1)"
"U+102B2", "\xe1\x80\xab\x32", "CARIAN LETTER U (U+102B2)"
"U+102B3", "\xe1\x80\xab\x33", "CARIAN LETTER NN (U+102B3)"
"U+102B4", "\xe1\x80\xab\x34", "CARIAN LETTER X (U+102B4)"
"U+102B5", "\xe1\x80\xab\x35", "CARIAN LETTER N (U+102B5)"
"U+102B6", "\xe1\x80\xab\x36", "CARIAN LETTER TT2 (U+102B6)"
"U+102B7", "\xe1\x80\xab\x37", "CARIAN LETTER P (U+102B7)"
"U+102B8", "\xe1\x80\xab\x38", "CARIAN LETTER SS (U+102B8)"
"U+102B9", "\xe1\x80\xab\x39", "CARIAN LETTER I (U+102B9)"
"U+102BA", "\xe1\x80\xab\x41", "CARIAN LETTER E (U+102BA)"
"U+102BB", "\xe1\x80\xab\x42", "CARIAN LETTER UUUU (U+102BB)"
"U+102BC", "\xe1\x80\xab\x43", "CARIAN LETTER K (U+102BC)"
"U+102BD", "\xe1\x80\xab\x44", "CARIAN LETTER K2 (U+102BD)"
"U+102BE", "\xe1\x80\xab\x45", "CARIAN LETTER ND (U+102BE)"
"U+102BF", "\xe1\x80\xab\x46", "CARIAN LETTER UU (U+102BF)"
"U+102C0", "\xe1\x80\xac\x30", "CARIAN LETTER G (U+102C0)"
"U+102C1", "\xe1\x80\xac\x31", "CARIAN LETTER G2 (U+102C1)"
"U+102C2", "\xe1\x80\xac\x32", "CARIAN LETTER ST (U+102C2)"
"U+102C3", "\xe1\x80\xac\x33", "CARIAN LETTER ST2 (U+102C3)"
"U+102C4", "\xe1\x80\xac\x34", "CARIAN LETTER NG (U+102C4)"
"U+102C5", "\xe1\x80\xac\x35", "CARIAN LETTER II (U+102C5)"
"U+102C6", "\xe1\x80\xac\x36", "CARIAN LETTER C-39 (U+102C6)"
"U+102C7", "\xe1\x80\xac\x37", "CARIAN LETTER TT (U+102C7)"
"U+102C8", "\xe1\x80\xac\x38", "CARIAN LETTER UUU2 (U+102C8)"
"U+102C9", "\xe1\x80\xac\x39", "CARIAN LETTER RR (U+102C9)"
"U+102CA", "\xe1\x80\xac\x41", "CARIAN LETTER MB (U+102CA)"
"U+102CB", "\xe1\x80\xac\x42", "CARIAN LETTER MB2 (U+102CB)"
"U+102CC", "\xe1\x80\xac\x43", "CARIAN LETTER MB3 (U+102CC)"
"U+102CD", "\xe1\x80\xac\x44", "CARIAN LETTER MB4 (U+102CD)"
"U+102CE", "\xe1\x80\xac\x45", "CARIAN LETTER LD2 (U+102CE)"
"U+102CF", "\xe1\x80\xac\x46", "CARIAN LETTER E2 (U+102CF)"
"U+102D0", "\xe1\x80\xad\x30", "CARIAN LETTER UUU3 (U+102D0)"
