# Unicode Characters in the Old Italic Block
# Source: http://www.fileformat.info/info/unicode/block/old_italic/list.htm
"U+10300", "\xe1\x80\xb0\x30", "OLD ITALIC LETTER A (U+10300)"
"U+10301", "\xe1\x80\xb0\x31", "OLD ITALIC LETTER BE (U+10301)"
"U+10302", "\xe1\x80\xb0\x32", "OLD ITALIC LETTER KE (U+10302)"
"U+10303", "\xe1\x80\xb0\x33", "OLD ITALIC LETTER DE (U+10303)"
"U+10304", "\xe1\x80\xb0\x34", "OLD ITALIC LETTER E (U+10304)"
"U+10305", "\xe1\x80\xb0\x35", "OLD ITALIC LETTER VE (U+10305)"
"U+10306", "\xe1\x80\xb0\x36", "OLD ITALIC LETTER ZE (U+10306)"
"U+10307", "\xe1\x80\xb0\x37", "OLD ITALIC LETTER HE (U+10307)"
"U+10308", "\xe1\x80\xb0\x38", "OLD ITALIC LETTER THE (U+10308)"
"U+10309", "\xe1\x80\xb0\x39", "OLD ITALIC LETTER I (U+10309)"
"U+1030A", "\xe1\x80\xb0\x41", "OLD ITALIC LETTER KA (U+1030A)"
"U+1030B", "\xe1\x80\xb0\x42", "OLD ITALIC LETTER EL (U+1030B)"
"U+1030C", "\xe1\x80\xb0\x43", "OLD ITALIC LETTER EM (U+1030C)"
"U+1030D", "\xe1\x80\xb0\x44", "OLD ITALIC LETTER EN (U+1030D)"
"U+1030E", "\xe1\x80\xb0\x45", "OLD ITALIC LETTER ESH (U+1030E)"
"U+1030F", "\xe1\x80\xb0\x46", "OLD ITALIC LETTER O (U+1030F)"
"U+10310", "\xe1\x80\xb1\x30", "OLD ITALIC LETTER PE (U+10310)"
"U+10311", "\xe1\x80\xb1\x31", "OLD ITALIC LETTER SHE (U+10311)"
"U+10312", "\xe1\x80\xb1\x32", "OLD ITALIC LETTER KU (U+10312)"
"U+10313", "\xe1\x80\xb1\x33", "OLD ITALIC LETTER ER (U+10313)"
"U+10314", "\xe1\x80\xb1\x34", "OLD ITALIC LETTER ES (U+10314)"
"U+10315", "\xe1\x80\xb1\x35", "OLD ITALIC LETTER TE (U+10315)"
"U+10316", "\xe1\x80\xb1\x36", "OLD ITALIC LETTER U (U+10316)"
"U+10317", "\xe1\x80\xb1\x37", "OLD ITALIC LETTER EKS (U+10317)"
"U+10318", "\xe1\x80\xb1\x38", "OLD ITALIC LETTER PHE (U+10318)"
"U+10319", "\xe1\x80\xb1\x39", "OLD ITALIC LETTER KHE (U+10319)"
"U+1031A", "\xe1\x80\xb1\x41", "OLD ITALIC LETTER EF (U+1031A)"
"U+1031B", "\xe1\x80\xb1\x42", "OLD ITALIC LETTER ERS (U+1031B)"
"U+1031C", "\xe1\x80\xb1\x43", "OLD ITALIC LETTER CHE (U+1031C)"
"U+1031D", "\xe1\x80\xb1\x44", "OLD ITALIC LETTER II (U+1031D)"
"U+1031E", "\xe1\x80\xb1\x45", "OLD ITALIC LETTER UU (U+1031E)"
"U+10320", "\xe1\x80\xb2\x30", "OLD ITALIC NUMERAL ONE (U+10320)"
"U+10321", "\xe1\x80\xb2\x31", "OLD ITALIC NUMERAL FIVE (U+10321)"
"U+10322", "\xe1\x80\xb2\x32", "OLD ITALIC NUMERAL TEN (U+10322)"
"U+10323", "\xe1\x80\xb2\x33", "OLD ITALIC NUMERAL FIFTY (U+10323)"
