# Unicode Characters in the Gothic Block
# Source: http://www.fileformat.info/info/unicode/block/gothic/list.htm
"U+10330", "\xe1\x80\xb3\x30", "GOTHIC LETTER AHSA (U+10330)"
"U+10331", "\xe1\x80\xb3\x31", "GOTHIC LETTER BAIRKAN (U+10331)"
"U+10332", "\xe1\x80\xb3\x32", "GOTHIC LETTER GIBA (U+10332)"
"U+10333", "\xe1\x80\xb3\x33", "GOTHIC LETTER DAGS (U+10333)"
"U+10334", "\xe1\x80\xb3\x34", "GOTHIC LETTER AIHVUS (U+10334)"
"U+10335", "\xe1\x80\xb3\x35", "GOTHIC LETTER QAIRTHRA (U+10335)"
"U+10336", "\xe1\x80\xb3\x36", "GOTHIC LETTER IUJA (U+10336)"
"U+10337", "\xe1\x80\xb3\x37", "GOTHIC LETTER HAGL (U+10337)"
"U+10338", "\xe1\x80\xb3\x38", "GOTHIC LETTER THIUTH (U+10338)"
"U+10339", "\xe1\x80\xb3\x39", "GOTHIC LETTER EIS (U+10339)"
"U+1033A", "\xe1\x80\xb3\x41", "GOTHIC LETTER KUSMA (U+1033A)"
"U+1033B", "\xe1\x80\xb3\x42", "GOTHIC LETTER LAGUS (U+1033B)"
"U+1033C", "\xe1\x80\xb3\x43", "GOTHIC LETTER MANNA (U+1033C)"
"U+1033D", "\xe1\x80\xb3\x44", "GOTHIC LETTER NAUTHS (U+1033D)"
"U+1033E", "\xe1\x80\xb3\x45", "GOTHIC LETTER JER (U+1033E)"
"U+1033F", "\xe1\x80\xb3\x46", "GOTHIC LETTER URUS (U+1033F)"
"U+10340", "\xe1\x80\xb4\x30", "GOTHIC LETTER PAIRTHRA (U+10340)"
"U+10341", "\xe1\x80\xb4\x31", "GOTHIC LETTER NINETY (U+10341)"
"U+10342", "\xe1\x80\xb4\x32", "GOTHIC LETTER RAIDA (U+10342)"
"U+10343", "\xe1\x80\xb4\x33", "GOTHIC LETTER SAUIL (U+10343)"
"U+10344", "\xe1\x80\xb4\x34", "GOTHIC LETTER TEIWS (U+10344)"
"U+10345", "\xe1\x80\xb4\x35", "GOTHIC LETTER WINJA (U+10345)"
"U+10346", "\xe1\x80\xb4\x36", "GOTHIC LETTER FAIHU (U+10346)"
"U+10347", "\xe1\x80\xb4\x37", "GOTHIC LETTER IGGWS (U+10347)"
"U+10348", "\xe1\x80\xb4\x38", "GOTHIC LETTER HWAIR (U+10348)"
"U+10349", "\xe1\x80\xb4\x39", "GOTHIC LETTER OTHAL (U+10349)"
"U+1034A", "\xe1\x80\xb4\x41", "GOTHIC LETTER NINE HUNDRED (U+1034A)"
