# Unicode Characters in the Ugaritic Block
# Source: http://www.fileformat.info/info/unicode/block/ugaritic/list.htm
"U+10380", "\xe1\x80\xb8\x30", "UGARITIC LETTER ALPA (U+10380)"
"U+10381", "\xe1\x80\xb8\x31", "UGARITIC LETTER BETA (U+10381)"
"U+10382", "\xe1\x80\xb8\x32", "UGARITIC LETTER GAMLA (U+10382)"
"U+10383", "\xe1\x80\xb8\x33", "UGARITIC LETTER KHA (U+10383)"
"U+10384", "\xe1\x80\xb8\x34", "UGARITIC LETTER DELTA (U+10384)"
"U+10385", "\xe1\x80\xb8\x35", "UGARITIC LETTER HO (U+10385)"
"U+10386", "\xe1\x80\xb8\x36", "UGARITIC LETTER WO (U+10386)"
"U+10387", "\xe1\x80\xb8\x37", "UGARITIC LETTER ZETA (U+10387)"
"U+10388", "\xe1\x80\xb8\x38", "UGARITIC LETTER HOTA (U+10388)"
"U+10389", "\xe1\x80\xb8\x39", "UGARITIC LETTER TET (U+10389)"
"U+1038A", "\xe1\x80\xb8\x41", "UGARITIC LETTER YOD (U+1038A)"
"U+1038B", "\xe1\x80\xb8\x42", "UGARITIC LETTER KAF (U+1038B)"
"U+1038C", "\xe1\x80\xb8\x43", "UGARITIC LETTER SHIN (U+1038C)"
"U+1038D", "\xe1\x80\xb8\x44", "UGARITIC LETTER LAMDA (U+1038D)"
"U+1038E", "\xe1\x80\xb8\x45", "UGARITIC LETTER MEM (U+1038E)"
"U+1038F", "\xe1\x80\xb8\x46", "UGARITIC LETTER DHAL (U+1038F)"
"U+10390", "\xe1\x80\xb9\x30", "UGARITIC LETTER NUN (U+10390)"
"U+10391", "\xe1\x80\xb9\x31", "UGARITIC LETTER ZU (U+10391)"
"U+10392", "\xe1\x80\xb9\x32", "UGARITIC LETTER SAMKA (U+10392)"
"U+10393", "\xe1\x80\xb9\x33", "UGARITIC LETTER AIN (U+10393)"
"U+10394", "\xe1\x80\xb9\x34", "UGARITIC LETTER PU (U+10394)"
"U+10395", "\xe1\x80\xb9\x35", "UGARITIC LETTER SADE (U+10395)"
"U+10396", "\xe1\x80\xb9\x36", "UGARITIC LETTER QOPA (U+10396)"
"U+10397", "\xe1\x80\xb9\x37", "UGARITIC LETTER RASHA (U+10397)"
"U+10398", "\xe1\x80\xb9\x38", "UGARITIC LETTER THANNA (U+10398)"
"U+10399", "\xe1\x80\xb9\x39", "UGARITIC LETTER GHAIN (U+10399)"
"U+1039A", "\xe1\x80\xb9\x41", "UGARITIC LETTER TO (U+1039A)"
"U+1039B", "\xe1\x80\xb9\x42", "UGARITIC LETTER I (U+1039B)"
"U+1039C", "\xe1\x80\xb9\x43", "UGARITIC LETTER U (U+1039C)"
"U+1039D", "\xe1\x80\xb9\x44", "UGARITIC LETTER SSU (U+1039D)"
"U+1039F", "\xe1\x80\xb9\x46", "UGARITIC WORD DIVIDER (U+1039F)"
