# Unicode Characters in the Old Persian Block
# Source: http://www.fileformat.info/info/unicode/block/old_persian/list.htm
"U+103A0", "\xe1\x80\xba\x30", "OLD PERSIAN SIGN A (U+103A0)"
"U+103A1", "\xe1\x80\xba\x31", "OLD PERSIAN SIGN I (U+103A1)"
"U+103A2", "\xe1\x80\xba\x32", "OLD PERSIAN SIGN U (U+103A2)"
"U+103A3", "\xe1\x80\xba\x33", "OLD PERSIAN SIGN KA (U+103A3)"
"U+103A4", "\xe1\x80\xba\x34", "OLD PERSIAN SIGN KU (U+103A4)"
"U+103A5", "\xe1\x80\xba\x35", "OLD PERSIAN SIGN GA (U+103A5)"
"U+103A6", "\xe1\x80\xba\x36", "OLD PERSIAN SIGN GU (U+103A6)"
"U+103A7", "\xe1\x80\xba\x37", "OLD PERSIAN SIGN XA (U+103A7)"
"U+103A8", "\xe1\x80\xba\x38", "OLD PERSIAN SIGN CA (U+103A8)"
"U+103A9", "\xe1\x80\xba\x39", "OLD PERSIAN SIGN JA (U+103A9)"
"U+103AA", "\xe1\x80\xba\x41", "OLD PERSIAN SIGN JI (U+103AA)"
"U+103AB", "\xe1\x80\xba\x42", "OLD PERSIAN SIGN TA (U+103AB)"
"U+103AC", "\xe1\x80\xba\x43", "OLD PERSIAN SIGN TU (U+103AC)"
"U+103AD", "\xe1\x80\xba\x44", "OLD PERSIAN SIGN DA (U+103AD)"
"U+103AE", "\xe1\x80\xba\x45", "OLD PERSIAN SIGN DI (U+103AE)"
"U+103AF", "\xe1\x80\xba\x46", "OLD PERSIAN SIGN DU (U+103AF)"
"U+103B0", "\xe1\x80\xbb\x30", "OLD PERSIAN SIGN THA (U+103B0)"
"U+103B1", "\xe1\x80\xbb\x31", "OLD PERSIAN SIGN PA (U+103B1)"
"U+103B2", "\xe1\x80\xbb\x32", "OLD PERSIAN SIGN BA (U+103B2)"
"U+103B3", "\xe1\x80\xbb\x33", "OLD PERSIAN SIGN FA (U+103B3)"
"U+103B4", "\xe1\x80\xbb\x34", "OLD PERSIAN SIGN NA (U+103B4)"
"U+103B5", "\xe1\x80\xbb\x35", "OLD PERSIAN SIGN NU (U+103B5)"
"U+103B6", "\xe1\x80\xbb\x36", "OLD PERSIAN SIGN MA (U+103B6)"
"U+103B7", "\xe1\x80\xbb\x37", "OLD PERSIAN SIGN MI (U+103B7)"
"U+103B8", "\xe1\x80\xbb\x38", "OLD PERSIAN SIGN MU (U+103B8)"
"U+103B9", "\xe1\x80\xbb\x39", "OLD PERSIAN SIGN YA (U+103B9)"
"U+103BA", "\xe1\x80\xbb\x41", "OLD PERSIAN SIGN VA (U+103BA)"
"U+103BB", "\xe1\x80\xbb\x42", "OLD PERSIAN SIGN VI (U+103BB)"
"U+103BC", "\xe1\x80\xbb\x43", "OLD PERSIAN SIGN RA (U+103BC)"
"U+103BD", "\xe1\x80\xbb\x44", "OLD PERSIAN SIGN RU (U+103BD)"
"U+103BE", "\xe1\x80\xbb\x45", "OLD PERSIAN SIGN LA (U+103BE)"
"U+103BF", "\xe1\x80\xbb\x46", "OLD PERSIAN SIGN SA (U+103BF)"
"U+103C0", "\xe1\x80\xbc\x30", "OLD PERSIAN SIGN ZA (U+103C0)"
"U+103C1", "\xe1\x80\xbc\x31", "OLD PERSIAN SIGN SHA (U+103C1)"
"U+103C2", "\xe1\x80\xbc\x32", "OLD PERSIAN SIGN SSA (U+103C2)"
"U+103C3", "\xe1\x80\xbc\x33", "OLD PERSIAN SIGN HA (U+103C3)"
"U+103C8", "\xe1\x80\xbc\x38", "OLD PERSIAN SIGN AURAMAZDAA (U+103C8)"
"U+103C9", "\xe1\x80\xbc\x39", "OLD PERSIAN SIGN AURAMAZDAA-2 (U+103C9)"
"U+103CA", "\xe1\x80\xbc\x41", "OLD PERSIAN SIGN AURAMAZDAAHA (U+103CA)"
"U+103CB", "\xe1\x80\xbc\x42", "OLD PERSIAN SIGN XSHAAYATHIYA (U+103CB)"
"U+103CC", "\xe1\x80\xbc\x43", "OLD PERSIAN SIGN DAHYAAUSH (U+103CC)"
"U+103CD", "\xe1\x80\xbc\x44", "OLD PERSIAN SIGN DAHYAAUSH-2 (U+103CD)"
"U+103CE", "\xe1\x80\xbc\x45", "OLD PERSIAN SIGN BAGA (U+103CE)"
"U+103CF", "\xe1\x80\xbc\x46", "OLD PERSIAN SIGN BUUMISH (U+103CF)"
"U+103D0", "\xe1\x80\xbd\x30", "OLD PERSIAN WORD DIVIDER (U+103D0)"
"U+103D1", "\xe1\x80\xbd\x31", "OLD PERSIAN NUMBER ONE (U+103D1)"
"U+103D2", "\xe1\x80\xbd\x32", "OLD PERSIAN NUMBER TWO (U+103D2)"
"U+103D3", "\xe1\x80\xbd\x33", "OLD PERSIAN NUMBER TEN (U+103D3)"
"U+103D4", "\xe1\x80\xbd\x34", "OLD PERSIAN NUMBER TWENTY (U+103D4)"
"U+103D5", "\xe1\x80\xbd\x35", "OLD PERSIAN NUMBER HUNDRED (U+103D5)"
