# Unicode Characters in the Deseret Block
# Source: http://www.fileformat.info/info/unicode/block/deseret/list.htm
"U+10400", "\xe1\x81\x80\x30", "DESERET CAPITAL LETTER LONG I (U+10400)"
"U+10401", "\xe1\x81\x80\x31", "DESERET CAPITAL LETTER LONG E (U+10401)"
"U+10402", "\xe1\x81\x80\x32", "DESERET CAPITAL LETTER LONG A (U+10402)"
"U+10403", "\xe1\x81\x80\x33", "DESERET CAPITAL LETTER LONG AH (U+10403)"
"U+10404", "\xe1\x81\x80\x34", "DESERET CAPITAL LETTER LONG O (U+10404)"
"U+10405", "\xe1\x81\x80\x35", "DESERET CAPITAL LETTER LONG OO (U+10405)"
"U+10406", "\xe1\x81\x80\x36", "DESERET CAPITAL LETTER SHORT I (U+10406)"
"U+10407", "\xe1\x81\x80\x37", "DESERET CAPITAL LETTER SHORT E (U+10407)"
"U+10408", "\xe1\x81\x80\x38", "DESERET CAPITAL LETTER SHORT A (U+10408)"
"U+10409", "\xe1\x81\x80\x39", "DESERET CAPITAL LETTER SHORT AH (U+10409)"
"U+1040A", "\xe1\x81\x80\x41", "DESERET CAPITAL LETTER SHORT O (U+1040A)"
"U+1040B", "\xe1\x81\x80\x42", "DESERET CAPITAL LETTER SHORT OO (U+1040B)"
"U+1040C", "\xe1\x81\x80\x43", "DESERET CAPITAL LETTER AY (U+1040C)"
"U+1040D", "\xe1\x81\x80\x44", "DESERET CAPITAL LETTER OW (U+1040D)"
"U+1040E", "\xe1\x81\x80\x45", "DESERET CAPITAL LETTER WU (U+1040E)"
"U+1040F", "\xe1\x81\x80\x46", "DESERET CAPITAL LETTER YEE (U+1040F)"
"U+10410", "\xe1\x81\x81\x30", "DESERET CAPITAL LETTER H (U+10410)"
"U+10411", "\xe1\x81\x81\x31", "DESERET CAPITAL LETTER PEE (U+10411)"
"U+10412", "\xe1\x81\x81\x32", "DESERET CAPITAL LETTER BEE (U+10412)"
"U+10413", "\xe1\x81\x81\x33", "DESERET CAPITAL LETTER TEE (U+10413)"
"U+10414", "\xe1\x81\x81\x34", "DESERET CAPITAL LETTER DEE (U+10414)"
"U+10415", "\xe1\x81\x81\x35", "DESERET CAPITAL LETTER CHEE (U+10415)"
"U+10416", "\xe1\x81\x81\x36", "DESERET CAPITAL LETTER JEE (U+10416)"
