# Unicode Characters in the Shavian Block
# Source: http://www.fileformat.info/info/unicode/block/shavian/list.htm
"U+10450", "\xe1\x81\x85\x30", "SHAVIAN LETTER PEEP (U+10450)"
"U+10451", "\xe1\x81\x85\x31", "SHAVIAN LETTER TOT (U+10451)"
"U+10452", "\xe1\x81\x85\x32", "SHAVIAN LETTER KICK (U+10452)"
"U+10453", "\xe1\x81\x85\x33", "SHAVIAN LETTER FEE (U+10453)"
"U+10454", "\xe1\x81\x85\x34", "SHAVIAN LETTER THIGH (U+10454)"
"U+10455", "\xe1\x81\x85\x35", "SHAVIAN LETTER SO (U+10455)"
"U+10456", "\xe1\x81\x85\x36", "SHAVIAN LETTER SURE (U+10456)"
"U+10457", "\xe1\x81\x85\x37", "SHAVIAN LETTER CHURCH (U+10457)"
"U+10458", "\xe1\x81\x85\x38", "SHAVIAN LETTER YEA (U+10458)"
"U+10459", "\xe1\x81\x85\x39", "SHAVIAN LETTER HUNG (U+10459)"
"U+1045A", "\xe1\x81\x85\x41", "SHAVIAN LETTER BIB (U+1045A)"
"U+1045B", "\xe1\x81\x85\x42", "SHAVIAN LETTER DEAD (U+1045B)"
"U+1045C", "\xe1\x81\x85\x43", "SHAVIAN LETTER GAG (U+1045C)"
"U+1045D", "\xe1\x81\x85\x44", "SHAVIAN LETTER VOW (U+1045D)"
"U+1045E", "\xe1\x81\x85\x45", "SHAVIAN LETTER THEY (U+1045E)"
"U+1045F", "\xe1\x81\x85\x46", "SHAVIAN LETTER ZOO (U+1045F)"
"U+10460", "\xe1\x81\x86\x30", "SHAVIAN LETTER MEASURE (U+10460)"
"U+10461", "\xe1\x81\x86\x31", "SHAVIAN LETTER JUDGE (U+10461)"
"U+10462", "\xe1\x81\x86\x32", "SHAVIAN LETTER WOE (U+10462)"
"U+10463", "\xe1\x81\x86\x33", "SHAVIAN LETTER HA-HA (U+10463)"
"U+10464", "\xe1\x81\x86\x34", "SHAVIAN LETTER LOLL (U+10464)"
"U+10465", "\xe1\x81\x86\x35", "SHAVIAN LETTER MIME (U+10465)"
"U+10466", "\xe1\x81\x86\x36", "SHAVIAN LETTER IF (U+10466)"
"U+10467", "\xe1\x81\x86\x37", "SHAVIAN LETTER EGG (U+10467)"
"U+10468", "\xe1\x81\x86\x38", "SHAVIAN LETTER ASH (U+10468)"
"U+10469", "\xe1\x81\x86\x39", "SHAVIAN LETTER ADO (U+10469)"
"U+1046A", "\xe1\x81\x86\x41", "SHAVIAN LETTER ON (U+1046A)"
"U+1046B", "\xe1\x81\x86\x42", "SHAVIAN LETTER WOOL (U+1046B)"
"U+1046C", "\xe1\x81\x86\x43", "SHAVIAN LETTER OUT (U+1046C)"
"U+1046D", "\xe1\x81\x86\x44", "SHAVIAN LETTER AH (U+1046D)"
"U+1046E", "\xe1\x81\x86\x45", "SHAVIAN LETTER ROAR (U+1046E)"
"U+1046F", "\xe1\x81\x86\x46", "SHAVIAN LETTER NUN (U+1046F)"
"U+10470", "\xe1\x81\x87\x30", "SHAVIAN LETTER EAT (U+10470)"
"U+10471", "\xe1\x81\x87\x31", "SHAVIAN LETTER AGE (U+10471)"
"U+10472", "\xe1\x81\x87\x32", "SHAVIAN LETTER ICE (U+10472)"
"U+10473", "\xe1\x81\x87\x33", "SHAVIAN LETTER UP (U+10473)"
"U+10474", "\xe1\x81\x87\x34", "SHAVIAN LETTER OAK (U+10474)"
"U+10475", "\xe1\x81\x87\x35", "SHAVIAN LETTER OOZE (U+10475)"
"U+10476", "\xe1\x81\x87\x36", "SHAVIAN LETTER OIL (U+10476)"
"U+10477", "\xe1\x81\x87\x37", "SHAVIAN LETTER AWE (U+10477)"
"U+10478", "\xe1\x81\x87\x38", "SHAVIAN LETTER ARE (U+10478)"
"U+10479", "\xe1\x81\x87\x39", "SHAVIAN LETTER OR (U+10479)"
"U+1047A", "\xe1\x81\x87\x41", "SHAVIAN LETTER AIR (U+1047A)"
"U+1047B", "\xe1\x81\x87\x42", "SHAVIAN LETTER ERR (U+1047B)"
"U+1047C", "\xe1\x81\x87\x43", "SHAVIAN LETTER ARRAY (U+1047C)"
"U+1047D", "\xe1\x81\x87\x44", "SHAVIAN LETTER EAR (U+1047D)"
"U+1047E", "\xe1\x81\x87\x45", "SHAVIAN LETTER IAN (U+1047E)"
"U+1047F", "\xe1\x81\x87\x46", "SHAVIAN LETTER YEW (U+1047F)"
