# Unicode Characters in the Osmanya Block
# Source: http://www.fileformat.info/info/unicode/block/osmanya/list.htm
"U+10480", "\xe1\x81\x88\x30", "OSMANYA LETTER ALEF (U+10480)"
"U+10481", "\xe1\x81\x88\x31", "OSMANYA LETTER BA (U+10481)"
"U+10482", "\xe1\x81\x88\x32", "OSMANYA LETTER TA (U+10482)"
"U+10483", "\xe1\x81\x88\x33", "OSMANYA LETTER JA (U+10483)"
"U+10484", "\xe1\x81\x88\x34", "OSMANYA LETTER XA (U+10484)"
"U+10485", "\xe1\x81\x88\x35", "OSMANYA LETTER KHA (U+10485)"
"U+10486", "\xe1\x81\x88\x36", "OSMANYA LETTER DEEL (U+10486)"
"U+10487", "\xe1\x81\x88\x37", "OSMANYA LETTER RA (U+10487)"
"U+10488", "\xe1\x81\x88\x38", "OSMANYA LETTER SA (U+10488)"
"U+10489", "\xe1\x81\x88\x39", "OSMANYA LETTER SHIIN (U+10489)"
"U+1048A", "\xe1\x81\x88\x41", "OSMANYA LETTER DHA (U+1048A)"
"U+1048B", "\xe1\x81\x88\x42", "OSMANYA LETTER CAYN (U+1048B)"
"U+1048C", "\xe1\x81\x88\x43", "OSMANYA LETTER GA (U+1048C)"
"U+1048D", "\xe1\x81\x88\x44", "OSMANYA LETTER FA (U+1048D)"
"U+1048E", "\xe1\x81\x88\x45", "OSMANYA LETTER QAAF (U+1048E)"
"U+1048F", "\xe1\x81\x88\x46", "OSMANYA LETTER KAAF (U+1048F)"
"U+10490", "\xe1\x81\x89\x30", "OSMANYA LETTER LAAN (U+10490)"
"U+10491", "\xe1\x81\x89\x31", "OSMANYA LETTER MIIN (U+10491)"
"U+10492", "\xe1\x81\x89\x32", "OSMANYA LETTER NUUN (U+10492)"
"U+10493", "\xe1\x81\x89\x33", "OSMANYA LETTER WAW (U+10493)"
"U+10494", "\xe1\x81\x89\x34", "OSMANYA LETTER HA (U+10494)"
"U+10495", "\xe1\x81\x89\x35", "OSMANYA LETTER YA (U+10495)"
"U+10496", "\xe1\x81\x89\x36", "OSMANYA LETTER A (U+10496)"
"U+10497", "\xe1\x81\x89\x37", "OSMANYA LETTER E (U+10497)"
"U+10498", "\xe1\x81\x89\x38", "OSMANYA LETTER I (U+10498)"
"U+10499", "\xe1\x81\x89\x39", "OSMANYA LETTER O (U+10499)"
"U+1049A", "\xe1\x81\x89\x41", "OSMANYA LETTER U (U+1049A)"
"U+1049B", "\xe1\x81\x89\x42", "OSMANYA LETTER AA (U+1049B)"
"U+1049C", "\xe1\x81\x89\x43", "OSMANYA LETTER EE (U+1049C)"
"U+1049D", "\xe1\x81\x89\x44", "OSMANYA LETTER OO (U+1049D)"
"U+104A0", "\xe1\x81\x8a\x30", "OSMANYA DIGIT ZERO (U+104A0)"
"U+104A1", "\xe1\x81\x8a\x31", "OSMANYA DIGIT ONE (U+104A1)"
"U+104A2", "\xe1\x81\x8a\x32", "OSMANYA DIGIT TWO (U+104A2)"
"U+104A3", "\xe1\x81\x8a\x33", "OSMANYA DIGIT THREE (U+104A3)"
"U+104A4", "\xe1\x81\x8a\x34", "OSMANYA DIGIT FOUR (U+104A4)"
"U+104A5", "\xe1\x81\x8a\x35", "OSMANYA DIGIT FIVE (U+104A5)"
"U+104A6", "\xe1\x81\x8a\x36", "OSMANYA DIGIT SIX (U+104A6)"
"U+104A7", "\xe1\x81\x8a\x37", "OSMANYA DIGIT SEVEN (U+104A7)"
"U+104A8", "\xe1\x81\x8a\x38", "OSMANYA DIGIT EIGHT (U+104A8)"
"U+104A9", "\xe1\x81\x8a\x39", "OSMANYA DIGIT NINE (U+104A9)"
