# Unicode Characters in the Cypriot Syllabary Block
# Source: http://www.fileformat.info/info/unicode/block/cypriot_syllabary/list.htm
"U+10800", "\xe1\x82\x80\x30", "CYPRIOT SYLLABLE A (U+10800)"
"U+10801", "\xe1\x82\x80\x31", "CYPRIOT SYLLABLE E (U+10801)"
"U+10802", "\xe1\x82\x80\x32", "CYPRIOT SYLLABLE I (U+10802)"
"U+10803", "\xe1\x82\x80\x33", "CYPRIOT SYLLABLE O (U+10803)"
"U+10804", "\xe1\x82\x80\x34", "CYPRIOT SYLLABLE U (U+10804)"
"U+10805", "\xe1\x82\x80\x35", "CYPRIOT SYLLABLE JA (U+10805)"
"U+10808", "\xe1\x82\x80\x38", "CYPRIOT SYLLABLE JO (U+10808)"
"U+1080A", "\xe1\x82\x80\x41", "CYPRIOT SYLLABLE KA (U+1080A)"
"U+1080B", "\xe1\x82\x80\x42", "CYPRIOT SYLLABLE KE (U+1080B)"
"U+1080C", "\xe1\x82\x80\x43", "CYPRIOT SYLLABLE KI (U+1080C)"
"U+1080D", "\xe1\x82\x80\x44", "CYPRIOT SYLLABLE KO (U+1080D)"
"U+1080E", "\xe1\x82\x80\x45", "CYPRIOT SYLLABLE KU (U+1080E)"
"U+1080F", "\xe1\x82\x80\x46", "CYPRIOT SYLLABLE LA (U+1080F)"
"U+10810", "\xe1\x82\x81\x30", "CYPRIOT SYLLABLE LE (U+10810)"
"U+10811", "\xe1\x82\x81\x31", "CYPRIOT SYLLABLE LI (U+10811)"
"U+10812", "\xe1\x82\x81\x32", "CYPRIOT SYLLABLE LO (U+10812)"
"U+10813", "\xe1\x82\x81\x33", "CYPRIOT SYLLABLE LU (U+10813)"
"U+10814", "\xe1\x82\x81\x34", "CYPRIOT SYLLABLE MA (U+10814)"
"U+10815", "\xe1\x82\x81\x35", "CYPRIOT SYLLABLE ME (U+10815)"
"U+10816", "\xe1\x82\x81\x36", "CYPRIOT SYLLABLE MI (U+10816)"
"U+10817", "\xe1\x82\x81\x37", "CYPRIOT SYLLABLE MO (U+10817)"
"U+10818", "\xe1\x82\x81\x38", "CYPRIOT SYLLABLE MU (U+10818)"
"U+10819", "\xe1\x82\x81\x39", "CYPRIOT SYLLABLE NA (U+10819)"
"U+1081A", "\xe1\x82\x81\x41", "CYPRIOT SYLLABLE NE (U+1081A)"
"U+1081B", "\xe1\x82\x81\x42", "CYPRIOT SYLLABLE NI (U+1081B)"
"U+1081C", "\xe1\x82\x81\x43", "CYPRIOT SYLLABLE NO (U+1081C)"
"U+1081D", "\xe1\x82\x81\x44", "CYPRIOT SYLLABLE NU (U+1081D)"
"U+1081E", "\xe1\x82\x81\x45", "CYPRIOT SYLLABLE PA (U+1081E)"
"U+1081F", "\xe1\x82\x81\x46", "CYPRIOT SYLLABLE PE (U+1081F)"
"U+10820", "\xe1\x82\x82\x30", "CYPRIOT SYLLABLE PI (U+10820)"
"U+10821", "\xe1\x82\x82\x31", "CYPRIOT SYLLABLE PO (U+10821)"
"U+10822", "\xe1\x82\x82\x32", "CYPRIOT SYLLABLE PU (U+10822)"
"U+10823", "\xe1\x82\x82\x33", "CYPRIOT SYLLABLE RA (U+10823)"
"U+10824", "\xe1\x82\x82\x34", "CYPRIOT SYLLABLE RE (U+10824)"
"U+10825", "\xe1\x82\x82\x35", "CYPRIOT SYLLABLE RI (U+10825)"
"U+10826", "\xe1\x82\x82\x36", "CYPRIOT SYLLABLE RO (U+10826)"
"U+10827", "\xe1\x82\x82\x37", "CYPRIOT SYLLABLE RU (U+10827)"
"U+10828", "\xe1\x82\x82\x38", "CYPRIOT SYLLABLE SA (U+10828)"
"U+10829", "\xe1\x82\x82\x39", "CYPRIOT SYLLABLE SE (U+10829)"
"U+1082A", "\xe1\x82\x82\x41", "CYPRIOT SYLLABLE SI (U+1082A)"
"U+1082B", "\xe1\x82\x82\x42", "CYPRIOT SYLLABLE SO (U+1082B)"
"U+1082C", "\xe1\x82\x82\x43", "CYPRIOT SYLLABLE SU (U+1082C)"
"U+1082D", "\xe1\x82\x82\x44", "CYPRIOT SYLLABLE TA (U+1082D)"
"U+1082E", "\xe1\x82\x82\x45", "CYPRIOT SYLLABLE TE (U+1082E)"
"U+1082F", "\xe1\x82\x82\x46", "CYPRIOT SYLLABLE TI (U+1082F)"
"U+10830", "\xe1\x82\x83\x30", "CYPRIOT SYLLABLE TO (U+10830)"
"U+10831", "\xe1\x82\x83\x31", "CYPRIOT SYLLABLE TU (U+10831)"
"U+10832", "\xe1\x82\x83\x32", "CYPRIOT SYLLABLE WA (U+10832)"
"U+10833", "\xe1\x82\x83\x33", "CYPRIOT SYLLABLE WE (U+10833)"
"U+10834", "\xe1\x82\x83\x34", "CYPRIOT SYLLABLE WI (U+10834)"
"U+10835", "\xe1\x82\x83\x35", "CYPRIOT SYLLABLE WO (U+10835)"
"U+10837", "\xe1\x82\x83\x37", "CYPRIOT SYLLABLE XA (U+10837)"
"U+10838", "\xe1\x82\x83\x38", "CYPRIOT SYLLABLE XE (U+10838)"
"U+1083C", "\xe1\x82\x83\x43", "CYPRIOT SYLLABLE ZA (U+1083C)"
"U+1083F", "\xe1\x82\x83\x46", "CYPRIOT SYLLABLE ZO (U+1083F)"
