# Unicode Characters in the Imperial Aramaic Block
# Source: http://www.fileformat.info/info/unicode/block/imperial_aramaic/list.htm
"U+10840", "\xe1\x82\x84\x30", "IMPERIAL ARAMAIC LETTER ALEPH (U+10840)"
"U+10841", "\xe1\x82\x84\x31", "IMPERIAL ARAMAIC LETTER BETH (U+10841)"
"U+10842", "\xe1\x82\x84\x32", "IMPERIAL ARAMAIC LETTER GIMEL (U+10842)"
"U+10843", "\xe1\x82\x84\x33", "IMPERIAL ARAMAIC LETTER DALETH (U+10843)"
"U+10844", "\xe1\x82\x84\x34", "IMPERIAL ARAMAIC LETTER HE (U+10844)"
"U+10845", "\xe1\x82\x84\x35", "IMPERIAL ARAMAIC LETTER WAW (U+10845)"
"U+10846", "\xe1\x82\x84\x36", "IMPERIAL ARAMAIC LETTER ZAYIN (U+10846)"
"U+10847", "\xe1\x82\x84\x37", "IMPERIAL ARAMAIC LETTER HETH (U+10847)"
"U+10848", "\xe1\x82\x84\x38", "IMPERIAL ARAMAIC LETTER TETH (U+10848)"
"U+10849", "\xe1\x82\x84\x39", "IMPERIAL ARAMAIC LETTER YODH (U+10849)"
"U+1084A", "\xe1\x82\x84\x41", "IMPERIAL ARAMAIC LETTER KAPH (U+1084A)"
"U+1084B", "\xe1\x82\x84\x42", "IMPERIAL ARAMAIC LETTER LAMEDH (U+1084B)"
"U+1084C", "\xe1\x82\x84\x43", "IMPERIAL ARAMAIC LETTER MEM (U+1084C)"
"U+1084D", "\xe1\x82\x84\x44", "IMPERIAL ARAMAIC LETTER NUN (U+1084D)"
"U+1084E", "\xe1\x82\x84\x45", "IMPERIAL ARAMAIC LETTER SAMEKH (U+1084E)"
"U+1084F", "\xe1\x82\x84\x46", "IMPERIAL ARAMAIC LETTER AYIN (U+1084F)"
"U+10850", "\xe1\x82\x85\x30", "IMPERIAL ARAMAIC LETTER PE (U+10850)"
"U+10851", "\xe1\x82\x85\x31", "IMPERIAL ARAMAIC LETTER SADHE (U+10851)"
"U+10852", "\xe1\x82\x85\x32", "IMPERIAL ARAMAIC LETTER QOPH (U+10852)"
"U+10853", "\xe1\x82\x85\x33", "IMPERIAL ARAMAIC LETTER RESH (U+10853)"
"U+10854", "\xe1\x82\x85\x34", "IMPERIAL ARAMAIC LETTER SHIN (U+10854)"
"U+10855", "\xe1\x82\x85\x35", "IMPERIAL ARAMAIC LETTER TAW (U+10855)"
"U+10857", "\xe1\x82\x85\x37", "IMPERIAL ARAMAIC SECTION SIGN (U+10857)"
"U+10858", "\xe1\x82\x85\x38", "IMPERIAL ARAMAIC NUMBER ONE (U+10858)"
"U+10859", "\xe1\x82\x85\x39", "IMPERIAL ARAMAIC NUMBER TWO (U+10859)"
"U+1085A", "\xe1\x82\x85\x41", "IMPERIAL ARAMAIC NUMBER THREE (U+1085A)"
"U+1085B", "\xe1\x82\x85\x42", "IMPERIAL ARAMAIC NUMBER TEN (U+1085B)"
"U+1085C", "\xe1\x82\x85\x43", "IMPERIAL ARAMAIC NUMBER TWENTY (U+1085C)"
"U+1085D", "\xe1\x82\x85\x44", "IMPERIAL ARAMAIC NUMBER ONE HUNDRED (U+1085D)"
"U+1085E", "\xe1\x82\x85\x45", "IMPERIAL ARAMAIC NUMBER ONE THOUSAND (U+1085E)"
"U+1085F", "\xe1\x82\x85\x46", "IMPERIAL ARAMAIC NUMBER TEN THOUSAND (U+1085F)"
