# Unicode Characters in the Phoenician Block
# Source: http://www.fileformat.info/info/unicode/block/phoenician/list.htm
"U+10900", "\xe1\x82\x90\x30", "PHOENICIAN LETTER ALF (U+10900)"
"U+10901", "\xe1\x82\x90\x31", "PHOENICIAN LETTER BET (U+10901)"
"U+10902", "\xe1\x82\x90\x32", "PHOENICIAN LETTER GAML (U+10902)"
"U+10903", "\xe1\x82\x90\x33", "PHOENICIAN LETTER DELT (U+10903)"
"U+10904", "\xe1\x82\x90\x34", "PHOENICIAN LETTER HE (U+10904)"
"U+10905", "\xe1\x82\x90\x35", "PHOENICIAN LETTER WAU (U+10905)"
"U+10906", "\xe1\x82\x90\x36", "PHOENICIAN LETTER ZAI (U+10906)"
"U+10907", "\xe1\x82\x90\x37", "PHOENICIAN LETTER HET (U+10907)"
"U+10908", "\xe1\x82\x90\x38", "PHOENICIAN LETTER TET (U+10908)"
"U+10909", "\xe1\x82\x90\x39", "PHOENICIAN LETTER YOD (U+10909)"
"U+1090A", "\xe1\x82\x90\x41", "PHOENICIAN LETTER KAF (U+1090A)"
"U+1090B", "\xe1\x82\x90\x42", "PHOENICIAN LETTER LAMD (U+1090B)"
"U+1090C", "\xe1\x82\x90\x43", "PHOENICIAN LETTER MEM (U+1090C)"
"U+1090D", "\xe1\x82\x90\x44", "PHOENICIAN LETTER NUN (U+1090D)"
"U+1090E", "\xe1\x82\x90\x45", "PHOENICIAN LETTER SEMK (U+1090E)"
"U+1090F", "\xe1\x82\x90\x46", "PHOENICIAN LETTER AIN (U+1090F)"
"U+10910", "\xe1\x82\x91\x30", "PHOENICIAN LETTER PE (U+10910)"
"U+10911", "\xe1\x82\x91\x31", "PHOENICIAN LETTER SADE (U+10911)"
"U+10912", "\xe1\x82\x91\x32", "PHOENICIAN LETTER QOF (U+10912)"
"U+10913", "\xe1\x82\x91\x33", "PHOENICIAN LETTER ROSH (U+10913)"
"U+10914", "\xe1\x82\x91\x34", "PHOENICIAN LETTER SHIN (U+10914)"
"U+10915", "\xe1\x82\x91\x35", "PHOENICIAN LETTER TAU (U+10915)"
"U+10916", "\xe1\x82\x91\x36", "PHOENICIAN NUMBER ONE (U+10916)"
"U+10917", "\xe1\x82\x91\x37", "PHOENICIAN NUMBER TEN (U+10917)"
"U+10918", "\xe1\x82\x91\x38", "PHOENICIAN NUMBER TWENTY (U+10918)"
"U+10919", "\xe1\x82\x91\x39", "PHOENICIAN NUMBER ONE HUNDRED (U+10919)"
"U+1091A", "\xe1\x82\x91\x41", "PHOENICIAN NUMBER TWO (U+1091A)"
"U+1091B", "\xe1\x82\x91\x42", "PHOENICIAN NUMBER THREE (U+1091B)"
"U+1091F", "\xe1\x82\x91\x46", "PHOENICIAN WORD SEPARATOR (U+1091F)"
