# Unicode Characters in the Lydian Block
# Source: http://www.fileformat.info/info/unicode/block/lydian/list.htm
"U+10920", "\xe1\x82\x92\x30", "LYDIAN LETTER A (U+10920)"
"U+10921", "\xe1\x82\x92\x31", "LYDIAN LETTER B (U+10921)"
"U+10922", "\xe1\x82\x92\x32", "LYDIAN LETTER G (U+10922)"
"U+10923", "\xe1\x82\x92\x33", "LYDIAN LETTER D (U+10923)"
"U+10924", "\xe1\x82\x92\x34", "LYDIAN LETTER E (U+10924)"
"U+10925", "\xe1\x82\x92\x35", "LYDIAN LETTER V (U+10925)"
"U+10926", "\xe1\x82\x92\x36", "LYDIAN LETTER I (U+10926)"
"U+10927", "\xe1\x82\x92\x37", "LYDIAN LETTER Y (U+10927)"
"U+10928", "\xe1\x82\x92\x38", "LYDIAN LETTER K (U+10928)"
"U+10929", "\xe1\x82\x92\x39", "LYDIAN LETTER L (U+10929)"
"U+1092A", "\xe1\x82\x92\x41", "LYDIAN LETTER M (U+1092A)"
"U+1092B", "\xe1\x82\x92\x42", "LYDIAN LETTER N (U+1092B)"
"U+1092C", "\xe1\x82\x92\x43", "LYDIAN LETTER O (U+1092C)"
"U+1092D", "\xe1\x82\x92\x44", "LYDIAN LETTER R (U+1092D)"
"U+1092E", "\xe1\x82\x92\x45", "LYDIAN LETTER SS (U+1092E)"
"U+1092F", "\xe1\x82\x92\x46", "LYDIAN LETTER T (U+1092F)"
"U+10930", "\xe1\x82\x93\x30", "LYDIAN LETTER U (U+10930)"
"U+10931", "\xe1\x82\x93\x31", "LYDIAN LETTER F (U+10931)"
"U+10932", "\xe1\x82\x93\x32", "LYDIAN LETTER Q (U+10932)"
"U+10933", "\xe1\x82\x93\x33", "LYDIAN LETTER S (U+10933)"
"U+10934", "\xe1\x82\x93\x34", "LYDIAN LETTER TT (U+10934)"
"U+10935", "\xe1\x82\x93\x35", "LYDIAN LETTER AN (U+10935)"
"U+10936", "\xe1\x82\x93\x36", "LYDIAN LETTER EN (U+10936)"
"U+10937", "\xe1\x82\x93\x37", "LYDIAN LETTER LY (U+10937)"
"U+10938", "\xe1\x82\x93\x38", "LYDIAN LETTER NN (U+10938)"
"U+10939", "\xe1\x82\x93\x39", "LYDIAN LETTER C (U+10939)"
"U+1093F", "\xe1\x82\x93\x46", "LYDIAN TRIANGULAR MARK (U+1093F)"
