# Unicode Characters in the Meroitic Hieroglyphs Block
# Source: http://www.fileformat.info/info/unicode/block/meroitic_hieroglyphs/list.htm
"U+10980", "\xe1\x82\x98\x30", "MEROITIC HIEROGLYPHIC LETTER A (U+10980)"
"U+10981", "\xe1\x82\x98\x31", "MEROITIC HIEROGLYPHIC LETTER E (U+10981)"
"U+10982", "\xe1\x82\x98\x32", "MEROITIC HIEROGLYPHIC LETTER I (U+10982)"
"U+10983", "\xe1\x82\x98\x33", "MEROITIC HIEROGLYPHIC LETTER O (U+10983)"
"U+10984", "\xe1\x82\x98\x34", "MEROITIC HIEROGLYPHIC LETTER YA (U+10984)"
"U+10985", "\xe1\x82\x98\x35", "MEROITIC HIEROGLYPHIC LETTER WA (U+10985)"
"U+10986", "\xe1\x82\x98\x36", "MEROITIC HIEROGLYPHIC LETTER BA (U+10986)"
"U+10987", "\xe1\x82\x98\x37", "MEROITIC HIEROGLYPHIC LETTER BA-2 (U+10987)"
"U+10988", "\xe1\x82\x98\x38", "MEROITIC HIEROGLYPHIC LETTER PA (U+10988)"
"U+10989", "\xe1\x82\x98\x39", "MEROITIC HIEROGLYPHIC LETTER MA (U+10989)"
"U+1098A", "\xe1\x82\x98\x41", "MEROITIC HIEROGLYPHIC LETTER NA (U+1098A)"
"U+1098B", "\xe1\x82\x98\x42", "MEROITIC HIEROGLYPHIC LETTER NA-2 (U+1098B)"
"U+1098C", "\xe1\x82\x98\x43", "MEROITIC HIEROGLYPHIC LETTER NE (U+1098C)"
"U+1098D", "\xe1\x82\x98\x44", "MEROITIC HIEROGLYPHIC LETTER NE-2 (U+1098D)"
"U+1098E", "\xe1\x82\x98\x45", "MEROITIC HIEROGLYPHIC LETTER RA (U+1098E)"
"U+1098F", "\xe1\x82\x98\x46", "MEROITIC HIEROGLYPHIC LETTER RA-2 (U+1098F)"
"U+10990", "\xe1\x82\x99\x30", "MEROITIC HIEROGLYPHIC LETTER LA (U+10990)"
"U+10991", "\xe1\x82\x99\x31", "MEROITIC HIEROGLYPHIC LETTER KHA (U+10991)"
"U+10992", "\xe1\x82\x99\x32", "MEROITIC HIEROGLYPHIC LETTER HHA (U+10992)"
"U+10993", "\xe1\x82\x99\x33", "MEROITIC HIEROGLYPHIC LETTER SA (U+10993)"
"U+10994", "\xe1\x82\x99\x34", "MEROITIC HIEROGLYPHIC LETTER SA-2 (U+10994)"
"U+10995", "\xe1\x82\x99\x35", "MEROITIC HIEROGLYPHIC LETTER SE (U+10995)"
"U+10996", "\xe1\x82\x99\x36", "MEROITIC HIEROGLYPHIC LETTER KA (U+10996)"
"U+10997", "\xe1\x82\x99\x37", "MEROITIC HIEROGLYPHIC LETTER QA (U+10997)"
"U+10998", "\xe1\x82\x99\x38", "MEROITIC HIEROGLYPHIC LETTER TA (U+10998)"
"U+10999", "\xe1\x82\x99\x39", "MEROITIC HIEROGLYPHIC LETTER TA-2 (U+10999)"
"U+1099A", "\xe1\x82\x99\x41", "MEROITIC HIEROGLYPHIC LETTER TE (U+1099A)"
"U+1099B", "\xe1\x82\x99\x42", "MEROITIC HIEROGLYPHIC LETTER TE-2 (U+1099B)"
"U+1099C", "\xe1\x82\x99\x43", "MEROITIC HIEROGLYPHIC LETTER TO (U+1099C)"
"U+1099D", "\xe1\x82\x99\x44", "MEROITIC HIEROGLYPHIC LETTER DA (U+1099D)"
"U+1099E", "\xe1\x82\x99\x45", "MEROITIC HIEROGLYPHIC SYMBOL VIDJ (U+1099E)"
"U+1099F", "\xe1\x82\x99\x46", "MEROITIC HIEROGLYPHIC SYMBOL VIDJ-2 (U+1099F)"
