# Unicode Characters in the Meroitic Cursive Block
# Source: http://www.fileformat.info/info/unicode/block/meroitic_cursive/list.htm
"U+109A0", "\xe1\x82\x9a\x30", "MEROITIC CURSIVE LETTER A (U+109A0)"
"U+109A1", "\xe1\x82\x9a\x31", "MEROITIC CURSIVE LETTER E (U+109A1)"
"U+109A2", "\xe1\x82\x9a\x32", "MEROITIC CURSIVE LETTER I (U+109A2)"
"U+109A3", "\xe1\x82\x9a\x33", "MEROITIC CURSIVE LETTER O (U+109A3)"
"U+109A4", "\xe1\x82\x9a\x34", "MEROITIC CURSIVE LETTER YA (U+109A4)"
"U+109A5", "\xe1\x82\x9a\x35", "MEROITIC CURSIVE LETTER WA (U+109A5)"
"U+109A6", "\xe1\x82\x9a\x36", "MEROITIC CURSIVE LETTER BA (U+109A6)"
"U+109A7", "\xe1\x82\x9a\x37", "MEROITIC CURSIVE LETTER PA (U+109A7)"
"U+109A8", "\xe1\x82\x9a\x38", "MEROITIC CURSIVE LETTER MA (U+109A8)"
"U+109A9", "\xe1\x82\x9a\x39", "MEROITIC CURSIVE LETTER NA (U+109A9)"
"U+109AA", "\xe1\x82\x9a\x41", "MEROITIC CURSIVE LETTER NE (U+109AA)"
"U+109AB", "\xe1\x82\x9a\x42", "MEROITIC CURSIVE LETTER RA (U+109AB)"
"U+109AC", "\xe1\x82\x9a\x43", "MEROITIC CURSIVE LETTER LA (U+109AC)"
"U+109AD", "\xe1\x82\x9a\x44", "MEROITIC CURSIVE LETTER KHA (U+109AD)"
"U+109AE", "\xe1\x82\x9a\x45", "MEROITIC CURSIVE LETTER HHA (U+109AE)"
"U+109AF", "\xe1\x82\x9a\x46", "MEROITIC CURSIVE LETTER SA (U+109AF)"
"U+109B0", "\xe1\x82\x9b\x30", "MEROITIC CURSIVE LETTER ARCHAIC SA (U+109B0)"
"U+109B1", "\xe1\x82\x9b\x31", "MEROITIC CURSIVE LETTER SE (U+109B1)"
"U+109B2", "\xe1\x82\x9b\x32", "MEROITIC CURSIVE LETTER KA (U+109B2)"
"U+109B3", "\xe1\x82\x9b\x33", "MEROITIC CURSIVE LETTER QA (U+109B3)"
"U+109B4", "\xe1\x82\x9b\x34", "MEROITIC CURSIVE LETTER TA (U+109B4)"
"U+109B5", "\xe1\x82\x9b\x35", "MEROITIC CURSIVE LETTER TE (U+109B5)"
"U+109B6", "\xe1\x82\x9b\x36", "MEROITIC CURSIVE LETTER TO (U+109B6)"
"U+109B7", "\xe1\x82\x9b\x37", "MEROITIC CURSIVE LETTER DA (U+109B7)"
"U+109BE", "\xe1\x82\x9b\x45", "MEROITIC CURSIVE LOGOGRAM RMT (U+109BE)"
"U+109BF", "\xe1\x82\x9b\x46", "MEROITIC CURSIVE LOGOGRAM IMN (U+109BF)"
