# Unicode Characters in the Georgian Block
# Source: http://www.fileformat.info/info/unicode/block/georgian/list.htm
"U+10A0", "\xe1\x82\xa0", "GEORGIAN CAPITAL LETTER AN (U+10A0)"
"U+10A1", "\xe1\x82\xa1", "GEORGIAN CAPITAL LETTER BAN (U+10A1)"
"U+10A2", "\xe1\x82\xa2", "GEORGIAN CAPITAL LETTER GAN (U+10A2)"
"U+10A3", "\xe1\x82\xa3", "GEORGIAN CAPITAL LETTER DON (U+10A3)"
"U+10A4", "\xe1\x82\xa4", "GEORGIAN CAPITAL LETTER EN (U+10A4)"
"U+10A5", "\xe1\x82\xa5", "GEORGIAN CAPITAL LETTER VIN (U+10A5)"
"U+10A6", "\xe1\x82\xa6", "GEORGIAN CAPITAL LETTER ZEN (U+10A6)"
"U+10A7", "\xe1\x82\xa7", "GEORGIAN CAPITAL LETTER TAN (U+10A7)"
"U+10A8", "\xe1\x82\xa8", "GEORGIAN CAPITAL LETTER IN (U+10A8)"
"U+10A9", "\xe1\x82\xa9", "GEORGIAN CAPITAL LETTER KAN (U+10A9)"
"U+10AA", "\xe1\x82\xaa", "GEORGIAN CAPITAL LETTER LAS (U+10AA)"
"U+10AB", "\xe1\x82\xab", "GEORGIAN CAPITAL LETTER MAN (U+10AB)"
"U+10AC", "\xe1\x82\xac", "GEORGIAN CAPITAL LETTER NAR (U+10AC)"
"U+10AD", "\xe1\x82\xad", "GEORGIAN CAPITAL LETTER ON (U+10AD)"
"U+10AE", "\xe1\x82\xae", "GEORGIAN CAPITAL LETTER PAR (U+10AE)"
"U+10AF", "\xe1\x82\xaf", "GEORGIAN CAPITAL LETTER ZHAR (U+10AF)"
"U+10B0", "\xe1\x82\xb0", "GEORGIAN CAPITAL LETTER RAE (U+10B0)"
"U+10B1", "\xe1\x82\xb1", "GEORGIAN CAPITAL LETTER SAN (U+10B1)"
"U+10B2", "\xe1\x82\xb2", "GEORGIAN CAPITAL LETTER TAR (U+10B2)"
"U+10B3", "\xe1\x82\xb3", "GEORGIAN CAPITAL LETTER UN (U+10B3)"
"U+10B4", "\xe1\x82\xb4", "GEORGIAN CAPITAL LETTER PHAR (U+10B4)"
"U+10B5", "\xe1\x82\xb5", "GEORGIAN CAPITAL LETTER KHAR (U+10B5)"
"U+10B6", "\xe1\x82\xb6", "GEORGIAN CAPITAL LETTER GHAN (U+10B6)"
"U+10B7", "\xe1\x82\xb7", "GEORGIAN CAPITAL LETTER QAR (U+10B7)"
"U+10B8", "\xe1\x82\xb8", "GEORGIAN CAPITAL LETTER SHIN (U+10B8)"
"U+10B9", "\xe1\x82\xb9", "GEORGIAN CAPITAL LETTER CHIN (U+10B9)"
"U+10BA", "\xe1\x82\xba", "GEORGIAN CAPITAL LETTER CAN (U+10BA)"
"U+10BB", "\xe1\x82\xbb", "GEORGIAN CAPITAL LETTER JIL (U+10BB)"
"U+10BC", "\xe1\x82\xbc", "GEORGIAN CAPITAL LETTER CIL (U+10BC)"
"U+10BD", "\xe1\x82\xbd", "GEORGIAN CAPITAL LETTER CHAR (U+10BD)"
"U+10BE", "\xe1\x82\xbe", "GEORGIAN CAPITAL LETTER XAN (U+10BE)"
