# Unicode Characters in the Kharoshthi Block
# Source: http://www.fileformat.info/info/unicode/block/kharoshthi/list.htm
"U+10A00", "\xe1\x82\xa0\x30", "KHAROSHTHI LETTER A (U+10A00)"
"U+10A01", "\xe1\x82\xa0\x31", "KHAROSHTHI VOWEL SIGN I (U+10A01)"
"U+10A02", "\xe1\x82\xa0\x32", "KHAROSHTHI VOWEL SIGN U (U+10A02)"
"U+10A03", "\xe1\x82\xa0\x33", "KHAROSHTHI VOWEL SIGN VOCALIC R (U+10A03)"
"U+10A05", "\xe1\x82\xa0\x35", "KHAROSHTHI VOWEL SIGN E (U+10A05)"
"U+10A06", "\xe1\x82\xa0\x36", "KHAROSHTHI VOWEL SIGN O (U+10A06)"
"U+10A0C", "\xe1\x82\xa0\x43", "KHAROSHTHI VOWEL LENGTH MARK (U+10A0C)"
"U+10A0D", "\xe1\x82\xa0\x44", "KHAROSHTHI SIGN DOUBLE RING BELOW (U+10A0D)"
"U+10A0E", "\xe1\x82\xa0\x45", "KHAROSHTHI SIGN ANUSVARA (U+10A0E)"
"U+10A0F", "\xe1\x82\xa0\x46", "KHAROSHTHI SIGN VISARGA (U+10A0F)"
"U+10A10", "\xe1\x82\xa1\x30", "KHAROSHTHI LETTER KA (U+10A10)"
"U+10A11", "\xe1\x82\xa1\x31", "KHAROSHTHI LETTER KHA (U+10A11)"
"U+10A12", "\xe1\x82\xa1\x32", "KHAROSHTHI LETTER GA (U+10A12)"
"U+10A13", "\xe1\x82\xa1\x33", "KHAROSHTHI LETTER GHA (U+10A13)"
"U+10A15", "\xe1\x82\xa1\x35", "KHAROSHTHI LETTER CA (U+10A15)"
"U+10A16", "\xe1\x82\xa1\x36", "KHAROSHTHI LETTER CHA (U+10A16)"
"U+10A17", "\xe1\x82\xa1\x37", "KHAROSHTHI LETTER JA (U+10A17)"
"U+10A19", "\xe1\x82\xa1\x39", "KHAROSHTHI LETTER NYA (U+10A19)"
"U+10A1A", "\xe1\x82\xa1\x41", "KHAROSHTHI LETTER TTA (U+10A1A)"
"U+10A1B", "\xe1\x82\xa1\x42", "KHAROSHTHI LETTER TTHA (U+10A1B)"
"U+10A1C", "\xe1\x82\xa1\x43", "KHAROSHTHI LETTER DDA (U+10A1C)"
"U+10A1D", "\xe1\x82\xa1\x44", "KHAROSHTHI LETTER DDHA (U+10A1D)"
"U+10A1E", "\xe1\x82\xa1\x45", "KHAROSHTHI LETTER NNA (U+10A1E)"
"U+10A1F", "\xe1\x82\xa1\x46", "KHAROSHTHI LETTER TA (U+10A1F)"
"U+10A20", "\xe1\x82\xa2\x30", "KHAROSHTHI LETTER THA (U+10A20)"
"U+10A21", "\xe1\x82\xa2\x31", "KHAROSHTHI LETTER DA (U+10A21)"
"U+10A22", "\xe1\x82\xa2\x32", "KHAROSHTHI LETTER DHA (U+10A22)"
"U+10A23", "\xe1\x82\xa2\x33", "KHAROSHTHI LETTER NA (U+10A23)"
"U+10A24", "\xe1\x82\xa2\x34", "KHAROSHTHI LETTER PA (U+10A24)"
"U+10A25", "\xe1\x82\xa2\x35", "KHAROSHTHI LETTER PHA (U+10A25)"
"U+10A26", "\xe1\x82\xa2\x36", "KHAROSHTHI LETTER BA (U+10A26)"
"U+10A27", "\xe1\x82\xa2\x37", "KHAROSHTHI LETTER BHA (U+10A27)"
"U+10A28", "\xe1\x82\xa2\x38", "KHAROSHTHI LETTER MA (U+10A28)"
"U+10A29", "\xe1\x82\xa2\x39", "KHAROSHTHI LETTER YA (U+10A29)"
"U+10A2A", "\xe1\x82\xa2\x41", "KHAROSHTHI LETTER RA (U+10A2A)"
"U+10A2B", "\xe1\x82\xa2\x42", "KHAROSHTHI LETTER LA (U+10A2B)"
"U+10A2C", "\xe1\x82\xa2\x43", "KHAROSHTHI LETTER VA (U+10A2C)"
"U+10A2D", "\xe1\x82\xa2\x44", "KHAROSHTHI LETTER SHA (U+10A2D)"
"U+10A2E", "\xe1\x82\xa2\x45", "KHAROSHTHI LETTER SSA (U+10A2E)"
"U+10A2F", "\xe1\x82\xa2\x46", "KHAROSHTHI LETTER SA (U+10A2F)"
"U+10A30", "\xe1\x82\xa3\x30", "KHAROSHTHI LETTER ZA (U+10A30)"
"U+10A31", "\xe1\x82\xa3\x31", "KHAROSHTHI LETTER HA (U+10A31)"
"U+10A32", "\xe1\x82\xa3\x32", "KHAROSHTHI LETTER KKA (U+10A32)"
"U+10A33", "\xe1\x82\xa3\x33", "KHAROSHTHI LETTER TTTHA (U+10A33)"
"U+10A38", "\xe1\x82\xa3\x38", "KHAROSHTHI SIGN BAR ABOVE (U+10A38)"
"U+10A39", "\xe1\x82\xa3\x39", "KHAROSHTHI SIGN CAUDA (U+10A39)"
"U+10A3A", "\xe1\x82\xa3\x41", "KHAROSHTHI SIGN DOT BELOW (U+10A3A)"
"U+10A3F", "\xe1\x82\xa3\x46", "KHAROSHTHI VIRAMA (U+10A3F)"
"U+10A40", "\xe1\x82\xa4\x30", "KHAROSHTHI DIGIT ONE (U+10A40)"
"U+10A41", "\xe1\x82\xa4\x31", "KHAROSHTHI DIGIT TWO (U+10A41)"
"U+10A42", "\xe1\x82\xa4\x32", "KHAROSHTHI DIGIT THREE (U+10A42)"
"U+10A43", "\xe1\x82\xa4\x33", "KHAROSHTHI DIGIT FOUR (U+10A43)"
"U+10A44", "\xe1\x82\xa4\x34", "KHAROSHTHI NUMBER TEN (U+10A44)"
"U+10A45", "\xe1\x82\xa4\x35", "KHAROSHTHI NUMBER TWENTY (U+10A45)"
"U+10A46", "\xe1\x82\xa4\x36", "KHAROSHTHI NUMBER ONE HUNDRED (U+10A46)"
"U+10A47", "\xe1\x82\xa4\x37", "KHAROSHTHI NUMBER ONE THOUSAND (U+10A47)"
"U+10A50", "\xe1\x82\xa5\x30", "KHAROSHTHI PUNCTUATION DOT (U+10A50)"
"U+10A51", "\xe1\x82\xa5\x31", "KHAROSHTHI PUNCTUATION SMALL CIRCLE (U+10A51)"
"U+10A52", "\xe1\x82\xa5\x32", "KHAROSHTHI PUNCTUATION CIRCLE (U+10A52)"
"U+10A53", "\xe1\x82\xa5\x33", "KHAROSHTHI PUNCTUATION CRESCENT BAR (U+10A53)"
"U+10A54", "\xe1\x82\xa5\x34", "KHAROSHTHI PUNCTUATION MANGALAM (U+10A54)"
"U+10A55", "\xe1\x82\xa5\x35", "KHAROSHTHI PUNCTUATION LOTUS (U+10A55)"
"U+10A56", "\xe1\x82\xa5\x36", "KHAROSHTHI PUNCTUATION DANDA (U+10A56)"
"U+10A57", "\xe1\x82\xa5\x37", "KHAROSHTHI PUNCTUATION DOUBLE DANDA (U+10A57)"
"U+10A58", "\xe1\x82\xa5\x38", "KHAROSHTHI PUNCTUATION LINES (U+10A58)"
