# Unicode Characters in the Old South Arabian Block
# Source: http://www.fileformat.info/info/unicode/block/old_south_arabian/list.htm
"U+10A60", "\xe1\x82\xa6\x30", "OLD SOUTH ARABIAN LETTER HE (U+10A60)"
"U+10A61", "\xe1\x82\xa6\x31", "OLD SOUTH ARABIAN LETTER LAMEDH (U+10A61)"
"U+10A62", "\xe1\x82\xa6\x32", "OLD SOUTH ARABIAN LETTER HETH (U+10A62)"
"U+10A63", "\xe1\x82\xa6\x33", "OLD SOUTH ARABIAN LETTER MEM (U+10A63)"
"U+10A64", "\xe1\x82\xa6\x34", "OLD SOUTH ARABIAN LETTER QOPH (U+10A64)"
"U+10A65", "\xe1\x82\xa6\x35", "OLD SOUTH ARABIAN LETTER WAW (U+10A65)"
"U+10A66", "\xe1\x82\xa6\x36", "OLD SOUTH ARABIAN LETTER SHIN (U+10A66)"
"U+10A67", "\xe1\x82\xa6\x37", "OLD SOUTH ARABIAN LETTER RESH (U+10A67)"
"U+10A68", "\xe1\x82\xa6\x38", "OLD SOUTH ARABIAN LETTER BETH (U+10A68)"
"U+10A69", "\xe1\x82\xa6\x39", "OLD SOUTH ARABIAN LETTER TAW (U+10A69)"
"U+10A6A", "\xe1\x82\xa6\x41", "OLD SOUTH ARABIAN LETTER SAT (U+10A6A)"
"U+10A6B", "\xe1\x82\xa6\x42", "OLD SOUTH ARABIAN LETTER KAPH (U+10A6B)"
"U+10A6C", "\xe1\x82\xa6\x43", "OLD SOUTH ARABIAN LETTER NUN (U+10A6C)"
"U+10A6D", "\xe1\x82\xa6\x44", "OLD SOUTH ARABIAN LETTER KHETH (U+10A6D)"
"U+10A6E", "\xe1\x82\xa6\x45", "OLD SOUTH ARABIAN LETTER SADHE (U+10A6E)"
"U+10A6F", "\xe1\x82\xa6\x46", "OLD SOUTH ARABIAN LETTER SAMEKH (U+10A6F)"
"U+10A70", "\xe1\x82\xa7\x30", "OLD SOUTH ARABIAN LETTER FE (U+10A70)"
"U+10A71", "\xe1\x82\xa7\x31", "OLD SOUTH ARABIAN LETTER ALEF (U+10A71)"
"U+10A72", "\xe1\x82\xa7\x32", "OLD SOUTH ARABIAN LETTER AYN (U+10A72)"
"U+10A73", "\xe1\x82\xa7\x33", "OLD SOUTH ARABIAN LETTER DHADHE (U+10A73)"
"U+10A74", "\xe1\x82\xa7\x34", "OLD SOUTH ARABIAN LETTER GIMEL (U+10A74)"
"U+10A75", "\xe1\x82\xa7\x35", "OLD SOUTH ARABIAN LETTER DALETH (U+10A75)"
"U+10A76", "\xe1\x82\xa7\x36", "OLD SOUTH ARABIAN LETTER GHAYN (U+10A76)"
"U+10A77", "\xe1\x82\xa7\x37", "OLD SOUTH ARABIAN LETTER TETH (U+10A77)"
"U+10A78", "\xe1\x82\xa7\x38", "OLD SOUTH ARABIAN LETTER ZAYN (U+10A78)"
"U+10A79", "\xe1\x82\xa7\x39", "OLD SOUTH ARABIAN LETTER DHALETH (U+10A79)"
"U+10A7A", "\xe1\x82\xa7\x41", "OLD SOUTH ARABIAN LETTER YODH (U+10A7A)"
"U+10A7B", "\xe1\x82\xa7\x42", "OLD SOUTH ARABIAN LETTER THAW (U+10A7B)"
"U+10A7C", "\xe1\x82\xa7\x43", "OLD SOUTH ARABIAN LETTER THETH (U+10A7C)"
"U+10A7D", "\xe1\x82\xa7\x44", "OLD SOUTH ARABIAN NUMBER ONE (U+10A7D)"
"U+10A7E", "\xe1\x82\xa7\x45", "OLD SOUTH ARABIAN NUMBER FIFTY (U+10A7E)"
"U+10A7F", "\xe1\x82\xa7\x46", "OLD SOUTH ARABIAN NUMERIC INDICATOR (U+10A7F)"
