# Unicode Characters in the Avestan Block
# Source: http://www.fileformat.info/info/unicode/block/avestan/list.htm
"U+10B00", "\xe1\x82\xb0\x30", "AVESTAN LETTER A (U+10B00)"
"U+10B01", "\xe1\x82\xb0\x31", "AVESTAN LETTER AA (U+10B01)"
"U+10B02", "\xe1\x82\xb0\x32", "AVESTAN LETTER AO (U+10B02)"
"U+10B03", "\xe1\x82\xb0\x33", "AVESTAN LETTER AAO (U+10B03)"
"U+10B04", "\xe1\x82\xb0\x34", "AVESTAN LETTER AN (U+10B04)"
"U+10B05", "\xe1\x82\xb0\x35", "AVESTAN LETTER AAN (U+10B05)"
"U+10B06", "\xe1\x82\xb0\x36", "AVESTAN LETTER AE (U+10B06)"
"U+10B07", "\xe1\x82\xb0\x37", "AVESTAN LETTER AEE (U+10B07)"
"U+10B08", "\xe1\x82\xb0\x38", "AVESTAN LETTER E (U+10B08)"
"U+10B09", "\xe1\x82\xb0\x39", "AVESTAN LETTER EE (U+10B09)"
"U+10B0A", "\xe1\x82\xb0\x41", "AVESTAN LETTER O (U+10B0A)"
"U+10B0B", "\xe1\x82\xb0\x42", "AVESTAN LETTER OO (U+10B0B)"
"U+10B0C", "\xe1\x82\xb0\x43", "AVESTAN LETTER I (U+10B0C)"
"U+10B0D", "\xe1\x82\xb0\x44", "AVESTAN LETTER II (U+10B0D)"
"U+10B0E", "\xe1\x82\xb0\x45", "AVESTAN LETTER U (U+10B0E)"
"U+10B0F", "\xe1\x82\xb0\x46", "AVESTAN LETTER UU (U+10B0F)"
"U+10B10", "\xe1\x82\xb1\x30", "AVESTAN LETTER KE (U+10B10)"
"U+10B11", "\xe1\x82\xb1\x31", "AVESTAN LETTER XE (U+10B11)"
"U+10B12", "\xe1\x82\xb1\x32", "AVESTAN LETTER XYE (U+10B12)"
"U+10B13", "\xe1\x82\xb1\x33", "AVESTAN LETTER XVE (U+10B13)"
"U+10B14", "\xe1\x82\xb1\x34", "AVESTAN LETTER GE (U+10B14)"
"U+10B15", "\xe1\x82\xb1\x35", "AVESTAN LETTER GGE (U+10B15)"
"U+10B16", "\xe1\x82\xb1\x36", "AVESTAN LETTER GHE (U+10B16)"
"U+10B17", "\xe1\x82\xb1\x37", "AVESTAN LETTER CE (U+10B17)"
"U+10B18", "\xe1\x82\xb1\x38", "AVESTAN LETTER JE (U+10B18)"
"U+10B19", "\xe1\x82\xb1\x39", "AVESTAN LETTER TE (U+10B19)"
