# Unicode Characters in the Inscriptional Parthian Block
# Source: http://www.fileformat.info/info/unicode/block/inscriptional_parthian/list.htm
"U+10B40", "\xe1\x82\xb4\x30", "INSCRIPTIONAL PARTHIAN LETTER ALEPH (U+10B40)"
"U+10B41", "\xe1\x82\xb4\x31", "INSCRIPTIONAL PARTHIAN LETTER BETH (U+10B41)"
"U+10B42", "\xe1\x82\xb4\x32", "INSCRIPTIONAL PARTHIAN LETTER GIMEL (U+10B42)"
"U+10B43", "\xe1\x82\xb4\x33", "INSCRIPTIONAL PARTHIAN LETTER DALETH (U+10B43)"
"U+10B44", "\xe1\x82\xb4\x34", "INSCRIPTIONAL PARTHIAN LETTER HE (U+10B44)"
"U+10B45", "\xe1\x82\xb4\x35", "INSCRIPTIONAL PARTHIAN LETTER WAW (U+10B45)"
"U+10B46", "\xe1\x82\xb4\x36", "INSCRIPTIONAL PARTHIAN LETTER ZAYIN (U+10B46)"
"U+10B47", "\xe1\x82\xb4\x37", "INSCRIPTIONAL PARTHIAN LETTER HETH (U+10B47)"
"U+10B48", "\xe1\x82\xb4\x38", "INSCRIPTIONAL PARTHIAN LETTER TETH (U+10B48)"
"U+10B49", "\xe1\x82\xb4\x39", "INSCRIPTIONAL PARTHIAN LETTER YODH (U+10B49)"
"U+10B4A", "\xe1\x82\xb4\x41", "INSCRIPTIONAL PARTHIAN LETTER KAPH (U+10B4A)"
"U+10B4B", "\xe1\x82\xb4\x42", "INSCRIPTIONAL PARTHIAN LETTER LAMEDH (U+10B4B)"
"U+10B4C", "\xe1\x82\xb4\x43", "INSCRIPTIONAL PARTHIAN LETTER MEM (U+10B4C)"
"U+10B4D", "\xe1\x82\xb4\x44", "INSCRIPTIONAL PARTHIAN LETTER NUN (U+10B4D)"
"U+10B4E", "\xe1\x82\xb4\x45", "INSCRIPTIONAL PARTHIAN LETTER SAMEKH (U+10B4E)"
"U+10B4F", "\xe1\x82\xb4\x46", "INSCRIPTIONAL PARTHIAN LETTER AYIN (U+10B4F)"
"U+10B50", "\xe1\x82\xb5\x30", "INSCRIPTIONAL PARTHIAN LETTER PE (U+10B50)"
"U+10B51", "\xe1\x82\xb5\x31", "INSCRIPTIONAL PARTHIAN LETTER SADHE (U+10B51)"
"U+10B52", "\xe1\x82\xb5\x32", "INSCRIPTIONAL PARTHIAN LETTER QOPH (U+10B52)"
"U+10B53", "\xe1\x82\xb5\x33", "INSCRIPTIONAL PARTHIAN LETTER RESH (U+10B53)"
"U+10B54", "\xe1\x82\xb5\x34", "INSCRIPTIONAL PARTHIAN LETTER SHIN (U+10B54)"
"U+10B55", "\xe1\x82\xb5\x35", "INSCRIPTIONAL PARTHIAN LETTER TAW (U+10B55)"
"U+10B58", "\xe1\x82\xb5\x38", "INSCRIPTIONAL PARTHIAN NUMBER ONE (U+10B58)"
"U+10B59", "\xe1\x82\xb5\x39", "INSCRIPTIONAL PARTHIAN NUMBER TWO (U+10B59)"
"U+10B5A", "\xe1\x82\xb5\x41", "INSCRIPTIONAL PARTHIAN NUMBER THREE (U+10B5A)"
"U+10B5B", "\xe1\x82\xb5\x42", "INSCRIPTIONAL PARTHIAN NUMBER FOUR (U+10B5B)"
"U+10B5C", "\xe1\x82\xb5\x43", "INSCRIPTIONAL PARTHIAN NUMBER TEN (U+10B5C)"
"U+10B5D", "\xe1\x82\xb5\x44", "INSCRIPTIONAL PARTHIAN NUMBER TWENTY (U+10B5D)"
"U+10B5E", "\xe1\x82\xb5\x45", "INSCRIPTIONAL PARTHIAN NUMBER ONE HUNDRED (U+10B5E)"
"U+10B5F", "\xe1\x82\xb5\x46", "INSCRIPTIONAL PARTHIAN NUMBER ONE THOUSAND (U+10B5F)"
