# Unicode Characters in the Inscriptional Pahlavi Block
# Source: http://www.fileformat.info/info/unicode/block/inscriptional_pahlavi/list.htm
"U+10B60", "\xe1\x82\xb6\x30", "INSCRIPTIONAL PAHLAVI LETTER ALEPH (U+10B60)"
"U+10B61", "\xe1\x82\xb6\x31", "INSCRIPTIONAL PAHLAVI LETTER BETH (U+10B61)"
"U+10B62", "\xe1\x82\xb6\x32", "INSCRIPTIONAL PAHLAVI LETTER GIMEL (U+10B62)"
"U+10B63", "\xe1\x82\xb6\x33", "INSCRIPTIONAL PAHLAVI LETTER DALETH (U+10B63)"
"U+10B64", "\xe1\x82\xb6\x34", "INSCRIPTIONAL PAHLAVI LETTER HE (U+10B64)"
"U+10B65", "\xe1\x82\xb6\x35", "INSCRIPTIONAL PAHLAVI LETTER WAW-AYIN-RESH (U+10B65)"
"U+10B66", "\xe1\x82\xb6\x36", "INSCRIPTIONAL PAHLAVI LETTER ZAYIN (U+10B66)"
"U+10B67", "\xe1\x82\xb6\x37", "INSCRIPTIONAL PAHLAVI LETTER HETH (U+10B67)"
"U+10B68", "\xe1\x82\xb6\x38", "INSCRIPTIONAL PAHLAVI LETTER TETH (U+10B68)"
"U+10B69", "\xe1\x82\xb6\x39", "INSCRIPTIONAL PAHLAVI LETTER YODH (U+10B69)"
"U+10B6A", "\xe1\x82\xb6\x41", "INSCRIPTIONAL PAHLAVI LETTER KAPH (U+10B6A)"
"U+10B6B", "\xe1\x82\xb6\x42", "INSCRIPTIONAL PAHLAVI LETTER LAMEDH (U+10B6B)"
"U+10B6C", "\xe1\x82\xb6\x43", "INSCRIPTIONAL PAHLAVI LETTER MEM-QOPH (U+10B6C)"
"U+10B6D", "\xe1\x82\xb6\x44", "INSCRIPTIONAL PAHLAVI LETTER NUN (U+10B6D)"
"U+10B6E", "\xe1\x82\xb6\x45", "INSCRIPTIONAL PAHLAVI LETTER SAMEKH (U+10B6E)"
"U+10B6F", "\xe1\x82\xb6\x46", "INSCRIPTIONAL PAHLAVI LETTER PE (U+10B6F)"
"U+10B70", "\xe1\x82\xb7\x30", "INSCRIPTIONAL PAHLAVI LETTER SADHE (U+10B70)"
"U+10B71", "\xe1\x82\xb7\x31", "INSCRIPTIONAL PAHLAVI LETTER SHIN (U+10B71)"
"U+10B72", "\xe1\x82\xb7\x32", "INSCRIPTIONAL PAHLAVI LETTER TAW (U+10B72)"
"U+10B78", "\xe1\x82\xb7\x38", "INSCRIPTIONAL PAHLAVI NUMBER ONE (U+10B78)"
"U+10B79", "\xe1\x82\xb7\x39", "INSCRIPTIONAL PAHLAVI NUMBER TWO (U+10B79)"
"U+10B7A", "\xe1\x82\xb7\x41", "INSCRIPTIONAL PAHLAVI NUMBER THREE (U+10B7A)"
"U+10B7B", "\xe1\x82\xb7\x42", "INSCRIPTIONAL PAHLAVI NUMBER FOUR (U+10B7B)"
"U+10B7C", "\xe1\x82\xb7\x43", "INSCRIPTIONAL PAHLAVI NUMBER TEN (U+10B7C)"
"U+10B7D", "\xe1\x82\xb7\x44", "INSCRIPTIONAL PAHLAVI NUMBER TWENTY (U+10B7D)"
"U+10B7E", "\xe1\x82\xb7\x45", "INSCRIPTIONAL PAHLAVI NUMBER ONE HUNDRED (U+10B7E)"
"U+10B7F", "\xe1\x82\xb7\x46", "INSCRIPTIONAL PAHLAVI NUMBER ONE THOUSAND (U+10B7F)"
