# Unicode Characters in the Old Turkic Block
# Source: http://www.fileformat.info/info/unicode/block/old_turkic/list.htm
"U+10C00", "\xe1\x83\x80\x30", "OLD TURKIC LETTER ORKHON A (U+10C00)"
"U+10C01", "\xe1\x83\x80\x31", "OLD TURKIC LETTER YENISEI A (U+10C01)"
"U+10C02", "\xe1\x83\x80\x32", "OLD TURKIC LETTER YENISEI AE (U+10C02)"
"U+10C03", "\xe1\x83\x80\x33", "OLD TURKIC LETTER ORKHON I (U+10C03)"
"U+10C04", "\xe1\x83\x80\x34", "OLD TURKIC LETTER YENISEI I (U+10C04)"
"U+10C05", "\xe1\x83\x80\x35", "OLD TURKIC LETTER YENISEI E (U+10C05)"
"U+10C06", "\xe1\x83\x80\x36", "OLD TURKIC LETTER ORKHON O (U+10C06)"
"U+10C07", "\xe1\x83\x80\x37", "OLD TURKIC LETTER ORKHON OE (U+10C07)"
"U+10C08", "\xe1\x83\x80\x38", "OLD TURKIC LETTER YENISEI OE (U+10C08)"
"U+10C09", "\xe1\x83\x80\x39", "OLD TURKIC LETTER ORKHON AB (U+10C09)"
"U+10C0A", "\xe1\x83\x80\x41", "OLD TURKIC LETTER YENISEI AB (U+10C0A)"
"U+10C0B", "\xe1\x83\x80\x42", "OLD TURKIC LETTER ORKHON AEB (U+10C0B)"
"U+10C0C", "\xe1\x83\x80\x43", "OLD TURKIC LETTER YENISEI AEB (U+10C0C)"
"U+10C0D", "\xe1\x83\x80\x44", "OLD TURKIC LETTER ORKHON AG (U+10C0D)"
"U+10C0E", "\xe1\x83\x80\x45", "OLD TURKIC LETTER YENISEI AG (U+10C0E)"
"U+10C0F", "\xe1\x83\x80\x46", "OLD TURKIC LETTER ORKHON AEG (U+10C0F)"
"U+10C10", "\xe1\x83\x81\x30", "OLD TURKIC LETTER YENISEI AEG (U+10C10)"
"U+10C11", "\xe1\x83\x81\x31", "OLD TURKIC LETTER ORKHON AD (U+10C11)"
"U+10C12", "\xe1\x83\x81\x32", "OLD TURKIC LETTER YENISEI AD (U+10C12)"
"U+10C13", "\xe1\x83\x81\x33", "OLD TURKIC LETTER ORKHON AED (U+10C13)"
"U+10C14", "\xe1\x83\x81\x34", "OLD TURKIC LETTER ORKHON EZ (U+10C14)"
"U+10C15", "\xe1\x83\x81\x35", "OLD TURKIC LETTER YENISEI EZ (U+10C15)"
"U+10C16", "\xe1\x83\x81\x36", "OLD TURKIC LETTER ORKHON AY (U+10C16)"
"U+10C17", "\xe1\x83\x81\x37", "OLD TURKIC LETTER YENISEI AY (U+10C17)"
"U+10C18", "\xe1\x83\x81\x38", "OLD TURKIC LETTER ORKHON AEY (U+10C18)"
"U+10C19", "\xe1\x83\x81\x39", "OLD TURKIC LETTER YENISEI AEY (U+10C19)"
"U+10C1A", "\xe1\x83\x81\x41", "OLD TURKIC LETTER ORKHON AEK (U+10C1A)"
"U+10C1B", "\xe1\x83\x81\x42", "OLD TURKIC LETTER YENISEI AEK (U+10C1B)"
"U+10C1C", "\xe1\x83\x81\x43", "OLD TURKIC LETTER ORKHON OEK (U+10C1C)"
"U+10C1D", "\xe1\x83\x81\x44", "OLD TURKIC LETTER YENISEI OEK (U+10C1D)"
"U+10C1E", "\xe1\x83\x81\x45", "OLD TURKIC LETTER ORKHON AL (U+10C1E)"
"U+10C1F", "\xe1\x83\x81\x46", "OLD TURKIC LETTER YENISEI AL (U+10C1F)"
"U+10C20", "\xe1\x83\x82\x30", "OLD TURKIC LETTER ORKHON AEL (U+10C20)"
"U+10C21", "\xe1\x83\x82\x31", "OLD TURKIC LETTER ORKHON ELT (U+10C21)"
"U+10C22", "\xe1\x83\x82\x32", "OLD TURKIC LETTER ORKHON EM (U+10C22)"
"U+10C23", "\xe1\x83\x82\x33", "OLD TURKIC LETTER ORKHON AN (U+10C23)"
"U+10C24", "\xe1\x83\x82\x34", "OLD TURKIC LETTER ORKHON AEN (U+10C24)"
"U+10C25", "\xe1\x83\x82\x35", "OLD TURKIC LETTER YENISEI AEN (U+10C25)"
"U+10C26", "\xe1\x83\x82\x36", "OLD TURKIC LETTER ORKHON ENT (U+10C26)"
"U+10C27", "\xe1\x83\x82\x37", "OLD TURKIC LETTER YENISEI ENT (U+10C27)"
"U+10C28", "\xe1\x83\x82\x38", "OLD TURKIC LETTER ORKHON ENC (U+10C28)"
"U+10C29", "\xe1\x83\x82\x39", "OLD TURKIC LETTER YENISEI ENC (U+10C29)"
"U+10C2A", "\xe1\x83\x82\x41", "OLD TURKIC LETTER ORKHON ENY (U+10C2A)"
"U+10C2B", "\xe1\x83\x82\x42", "OLD TURKIC LETTER YENISEI ENY (U+10C2B)"
"U+10C2C", "\xe1\x83\x82\x43", "OLD TURKIC LETTER YENISEI ANG (U+10C2C)"
"U+10C2D", "\xe1\x83\x82\x44", "OLD TURKIC LETTER ORKHON ENG (U+10C2D)"
"U+10C2E", "\xe1\x83\x82\x45", "OLD TURKIC LETTER YENISEI AENG (U+10C2E)"
"U+10C2F", "\xe1\x83\x82\x46", "OLD TURKIC LETTER ORKHON EP (U+10C2F)"
"U+10C30", "\xe1\x83\x83\x30", "OLD TURKIC LETTER ORKHON OP (U+10C30)"
"U+10C31", "\xe1\x83\x83\x31", "OLD TURKIC LETTER ORKHON IC (U+10C31)"
"U+10C32", "\xe1\x83\x83\x32", "OLD TURKIC LETTER ORKHON EC (U+10C32)"
"U+10C33", "\xe1\x83\x83\x33", "OLD TURKIC LETTER YENISEI EC (U+10C33)"
"U+10C34", "\xe1\x83\x83\x34", "OLD TURKIC LETTER ORKHON AQ (U+10C34)"
"U+10C35", "\xe1\x83\x83\x35", "OLD TURKIC LETTER YENISEI AQ (U+10C35)"
"U+10C36", "\xe1\x83\x83\x36", "OLD TURKIC LETTER ORKHON IQ (U+10C36)"
"U+10C37", "\xe1\x83\x83\x37", "OLD TURKIC LETTER YENISEI IQ (U+10C37)"
"U+10C38", "\xe1\x83\x83\x38", "OLD TURKIC LETTER ORKHON OQ (U+10C38)"
"U+10C39", "\xe1\x83\x83\x39", "OLD TURKIC LETTER YENISEI OQ (U+10C39)"
"U+10C3A", "\xe1\x83\x83\x41", "OLD TURKIC LETTER ORKHON AR (U+10C3A)"
"U+10C3B", "\xe1\x83\x83\x42", "OLD TURKIC LETTER YENISEI AR (U+10C3B)"
"U+10C3C", "\xe1\x83\x83\x43", "OLD TURKIC LETTER ORKHON AER (U+10C3C)"
"U+10C3D", "\xe1\x83\x83\x44", "OLD TURKIC LETTER ORKHON AS (U+10C3D)"
"U+10C3E", "\xe1\x83\x83\x45", "OLD TURKIC LETTER ORKHON AES (U+10C3E)"
"U+10C3F", "\xe1\x83\x83\x46", "OLD TURKIC LETTER ORKHON ASH (U+10C3F)"
"U+10C40", "\xe1\x83\x84\x30", "OLD TURKIC LETTER YENISEI ASH (U+10C40)"
"U+10C41", "\xe1\x83\x84\x31", "OLD TURKIC LETTER ORKHON ESH (U+10C41)"
"U+10C42", "\xe1\x83\x84\x32", "OLD TURKIC LETTER YENISEI ESH (U+10C42)"
"U+10C43", "\xe1\x83\x84\x33", "OLD TURKIC LETTER ORKHON AT (U+10C43)"
"U+10C44", "\xe1\x83\x84\x34", "OLD TURKIC LETTER YENISEI AT (U+10C44)"
"U+10C45", "\xe1\x83\x84\x35", "OLD TURKIC LETTER ORKHON AET (U+10C45)"
"U+10C46", "\xe1\x83\x84\x36", "OLD TURKIC LETTER YENISEI AET (U+10C46)"
"U+10C47", "\xe1\x83\x84\x37", "OLD TURKIC LETTER ORKHON OT (U+10C47)"
"U+10C48", "\xe1\x83\x84\x38", "OLD TURKIC LETTER ORKHON BASH (U+10C48)"
