# Unicode Characters in the Rumi Numeral Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/rumi_numeral_symbols/list.htm
"U+10E60", "\xe1\x83\xa6\x30", "RUMI DIGIT ONE (U+10E60)"
"U+10E61", "\xe1\x83\xa6\x31", "RUMI DIGIT TWO (U+10E61)"
"U+10E62", "\xe1\x83\xa6\x32", "RUMI DIGIT THREE (U+10E62)"
"U+10E63", "\xe1\x83\xa6\x33", "RUMI DIGIT FOUR (U+10E63)"
"U+10E64", "\xe1\x83\xa6\x34", "RUMI DIGIT FIVE (U+10E64)"
"U+10E65", "\xe1\x83\xa6\x35", "RUMI DIGIT SIX (U+10E65)"
"U+10E66", "\xe1\x83\xa6\x36", "RUMI DIGIT SEVEN (U+10E66)"
"U+10E67", "\xe1\x83\xa6\x37", "RUMI DIGIT EIGHT (U+10E67)"
"U+10E68", "\xe1\x83\xa6\x38", "RUMI DIGIT NINE (U+10E68)"
"U+10E69", "\xe1\x83\xa6\x39", "RUMI NUMBER TEN (U+10E69)"
"U+10E6A", "\xe1\x83\xa6\x41", "RUMI NUMBER TWENTY (U+10E6A)"
"U+10E6B", "\xe1\x83\xa6\x42", "RUMI NUMBER THIRTY (U+10E6B)"
"U+10E6C", "\xe1\x83\xa6\x43", "RUMI NUMBER FORTY (U+10E6C)"
"U+10E6D", "\xe1\x83\xa6\x44", "RUMI NUMBER FIFTY (U+10E6D)"
"U+10E6E", "\xe1\x83\xa6\x45", "RUMI NUMBER SIXTY (U+10E6E)"
"U+10E6F", "\xe1\x83\xa6\x46", "RUMI NUMBER SEVENTY (U+10E6F)"
"U+10E70", "\xe1\x83\xa7\x30", "RUMI NUMBER EIGHTY (U+10E70)"
"U+10E71", "\xe1\x83\xa7\x31", "RUMI NUMBER NINETY (U+10E71)"
"U+10E72", "\xe1\x83\xa7\x32", "RUMI NUMBER ONE HUNDRED (U+10E72)"
"U+10E73", "\xe1\x83\xa7\x33", "RUMI NUMBER TWO HUNDRED (U+10E73)"
"U+10E74", "\xe1\x83\xa7\x34", "RUMI NUMBER THREE HUNDRED (U+10E74)"
"U+10E75", "\xe1\x83\xa7\x35", "RUMI NUMBER FOUR HUNDRED (U+10E75)"
"U+10E76", "\xe1\x83\xa7\x36", "RUMI NUMBER FIVE HUNDRED (U+10E76)"
"U+10E77", "\xe1\x83\xa7\x37", "RUMI NUMBER SIX HUNDRED (U+10E77)"
"U+10E78", "\xe1\x83\xa7\x38", "RUMI NUMBER SEVEN HUNDRED (U+10E78)"
"U+10E79", "\xe1\x83\xa7\x39", "RUMI NUMBER EIGHT HUNDRED (U+10E79)"
"U+10E7A", "\xe1\x83\xa7\x41", "RUMI NUMBER NINE HUNDRED (U+10E7A)"
"U+10E7B", "\xe1\x83\xa7\x42", "RUMI FRACTION ONE HALF (U+10E7B)"
"U+10E7C", "\xe1\x83\xa7\x43", "RUMI FRACTION ONE QUARTER (U+10E7C)"
"U+10E7D", "\xe1\x83\xa7\x44", "RUMI FRACTION ONE THIRD (U+10E7D)"
"U+10E7E", "\xe1\x83\xa7\x45", "RUMI FRACTION TWO THIRDS (U+10E7E)"
