# Unicode Characters in the Brahmi Block
# Source: http://www.fileformat.info/info/unicode/block/brahmi/list.htm
"U+11000", "\xe1\x84\x80\x30", "BRAHMI SIGN CANDRABINDU (U+11000)"
"U+11001", "\xe1\x84\x80\x31", "BRAHMI SIGN ANUSVARA (U+11001)"
"U+11002", "\xe1\x84\x80\x32", "BRAHMI SIGN VISARGA (U+11002)"
"U+11003", "\xe1\x84\x80\x33", "BRAHMI SIGN JIHVAMULIYA (U+11003)"
"U+11004", "\xe1\x84\x80\x34", "BRAHMI SIGN UPADHMANIYA (U+11004)"
"U+11005", "\xe1\x84\x80\x35", "BRAHMI LETTER A (U+11005)"
"U+11006", "\xe1\x84\x80\x36", "BRAHMI LETTER AA (U+11006)"
"U+11007", "\xe1\x84\x80\x37", "BRAHMI LETTER I (U+11007)"
"U+11008", "\xe1\x84\x80\x38", "BRAHMI LETTER II (U+11008)"
"U+11009", "\xe1\x84\x80\x39", "BRAHMI LETTER U (U+11009)"
"U+1100A", "\xe1\x84\x80\x41", "BRAHMI LETTER UU (U+1100A)"
"U+1100B", "\xe1\x84\x80\x42", "BRAHMI LETTER VOCALIC R (U+1100B)"
"U+1100C", "\xe1\x84\x80\x43", "BRAHMI LETTER VOCALIC RR (U+1100C)"
"U+1100D", "\xe1\x84\x80\x44", "BRAHMI LETTER VOCALIC L (U+1100D)"
"U+1100E", "\xe1\x84\x80\x45", "BRAHMI LETTER VOCALIC LL (U+1100E)"
"U+1100F", "\xe1\x84\x80\x46", "BRAHMI LETTER E (U+1100F)"
"U+11010", "\xe1\x84\x81\x30", "BRAHMI LETTER AI (U+11010)"
"U+11011", "\xe1\x84\x81\x31", "BRAHMI LETTER O (U+11011)"
"U+11012", "\xe1\x84\x81\x32", "BRAHMI LETTER AU (U+11012)"
"U+11013", "\xe1\x84\x81\x33", "BRAHMI LETTER KA (U+11013)"
"U+11014", "\xe1\x84\x81\x34", "BRAHMI LETTER KHA (U+11014)"
"U+11015", "\xe1\x84\x81\x35", "BRAHMI LETTER GA (U+11015)"
"U+11016", "\xe1\x84\x81\x36", "BRAHMI LETTER GHA (U+11016)"
"U+11017", "\xe1\x84\x81\x37", "BRAHMI LETTER NGA (U+11017)"
"U+11018", "\xe1\x84\x81\x38", "BRAHMI LETTER CA (U+11018)"
"U+11019", "\xe1\x84\x81\x39", "BRAHMI LETTER CHA (U+11019)"
"U+1101A", "\xe1\x84\x81\x41", "BRAHMI LETTER JA (U+1101A)"
"U+1101B", "\xe1\x84\x81\x42", "BRAHMI LETTER JHA (U+1101B)"
"U+1101C", "\xe1\x84\x81\x43", "BRAHMI LETTER NYA (U+1101C)"
"U+1101D", "\xe1\x84\x81\x44", "BRAHMI LETTER TTA (U+1101D)"
"U+1101E", "\xe1\x84\x81\x45", "BRAHMI LETTER TTHA (U+1101E)"
"U+1101F", "\xe1\x84\x81\x46", "BRAHMI LETTER DDA (U+1101F)"
"U+11020", "\xe1\x84\x82\x30", "BRAHMI LETTER DDHA (U+11020)"
"U+11021", "\xe1\x84\x82\x31", "BRAHMI LETTER NNA (U+11021)"
"U+11022", "\xe1\x84\x82\x32", "BRAHMI LETTER TA (U+11022)"
"U+11023", "\xe1\x84\x82\x33", "BRAHMI LETTER THA (U+11023)"
"U+11024", "\xe1\x84\x82\x34", "BRAHMI LETTER DA (U+11024)"
"U+11025", "\xe1\x84\x82\x35", "BRAHMI LETTER DHA (U+11025)"
"U+11026", "\xe1\x84\x82\x36", "BRAHMI LETTER NA (U+11026)"
"U+11027", "\xe1\x84\x82\x37", "BRAHMI LETTER PA (U+11027)"
"U+11028", "\xe1\x84\x82\x38", "BRAHMI LETTER PHA (U+11028)"
"U+11029", "\xe1\x84\x82\x39", "BRAHMI LETTER BA (U+11029)"
"U+1102A", "\xe1\x84\x82\x41", "BRAHMI LETTER BHA (U+1102A)"
"U+1102B", "\xe1\x84\x82\x42", "BRAHMI LETTER MA (U+1102B)"
"U+1102C", "\xe1\x84\x82\x43", "BRAHMI LETTER YA (U+1102C)"
"U+1102D", "\xe1\x84\x82\x44", "BRAHMI LETTER RA (U+1102D)"
"U+1102E", "\xe1\x84\x82\x45", "BRAHMI LETTER LA (U+1102E)"
"U+1102F", "\xe1\x84\x82\x46", "BRAHMI LETTER VA (U+1102F)"
"U+11030", "\xe1\x84\x83\x30", "BRAHMI LETTER SHA (U+11030)"
"U+11031", "\xe1\x84\x83\x31", "BRAHMI LETTER SSA (U+11031)"
"U+11032", "\xe1\x84\x83\x32", "BRAHMI LETTER SA (U+11032)"
"U+11033", "\xe1\x84\x83\x33", "BRAHMI LETTER HA (U+11033)"
"U+11034", "\xe1\x84\x83\x34", "BRAHMI LETTER LLA (U+11034)"
"U+11035", "\xe1\x84\x83\x35", "BRAHMI LETTER OLD TAMIL LLLA (U+11035)"
"U+11036", "\xe1\x84\x83\x36", "BRAHMI LETTER OLD TAMIL RRA (U+11036)"
"U+11037", "\xe1\x84\x83\x37", "BRAHMI LETTER OLD TAMIL NNNA (U+11037)"
"U+11038", "\xe1\x84\x83\x38", "BRAHMI VOWEL SIGN AA (U+11038)"
"U+11039", "\xe1\x84\x83\x39", "BRAHMI VOWEL SIGN BHATTIPROLU AA (U+11039)"
"U+1103A", "\xe1\x84\x83\x41", "BRAHMI VOWEL SIGN I (U+1103A)"
"U+1103B", "\xe1\x84\x83\x42", "BRAHMI VOWEL SIGN II (U+1103B)"
"U+1103C", "\xe1\x84\x83\x43", "BRAHMI VOWEL SIGN U (U+1103C)"
"U+1103D", "\xe1\x84\x83\x44", "BRAHMI VOWEL SIGN UU (U+1103D)"
"U+1103E", "\xe1\x84\x83\x45", "BRAHMI VOWEL SIGN VOCALIC R (U+1103E)"
"U+1103F", "\xe1\x84\x83\x46", "BRAHMI VOWEL SIGN VOCALIC RR (U+1103F)"
"U+11040", "\xe1\x84\x84\x30", "BRAHMI VOWEL SIGN VOCALIC L (U+11040)"
"U+11041", "\xe1\x84\x84\x31", "BRAHMI VOWEL SIGN VOCALIC LL (U+11041)"
"U+11042", "\xe1\x84\x84\x32", "BRAHMI VOWEL SIGN E (U+11042)"
"U+11043", "\xe1\x84\x84\x33", "BRAHMI VOWEL SIGN AI (U+11043)"
"U+11044", "\xe1\x84\x84\x34", "BRAHMI VOWEL SIGN O (U+11044)"
"U+11045", "\xe1\x84\x84\x35", "BRAHMI VOWEL SIGN AU (U+11045)"
"U+11046", "\xe1\x84\x84\x36", "BRAHMI VIRAMA (U+11046)"
"U+11047", "\xe1\x84\x84\x37", "BRAHMI DANDA (U+11047)"
"U+11048", "\xe1\x84\x84\x38", "BRAHMI DOUBLE DANDA (U+11048)"
"U+11049", "\xe1\x84\x84\x39", "BRAHMI PUNCTUATION DOT (U+11049)"
"U+1104A", "\xe1\x84\x84\x41", "BRAHMI PUNCTUATION DOUBLE DOT (U+1104A)"
"U+1104B", "\xe1\x84\x84\x42", "BRAHMI PUNCTUATION LINE (U+1104B)"
"U+1104C", "\xe1\x84\x84\x43", "BRAHMI PUNCTUATION CRESCENT BAR (U+1104C)"
"U+1104D", "\xe1\x84\x84\x44", "BRAHMI PUNCTUATION LOTUS (U+1104D)"
"U+11052", "\xe1\x84\x85\x32", "BRAHMI NUMBER ONE (U+11052)"
"U+11053", "\xe1\x84\x85\x33", "BRAHMI NUMBER TWO (U+11053)"
"U+11054", "\xe1\x84\x85\x34", "BRAHMI NUMBER THREE (U+11054)"
"U+11055", "\xe1\x84\x85\x35", "BRAHMI NUMBER FOUR (U+11055)"
"U+11056", "\xe1\x84\x85\x36", "BRAHMI NUMBER FIVE (U+11056)"
"U+11057", "\xe1\x84\x85\x37", "BRAHMI NUMBER SIX (U+11057)"
"U+11058", "\xe1\x84\x85\x38", "BRAHMI NUMBER SEVEN (U+11058)"
"U+11059", "\xe1\x84\x85\x39", "BRAHMI NUMBER EIGHT (U+11059)"
"U+1105A", "\xe1\x84\x85\x41", "BRAHMI NUMBER NINE (U+1105A)"
"U+1105B", "\xe1\x84\x85\x42", "BRAHMI NUMBER TEN (U+1105B)"
"U+1105C", "\xe1\x84\x85\x43", "BRAHMI NUMBER TWENTY (U+1105C)"
"U+1105D", "\xe1\x84\x85\x44", "BRAHMI NUMBER THIRTY (U+1105D)"
"U+1105E", "\xe1\x84\x85\x45", "BRAHMI NUMBER FORTY (U+1105E)"
"U+1105F", "\xe1\x84\x85\x46", "BRAHMI NUMBER FIFTY (U+1105F)"
"U+11060", "\xe1\x84\x86\x30", "BRAHMI NUMBER SIXTY (U+11060)"
"U+11061", "\xe1\x84\x86\x31", "BRAHMI NUMBER SEVENTY (U+11061)"
"U+11062", "\xe1\x84\x86\x32", "BRAHMI NUMBER EIGHTY (U+11062)"
"U+11063", "\xe1\x84\x86\x33", "BRAHMI NUMBER NINETY (U+11063)"
"U+11064", "\xe1\x84\x86\x34", "BRAHMI NUMBER ONE HUNDRED (U+11064)"
"U+11065", "\xe1\x84\x86\x35", "BRAHMI NUMBER ONE THOUSAND (U+11065)"
"U+11066", "\xe1\x84\x86\x36", "BRAHMI DIGIT ZERO (U+11066)"
"U+11067", "\xe1\x84\x86\x37", "BRAHMI DIGIT ONE (U+11067)"
"U+11068", "\xe1\x84\x86\x38", "BRAHMI DIGIT TWO (U+11068)"
"U+11069", "\xe1\x84\x86\x39", "BRAHMI DIGIT THREE (U+11069)"
"U+1106A", "\xe1\x84\x86\x41", "BRAHMI DIGIT FOUR (U+1106A)"
"U+1106B", "\xe1\x84\x86\x42", "BRAHMI DIGIT FIVE (U+1106B)"
"U+1106C", "\xe1\x84\x86\x43", "BRAHMI DIGIT SIX (U+1106C)"
"U+1106D", "\xe1\x84\x86\x44", "BRAHMI DIGIT SEVEN (U+1106D)"
"U+1106E", "\xe1\x84\x86\x45", "BRAHMI DIGIT EIGHT (U+1106E)"
"U+1106F", "\xe1\x84\x86\x46", "BRAHMI DIGIT NINE (U+1106F)"
