# Unicode Characters in the Kaithi Block
# Source: http://www.fileformat.info/info/unicode/block/kaithi/list.htm
"U+11080", "\xe1\x84\x88\x30", "KAITHI SIGN CANDRABINDU (U+11080)"
"U+11081", "\xe1\x84\x88\x31", "KAITHI SIGN ANUSVARA (U+11081)"
"U+11082", "\xe1\x84\x88\x32", "KAITHI SIGN VISARGA (U+11082)"
"U+11083", "\xe1\x84\x88\x33", "KAITHI LETTER A (U+11083)"
"U+11084", "\xe1\x84\x88\x34", "KAITHI LETTER AA (U+11084)"
"U+11085", "\xe1\x84\x88\x35", "KAITHI LETTER I (U+11085)"
"U+11086", "\xe1\x84\x88\x36", "KAITHI LETTER II (U+11086)"
"U+11087", "\xe1\x84\x88\x37", "KAITHI LETTER U (U+11087)"
"U+11088", "\xe1\x84\x88\x38", "KAITHI LETTER UU (U+11088)"
"U+11089", "\xe1\x84\x88\x39", "KAITHI LETTER E (U+11089)"
"U+1108A", "\xe1\x84\x88\x41", "KAITHI LETTER AI (U+1108A)"
"U+1108B", "\xe1\x84\x88\x42", "KAITHI LETTER O (U+1108B)"
"U+1108C", "\xe1\x84\x88\x43", "KAITHI LETTER AU (U+1108C)"
"U+1108D", "\xe1\x84\x88\x44", "KAITHI LETTER KA (U+1108D)"
"U+1108E", "\xe1\x84\x88\x45", "KAITHI LETTER KHA (U+1108E)"
"U+1108F", "\xe1\x84\x88\x46", "KAITHI LETTER GA (U+1108F)"
"U+11090", "\xe1\x84\x89\x30", "KAITHI LETTER GHA (U+11090)"
"U+11091", "\xe1\x84\x89\x31", "KAITHI LETTER NGA (U+11091)"
"U+11092", "\xe1\x84\x89\x32", "KAITHI LETTER CA (U+11092)"
"U+11093", "\xe1\x84\x89\x33", "KAITHI LETTER CHA (U+11093)"
"U+11094", "\xe1\x84\x89\x34", "KAITHI LETTER JA (U+11094)"
"U+11095", "\xe1\x84\x89\x35", "KAITHI LETTER JHA (U+11095)"
"U+11096", "\xe1\x84\x89\x36", "KAITHI LETTER NYA (U+11096)"
"U+11097", "\xe1\x84\x89\x37", "KAITHI LETTER TTA (U+11097)"
"U+11098", "\xe1\x84\x89\x38", "KAITHI LETTER TTHA (U+11098)"
"U+11099", "\xe1\x84\x89\x39", "KAITHI LETTER DDA (U+11099)"
"U+1109A", "\xe1\x84\x89\x41", "KAITHI LETTER DDDHA (U+1109A)"
"U+1109B", "\xe1\x84\x89\x42", "KAITHI LETTER DDHA (U+1109B)"
"U+1109C", "\xe1\x84\x89\x43", "KAITHI LETTER RHA (U+1109C)"
"U+1109D", "\xe1\x84\x89\x44", "KAITHI LETTER NNA (U+1109D)"
"U+1109E", "\xe1\x84\x89\x45", "KAITHI LETTER TA (U+1109E)"
"U+1109F", "\xe1\x84\x89\x46", "KAITHI LETTER THA (U+1109F)"
"U+110A0", "\xe1\x84\x8a\x30", "KAITHI LETTER DA (U+110A0)"
"U+110A1", "\xe1\x84\x8a\x31", "KAITHI LETTER DHA (U+110A1)"
"U+110A2", "\xe1\x84\x8a\x32", "KAITHI LETTER NA (U+110A2)"
