# Unicode Characters in the Sora Sompeng Block
# Source: http://www.fileformat.info/info/unicode/block/sora_sompeng/list.htm
"U+110D0", "\xe1\x84\x8d\x30", "SORA SOMPENG LETTER SAH (U+110D0)"
"U+110D1", "\xe1\x84\x8d\x31", "SORA SOMPENG LETTER TAH (U+110D1)"
"U+110D2", "\xe1\x84\x8d\x32", "SORA SOMPENG LETTER BAH (U+110D2)"
"U+110D3", "\xe1\x84\x8d\x33", "SORA SOMPENG LETTER CAH (U+110D3)"
"U+110D4", "\xe1\x84\x8d\x34", "SORA SOMPENG LETTER DAH (U+110D4)"
"U+110D5", "\xe1\x84\x8d\x35", "SORA SOMPENG LETTER GAH (U+110D5)"
"U+110D6", "\xe1\x84\x8d\x36", "SORA SOMPENG LETTER MAH (U+110D6)"
"U+110D7", "\xe1\x84\x8d\x37", "SORA SOMPENG LETTER NGAH (U+110D7)"
"U+110D8", "\xe1\x84\x8d\x38", "SORA SOMPENG LETTER LAH (U+110D8)"
"U+110D9", "\xe1\x84\x8d\x39", "SORA SOMPENG LETTER NAH (U+110D9)"
"U+110DA", "\xe1\x84\x8d\x41", "SORA SOMPENG LETTER VAH (U+110DA)"
"U+110DB", "\xe1\x84\x8d\x42", "SORA SOMPENG LETTER PAH (U+110DB)"
"U+110DC", "\xe1\x84\x8d\x43", "SORA SOMPENG LETTER YAH (U+110DC)"
"U+110DD", "\xe1\x84\x8d\x44", "SORA SOMPENG LETTER RAH (U+110DD)"
"U+110DE", "\xe1\x84\x8d\x45", "SORA SOMPENG LETTER HAH (U+110DE)"
"U+110DF", "\xe1\x84\x8d\x46", "SORA SOMPENG LETTER KAH (U+110DF)"
"U+110E0", "\xe1\x84\x8e\x30", "SORA SOMPENG LETTER JAH (U+110E0)"
"U+110E1", "\xe1\x84\x8e\x31", "SORA SOMPENG LETTER NYAH (U+110E1)"
"U+110E2", "\xe1\x84\x8e\x32", "SORA SOMPENG LETTER AH (U+110E2)"
"U+110E3", "\xe1\x84\x8e\x33", "SORA SOMPENG LETTER EEH (U+110E3)"
"U+110E4", "\xe1\x84\x8e\x34", "SORA SOMPENG LETTER IH (U+110E4)"
"U+110E5", "\xe1\x84\x8e\x35", "SORA SOMPENG LETTER UH (U+110E5)"
"U+110E6", "\xe1\x84\x8e\x36", "SORA SOMPENG LETTER OH (U+110E6)"
"U+110E7", "\xe1\x84\x8e\x37", "SORA SOMPENG LETTER EH (U+110E7)"
"U+110E8", "\xe1\x84\x8e\x38", "SORA SOMPENG LETTER MAE (U+110E8)"
"U+110F0", "\xe1\x84\x8f\x30", "SORA SOMPENG DIGIT ZERO (U+110F0)"
"U+110F1", "\xe1\x84\x8f\x31", "SORA SOMPENG DIGIT ONE (U+110F1)"
"U+110F2", "\xe1\x84\x8f\x32", "SORA SOMPENG DIGIT TWO (U+110F2)"
"U+110F3", "\xe1\x84\x8f\x33", "SORA SOMPENG DIGIT THREE (U+110F3)"
"U+110F4", "\xe1\x84\x8f\x34", "SORA SOMPENG DIGIT FOUR (U+110F4)"
"U+110F5", "\xe1\x84\x8f\x35", "SORA SOMPENG DIGIT FIVE (U+110F5)"
"U+110F6", "\xe1\x84\x8f\x36", "SORA SOMPENG DIGIT SIX (U+110F6)"
"U+110F7", "\xe1\x84\x8f\x37", "SORA SOMPENG DIGIT SEVEN (U+110F7)"
"U+110F8", "\xe1\x84\x8f\x38", "SORA SOMPENG DIGIT EIGHT (U+110F8)"
"U+110F9", "\xe1\x84\x8f\x39", "SORA SOMPENG DIGIT NINE (U+110F9)"
