# Unicode Characters in the Sharada Block
# Source: http://www.fileformat.info/info/unicode/block/sharada/list.htm
"U+11180", "\xe1\x84\x98\x30", "SHARADA SIGN CANDRABINDU (U+11180)"
"U+11181", "\xe1\x84\x98\x31", "SHARADA SIGN ANUSVARA (U+11181)"
"U+11182", "\xe1\x84\x98\x32", "SHARADA SIGN VISARGA (U+11182)"
"U+11183", "\xe1\x84\x98\x33", "SHARADA LETTER A (U+11183)"
"U+11184", "\xe1\x84\x98\x34", "SHARADA LETTER AA (U+11184)"
"U+11185", "\xe1\x84\x98\x35", "SHARADA LETTER I (U+11185)"
"U+11186", "\xe1\x84\x98\x36", "SHARADA LETTER II (U+11186)"
"U+11187", "\xe1\x84\x98\x37", "SHARADA LETTER U (U+11187)"
"U+11188", "\xe1\x84\x98\x38", "SHARADA LETTER UU (U+11188)"
"U+11189", "\xe1\x84\x98\x39", "SHARADA LETTER VOCALIC R (U+11189)"
"U+1118A", "\xe1\x84\x98\x41", "SHARADA LETTER VOCALIC RR (U+1118A)"
"U+1118B", "\xe1\x84\x98\x42", "SHARADA LETTER VOCALIC L (U+1118B)"
"U+1118C", "\xe1\x84\x98\x43", "SHARADA LETTER VOCALIC LL (U+1118C)"
"U+1118D", "\xe1\x84\x98\x44", "SHARADA LETTER E (U+1118D)"
"U+1118E", "\xe1\x84\x98\x45", "SHARADA LETTER AI (U+1118E)"
"U+1118F", "\xe1\x84\x98\x46", "SHARADA LETTER O (U+1118F)"
"U+11190", "\xe1\x84\x99\x30", "SHARADA LETTER AU (U+11190)"
"U+11191", "\xe1\x84\x99\x31", "SHARADA LETTER KA (U+11191)"
"U+11192", "\xe1\x84\x99\x32", "SHARADA LETTER KHA (U+11192)"
"U+11193", "\xe1\x84\x99\x33", "SHARADA LETTER GA (U+11193)"
"U+11194", "\xe1\x84\x99\x34", "SHARADA LETTER GHA (U+11194)"
"U+11195", "\xe1\x84\x99\x35", "SHARADA LETTER NGA (U+11195)"
"U+11196", "\xe1\x84\x99\x36", "SHARADA LETTER CA (U+11196)"
"U+11197", "\xe1\x84\x99\x37", "SHARADA LETTER CHA (U+11197)"
"U+11198", "\xe1\x84\x99\x38", "SHARADA LETTER JA (U+11198)"
"U+11199", "\xe1\x84\x99\x39", "SHARADA LETTER JHA (U+11199)"
"U+1119A", "\xe1\x84\x99\x41", "SHARADA LETTER NYA (U+1119A)"
