# Unicode Characters in the Takri Block
# Source: http://www.fileformat.info/info/unicode/block/takri/list.htm
"U+11680", "\xe1\x85\xa8\x30", "TAKRI LETTER A (U+11680)"
"U+11681", "\xe1\x85\xa8\x31", "TAKRI LETTER AA (U+11681)"
"U+11682", "\xe1\x85\xa8\x32", "TAKRI LETTER I (U+11682)"
"U+11683", "\xe1\x85\xa8\x33", "TAKRI LETTER II (U+11683)"
"U+11684", "\xe1\x85\xa8\x34", "TAKRI LETTER U (U+11684)"
"U+11685", "\xe1\x85\xa8\x35", "TAKRI LETTER UU (U+11685)"
"U+11686", "\xe1\x85\xa8\x36", "TAKRI LETTER E (U+11686)"
"U+11687", "\xe1\x85\xa8\x37", "TAKRI LETTER AI (U+11687)"
"U+11688", "\xe1\x85\xa8\x38", "TAKRI LETTER O (U+11688)"
"U+11689", "\xe1\x85\xa8\x39", "TAKRI LETTER AU (U+11689)"
"U+1168A", "\xe1\x85\xa8\x41", "TAKRI LETTER KA (U+1168A)"
"U+1168B", "\xe1\x85\xa8\x42", "TAKRI LETTER KHA (U+1168B)"
"U+1168C", "\xe1\x85\xa8\x43", "TAKRI LETTER GA (U+1168C)"
"U+1168D", "\xe1\x85\xa8\x44", "TAKRI LETTER GHA (U+1168D)"
"U+1168E", "\xe1\x85\xa8\x45", "TAKRI LETTER NGA (U+1168E)"
"U+1168F", "\xe1\x85\xa8\x46", "TAKRI LETTER CA (U+1168F)"
"U+11690", "\xe1\x85\xa9\x30", "TAKRI LETTER CHA (U+11690)"
"U+11691", "\xe1\x85\xa9\x31", "TAKRI LETTER JA (U+11691)"
"U+11692", "\xe1\x85\xa9\x32", "TAKRI LETTER JHA (U+11692)"
"U+11693", "\xe1\x85\xa9\x33", "TAKRI LETTER NYA (U+11693)"
"U+11694", "\xe1\x85\xa9\x34", "TAKRI LETTER TTA (U+11694)"
"U+11695", "\xe1\x85\xa9\x35", "TAKRI LETTER TTHA (U+11695)"
"U+11696", "\xe1\x85\xa9\x36", "TAKRI LETTER DDA (U+11696)"
"U+11697", "\xe1\x85\xa9\x37", "TAKRI LETTER DDHA (U+11697)"
"U+11698", "\xe1\x85\xa9\x38", "TAKRI LETTER NNA (U+11698)"
"U+11699", "\xe1\x85\xa9\x39", "TAKRI LETTER TA (U+11699)"
"U+1169A", "\xe1\x85\xa9\x41", "TAKRI LETTER THA (U+1169A)"
"U+1169B", "\xe1\x85\xa9\x42", "TAKRI LETTER DA (U+1169B)"
"U+1169C", "\xe1\x85\xa9\x43", "TAKRI LETTER DHA (U+1169C)"
"U+1169D", "\xe1\x85\xa9\x44", "TAKRI LETTER NA (U+1169D)"
