# Unicode Characters in the Ethiopic Block
# Source: http://www.fileformat.info/info/unicode/block/ethiopic/list.htm
"U+1200", "\xe1\x88\x80", "ETHIOPIC SYLLABLE HA (U+1200)"
"U+1201", "\xe1\x88\x81", "ETHIOPIC SYLLABLE HU (U+1201)"
"U+1202", "\xe1\x88\x82", "ETHIOPIC SYLLABLE HI (U+1202)"
"U+1203", "\xe1\x88\x83", "ETHIOPIC SYLLABLE HAA (U+1203)"
"U+1204", "\xe1\x88\x84", "ETHIOPIC SYLLABLE HEE (U+1204)"
"U+1205", "\xe1\x88\x85", "ETHIOPIC SYLLABLE HE (U+1205)"
"U+1206", "\xe1\x88\x86", "ETHIOPIC SYLLABLE HO (U+1206)"
"U+1207", "\xe1\x88\x87", "ETHIOPIC SYLLABLE HOA (U+1207)"
"U+1208", "\xe1\x88\x88", "ETHIOPIC SYLLABLE LA (U+1208)"
"U+1209", "\xe1\x88\x89", "ETHIOPIC SYLLABLE LU (U+1209)"
"U+120A", "\xe1\x88\x8a", "ETHIOPIC SYLLABLE LI (U+120A)"
"U+120B", "\xe1\x88\x8b", "ETHIOPIC SYLLABLE LAA (U+120B)"
"U+120C", "\xe1\x88\x8c", "ETHIOPIC SYLLABLE LEE (U+120C)"
"U+120D", "\xe1\x88\x8d", "ETHIOPIC SYLLABLE LE (U+120D)"
"U+120E", "\xe1\x88\x8e", "ETHIOPIC SYLLABLE LO (U+120E)"
"U+120F", "\xe1\x88\x8f", "ETHIOPIC SYLLABLE LWA (U+120F)"
"U+1210", "\xe1\x88\x90", "ETHIOPIC SYLLABLE HHA (U+1210)"
"U+1211", "\xe1\x88\x91", "ETHIOPIC SYLLABLE HHU (U+1211)"
"U+1212", "\xe1\x88\x92", "ETHIOPIC SYLLABLE HHI (U+1212)"
"U+1213", "\xe1\x88\x93", "ETHIOPIC SYLLABLE HHAA (U+1213)"
"U+1214", "\xe1\x88\x94", "ETHIOPIC SYLLABLE HHEE (U+1214)"
"U+1215", "\xe1\x88\x95", "ETHIOPIC SYLLABLE HHE (U+1215)"
"U+1216", "\xe1\x88\x96", "ETHIOPIC SYLLABLE HHO (U+1216)"
"U+1217", "\xe1\x88\x97", "ETHIOPIC SYLLABLE HHWA (U+1217)"
"U+1218", "\xe1\x88\x98", "ETHIOPIC SYLLABLE MA (U+1218)"
"U+1219", "\xe1\x88\x99", "ETHIOPIC SYLLABLE MU (U+1219)"
"U+121A", "\xe1\x88\x9a", "ETHIOPIC SYLLABLE MI (U+121A)"
"U+121B", "\xe1\x88\x9b", "ETHIOPIC SYLLABLE MAA (U+121B)"
"U+121C", "\xe1\x88\x9c", "ETHIOPIC SYLLABLE MEE (U+121C)"
"U+121D", "\xe1\x88\x9d", "ETHIOPIC SYLLABLE ME (U+121D)"
"U+121E", "\xe1\x88\x9e", "ETHIOPIC SYLLABLE MO (U+121E)"
"U+121F", "\xe1\x88\x9f", "ETHIOPIC SYLLABLE MWA (U+121F)"
"U+1220", "\xe1\x88\xa0", "ETHIOPIC SYLLABLE SZA (U+1220)"
"U+1221", "\xe1\x88\xa1", "ETHIOPIC SYLLABLE SZU (U+1221)"
"U+1222", "\xe1\x88\xa2", "ETHIOPIC SYLLABLE SZI (U+1222)"
"U+1223", "\xe1\x88\xa3", "ETHIOPIC SYLLABLE SZAA (U+1223)"
"U+1224", "\xe1\x88\xa4", "ETHIOPIC SYLLABLE SZEE (U+1224)"
"U+1225", "\xe1\x88\xa5", "ETHIOPIC SYLLABLE SZE (U+1225)"
"U+1226", "\xe1\x88\xa6", "ETHIOPIC SYLLABLE SZO (U+1226)"
"U+1227", "\xe1\x88\xa7", "ETHIOPIC SYLLABLE SZWA (U+1227)"
"U+1228", "\xe1\x88\xa8", "ETHIOPIC SYLLABLE RA (U+1228)"
"U+1229", "\xe1\x88\xa9", "ETHIOPIC SYLLABLE RU (U+1229)"
"U+122A", "\xe1\x88\xaa", "ETHIOPIC SYLLABLE RI (U+122A)"
"U+122B", "\xe1\x88\xab", "ETHIOPIC SYLLABLE RAA (U+122B)"
"U+122C", "\xe1\x88\xac", "ETHIOPIC SYLLABLE REE (U+122C)"
"U+122D", "\xe1\x88\xad", "ETHIOPIC SYLLABLE RE (U+122D)"
"U+122E", "\xe1\x88\xae", "ETHIOPIC SYLLABLE RO (U+122E)"
