# Unicode Characters in the Cuneiform Numbers and Punctuation Block
# Source: http://www.fileformat.info/info/unicode/block/cuneiform_numbers_and_punctuation/list.htm
"U+12400", "\xe1\x89\x80\x30", "CUNEIFORM NUMERIC SIGN TWO ASH (U+12400)"
"U+12401", "\xe1\x89\x80\x31", "CUNEIFORM NUMERIC SIGN THREE ASH (U+12401)"
"U+12402", "\xe1\x89\x80\x32", "CUNEIFORM NUMERIC SIGN FOUR ASH (U+12402)"
"U+12403", "\xe1\x89\x80\x33", "CUNEIFORM NUMERIC SIGN FIVE ASH (U+12403)"
"U+12404", "\xe1\x89\x80\x34", "CUNEIFORM NUMERIC SIGN SIX ASH (U+12404)"
"U+12405", "\xe1\x89\x80\x35", "CUNEIFORM NUMERIC SIGN SEVEN ASH (U+12405)"
"U+12406", "\xe1\x89\x80\x36", "CUNEIFORM NUMERIC SIGN EIGHT ASH (U+12406)"
"U+12407", "\xe1\x89\x80\x37", "CUNEIFORM NUMERIC SIGN NINE ASH (U+12407)"
"U+12408", "\xe1\x89\x80\x38", "CUNEIFORM NUMERIC SIGN THREE DISH (U+12408)"
"U+12409", "\xe1\x89\x80\x39", "CUNEIFORM NUMERIC SIGN FOUR DISH (U+12409)"
"U+1240A", "\xe1\x89\x80\x41", "CUNEIFORM NUMERIC SIGN FIVE DISH (U+1240A)"
"U+1240B", "\xe1\x89\x80\x42", "CUNEIFORM NUMERIC SIGN SIX DISH (U+1240B)"
"U+1240C", "\xe1\x89\x80\x43", "CUNEIFORM NUMERIC SIGN SEVEN DISH (U+1240C)"
"U+1240D", "\xe1\x89\x80\x44", "CUNEIFORM NUMERIC SIGN EIGHT DISH (U+1240D)"
"U+1240E", "\xe1\x89\x80\x45", "CUNEIFORM NUMERIC SIGN NINE DISH (U+1240E)"
"U+1240F", "\xe1\x89\x80\x46", "CUNEIFORM NUMERIC SIGN FOUR U (U+1240F)"
"U+12410", "\xe1\x89\x81\x30", "CUNEIFORM NUMERIC SIGN FIVE U (U+12410)"
"U+12411", "\xe1\x89\x81\x31", "CUNEIFORM NUMERIC SIGN SIX U (U+12411)"
"U+12412", "\xe1\x89\x81\x32", "CUNEIFORM NUMERIC SIGN SEVEN U (U+12412)"
"U+12413", "\xe1\x89\x81\x33", "CUNEIFORM NUMERIC SIGN EIGHT U (U+12413)"
"U+12414", "\xe1\x89\x81\x34", "CUNEIFORM NUMERIC SIGN NINE U (U+12414)"
"U+12415", "\xe1\x89\x81\x35", "CUNEIFORM NUMERIC SIGN ONE GESH2 (U+12415)"
"U+12416", "\xe1\x89\x81\x36", "CUNEIFORM NUMERIC SIGN TWO GESH2 (U+12416)"
"U+12417", "\xe1\x89\x81\x37", "CUNEIFORM NUMERIC SIGN THREE GESH2 (U+12417)"
"U+12418", "\xe1\x89\x81\x38", "CUNEIFORM NUMERIC SIGN FOUR GESH2 (U+12418)"
"U+12419", "\xe1\x89\x81\x39", "CUNEIFORM NUMERIC SIGN FIVE GESH2 (U+12419)"
"U+1241A", "\xe1\x89\x81\x41", "CUNEIFORM NUMERIC SIGN SIX GESH2 (U+1241A)"
"U+1241B", "\xe1\x89\x81\x42", "CUNEIFORM NUMERIC SIGN SEVEN GESH2 (U+1241B)"
"U+1241C", "\xe1\x89\x81\x43", "CUNEIFORM NUMERIC SIGN EIGHT GESH2 (U+1241C)"
"U+1241D", "\xe1\x89\x81\x44", "CUNEIFORM NUMERIC SIGN NINE GESH2 (U+1241D)"
"U+1241E", "\xe1\x89\x81\x45", "CUNEIFORM NUMERIC SIGN ONE GESHU (U+1241E)"
"U+1241F", "\xe1\x89\x81\x46", "CUNEIFORM NUMERIC SIGN TWO GESHU (U+1241F)"
"U+12420", "\xe1\x89\x82\x30", "CUNEIFORM NUMERIC SIGN THREE GESHU (U+12420)"
"U+12421", "\xe1\x89\x82\x31", "CUNEIFORM NUMERIC SIGN FOUR GESHU (U+12421)"
