# Unicode Characters in the Egyptian Hieroglyphs Block
# Source: http://www.fileformat.info/info/unicode/block/egyptian_hieroglyphs/list.htm
"U+13000", "\xe1\x8c\x80\x30", "EGYPTIAN HIEROGLYPH A001 (U+13000)"
"U+13001", "\xe1\x8c\x80\x31", "EGYPTIAN HIEROGLYPH A002 (U+13001)"
"U+13002", "\xe1\x8c\x80\x32", "EGYPTIAN HIEROGLYPH A003 (U+13002)"
"U+13003", "\xe1\x8c\x80\x33", "EGYPTIAN HIEROGLYPH A004 (U+13003)"
"U+13004", "\xe1\x8c\x80\x34", "EGYPTIAN HIEROGLYPH A005 (U+13004)"
"U+13005", "\xe1\x8c\x80\x35", "EGYPTIAN HIEROGLYPH A005A (U+13005)"
"U+13006", "\xe1\x8c\x80\x36", "EGYPTIAN HIEROGLYPH A006 (U+13006)"
"U+13007", "\xe1\x8c\x80\x37", "EGYPTIAN HIEROGLYPH A006A (U+13007)"
"U+13008", "\xe1\x8c\x80\x38", "EGYPTIAN HIEROGLYPH A006B (U+13008)"
"U+13009", "\xe1\x8c\x80\x39", "EGYPTIAN HIEROGLYPH A007 (U+13009)"
"U+1300A", "\xe1\x8c\x80\x41", "EGYPTIAN HIEROGLYPH A008 (U+1300A)"
"U+1300B", "\xe1\x8c\x80\x42", "EGYPTIAN HIEROGLYPH A009 (U+1300B)"
"U+1300C", "\xe1\x8c\x80\x43", "EGYPTIAN HIEROGLYPH A010 (U+1300C)"
"U+1300D", "\xe1\x8c\x80\x44", "EGYPTIAN HIEROGLYPH A011 (U+1300D)"
"U+1300E", "\xe1\x8c\x80\x45", "EGYPTIAN HIEROGLYPH A012 (U+1300E)"
"U+1300F", "\xe1\x8c\x80\x46", "EGYPTIAN HIEROGLYPH A013 (U+1300F)"
"U+13010", "\xe1\x8c\x81\x30", "EGYPTIAN HIEROGLYPH A014 (U+13010)"
"U+13011", "\xe1\x8c\x81\x31", "EGYPTIAN HIEROGLYPH A014A (U+13011)"
"U+13012", "\xe1\x8c\x81\x32", "EGYPTIAN HIEROGLYPH A015 (U+13012)"
"U+13013", "\xe1\x8c\x81\x33", "EGYPTIAN HIEROGLYPH A016 (U+13013)"
"U+13014", "\xe1\x8c\x81\x34", "EGYPTIAN HIEROGLYPH A017 (U+13014)"
"U+13015", "\xe1\x8c\x81\x35", "EGYPTIAN HIEROGLYPH A017A (U+13015)"
"U+13016", "\xe1\x8c\x81\x36", "EGYPTIAN HIEROGLYPH A018 (U+13016)"
"U+13017", "\xe1\x8c\x81\x37", "EGYPTIAN HIEROGLYPH A019 (U+13017)"
"U+13018", "\xe1\x8c\x81\x38", "EGYPTIAN HIEROGLYPH A020 (U+13018)"
"U+13019", "\xe1\x8c\x81\x39", "EGYPTIAN HIEROGLYPH A021 (U+13019)"
"U+1301A", "\xe1\x8c\x81\x41", "EGYPTIAN HIEROGLYPH A022 (U+1301A)"
"U+1301B", "\xe1\x8c\x81\x42", "EGYPTIAN HIEROGLYPH A023 (U+1301B)"
"U+1301C", "\xe1\x8c\x81\x43", "EGYPTIAN HIEROGLYPH A024 (U+1301C)"
"U+1301D", "\xe1\x8c\x81\x44", "EGYPTIAN HIEROGLYPH A025 (U+1301D)"
"U+1301E", "\xe1\x8c\x81\x45", "EGYPTIAN HIEROGLYPH A026 (U+1301E)"
"U+1301F", "\xe1\x8c\x81\x46", "EGYPTIAN HIEROGLYPH A027 (U+1301F)"
"U+13020", "\xe1\x8c\x82\x30", "EGYPTIAN HIEROGLYPH A028 (U+13020)"
