# Unicode Characters in the Ethiopic Supplement Block
# Source: http://www.fileformat.info/info/unicode/block/ethiopic_supplement/list.htm
"U+1380", "\xe1\x8e\x80", "ETHIOPIC SYLLABLE SEBATBEIT MWA (U+1380)"
"U+1381", "\xe1\x8e\x81", "ETHIOPIC SYLLABLE MWI (U+1381)"
"U+1382", "\xe1\x8e\x82", "ETHIOPIC SYLLABLE MWEE (U+1382)"
"U+1383", "\xe1\x8e\x83", "ETHIOPIC SYLLABLE MWE (U+1383)"
"U+1384", "\xe1\x8e\x84", "ETHIOPIC SYLLABLE SEBATBEIT BWA (U+1384)"
"U+1385", "\xe1\x8e\x85", "ETHIOPIC SYLLABLE BWI (U+1385)"
"U+1386", "\xe1\x8e\x86", "ETHIOPIC SYLLABLE BWEE (U+1386)"
"U+1387", "\xe1\x8e\x87", "ETHIOPIC SYLLABLE BWE (U+1387)"
"U+1388", "\xe1\x8e\x88", "ETHIOPIC SYLLABLE SEBATBEIT FWA (U+1388)"
"U+1389", "\xe1\x8e\x89", "ETHIOPIC SYLLABLE FWI (U+1389)"
"U+138A", "\xe1\x8e\x8a", "ETHIOPIC SYLLABLE FWEE (U+138A)"
"U+138B", "\xe1\x8e\x8b", "ETHIOPIC SYLLABLE FWE (U+138B)"
"U+138C", "\xe1\x8e\x8c", "ETHIOPIC SYLLABLE SEBATBEIT PWA (U+138C)"
"U+138D", "\xe1\x8e\x8d", "ETHIOPIC SYLLABLE PWI (U+138D)"
"U+138E", "\xe1\x8e\x8e", "ETHIOPIC SYLLABLE PWEE (U+138E)"
"U+138F", "\xe1\x8e\x8f", "ETHIOPIC SYLLABLE PWE (U+138F)"
"U+1390", "\xe1\x8e\x90", "ETHIOPIC TONAL MARK YIZET (U+1390)"
"U+1391", "\xe1\x8e\x91", "ETHIOPIC TONAL MARK DERET (U+1391)"
"U+1392", "\xe1\x8e\x92", "ETHIOPIC TONAL MARK RIKRIK (U+1392)"
"U+1393", "\xe1\x8e\x93", "ETHIOPIC TONAL MARK SHORT RIKRIK (U+1393)"
"U+1394", "\xe1\x8e\x94", "ETHIOPIC TONAL MARK DIFAT (U+1394)"
"U+1395", "\xe1\x8e\x95", "ETHIOPIC TONAL MARK KENAT (U+1395)"
"U+1396", "\xe1\x8e\x96", "ETHIOPIC TONAL MARK CHIRET (U+1396)"
"U+1397", "\xe1\x8e\x97", "ETHIOPIC TONAL MARK HIDET (U+1397)"
"U+1398", "\xe1\x8e\x98", "ETHIOPIC TONAL MARK DERET-HIDET (U+1398)"
"U+1399", "\xe1\x8e\x99", "ETHIOPIC TONAL MARK KURT (U+1399)"
