# Unicode Characters in the Cherokee Block
# Source: http://www.fileformat.info/info/unicode/block/cherokee/list.htm
"U+13A0", "\xe1\x8e\xa0", "CHEROKEE LETTER A (U+13A0)"
"U+13A1", "\xe1\x8e\xa1", "CHEROKEE LETTER E (U+13A1)"
"U+13A2", "\xe1\x8e\xa2", "CHEROKEE LETTER I (U+13A2)"
"U+13A3", "\xe1\x8e\xa3", "CHEROKEE LETTER O (U+13A3)"
"U+13A4", "\xe1\x8e\xa4", "CHEROKEE LETTER U (U+13A4)"
"U+13A5", "\xe1\x8e\xa5", "CHEROKEE LETTER V (U+13A5)"
"U+13A6", "\xe1\x8e\xa6", "CHEROKEE LETTER GA (U+13A6)"
"U+13A7", "\xe1\x8e\xa7", "CHEROKEE LETTER KA (U+13A7)"
"U+13A8", "\xe1\x8e\xa8", "CHEROKEE LETTER GE (U+13A8)"
"U+13A9", "\xe1\x8e\xa9", "CHEROKEE LETTER GI (U+13A9)"
"U+13AA", "\xe1\x8e\xaa", "CHEROKEE LETTER GO (U+13AA)"
"U+13AB", "\xe1\x8e\xab", "CHEROKEE LETTER GU (U+13AB)"
"U+13AC", "\xe1\x8e\xac", "CHEROKEE LETTER GV (U+13AC)"
"U+13AD", "\xe1\x8e\xad", "CHEROKEE LETTER HA (U+13AD)"
"U+13AE", "\xe1\x8e\xae", "CHEROKEE LETTER HE (U+13AE)"
"U+13AF", "\xe1\x8e\xaf", "CHEROKEE LETTER HI (U+13AF)"
"U+13B0", "\xe1\x8e\xb0", "CHEROKEE LETTER HO (U+13B0)"
"U+13B1", "\xe1\x8e\xb1", "CHEROKEE LETTER HU (U+13B1)"
"U+13B2", "\xe1\x8e\xb2", "CHEROKEE LETTER HV (U+13B2)"
"U+13B3", "\xe1\x8e\xb3", "CHEROKEE LETTER LA (U+13B3)"
"U+13B4", "\xe1\x8e\xb4", "CHEROKEE LETTER LE (U+13B4)"
"U+13B5", "\xe1\x8e\xb5", "CHEROKEE LETTER LI (U+13B5)"
"U+13B6", "\xe1\x8e\xb6", "CHEROKEE LETTER LO (U+13B6)"
"U+13B7", "\xe1\x8e\xb7", "CHEROKEE LETTER LU (U+13B7)"
"U+13B8", "\xe1\x8e\xb8", "CHEROKEE LETTER LV (U+13B8)"
"U+13B9", "\xe1\x8e\xb9", "CHEROKEE LETTER MA (U+13B9)"
"U+13BA", "\xe1\x8e\xba", "CHEROKEE LETTER ME (U+13BA)"
