# Unicode Characters in the Unified Canadian Aboriginal Syllabics Block
# Source: http://www.fileformat.info/info/unicode/block/unified_canadian_aboriginal_syllabics/list.htm
"U+1400", "\xe1\x90\x80", "CANADIAN SYLLABICS HYPHEN (U+1400)"
"U+1401", "\xe1\x90\x81", "CANADIAN SYLLABICS E (U+1401)"
"U+1402", "\xe1\x90\x82", "CANADIAN SYLLABICS AAI (U+1402)"
"U+1403", "\xe1\x90\x83", "CANADIAN SYLLABICS I (U+1403)"
"U+1404", "\xe1\x90\x84", "CANADIAN SYLLABICS II (U+1404)"
"U+1405", "\xe1\x90\x85", "CANADIAN SYLLABICS O (U+1405)"
"U+1406", "\xe1\x90\x86", "CANADIAN SYLLABICS OO (U+1406)"
"U+1407", "\xe1\x90\x87", "CANADIAN SYLLABICS Y-CREE OO (U+1407)"
"U+1408", "\xe1\x90\x88", "CANADIAN SYLLABICS CARRIER EE (U+1408)"
"U+1409", "\xe1\x90\x89", "CANADIAN SYLLABICS CARRIER I (U+1409)"
"U+140A", "\xe1\x90\x8a", "CANADIAN SYLLABICS A (U+140A)"
"U+140B", "\xe1\x90\x8b", "CANADIAN SYLLABICS AA (U+140B)"
"U+140C", "\xe1\x90\x8c", "CANADIAN SYLLABICS WE (U+140C)"
"U+140D", "\xe1\x90\x8d", "CANADIAN SYLLABICS WEST-CREE WE (U+140D)"
"U+140E", "\xe1\x90\x8e", "CANADIAN SYLLABICS WI (U+140E)"
"U+140F", "\xe1\x90\x8f", "CANADIAN SYLLABICS WEST-CREE WI (U+140F)"
"U+1410", "\xe1\x90\x90", "CANADIAN SYLLABICS WII (U+1410)"
"U+1411", "\xe1\x90\x91", "CANADIAN SYLLABICS WEST-CREE WII (U+1411)"
"U+1412", "\xe1\x90\x92", "CANADIAN SYLLABICS WO (U+1412)"
"U+1413", "\xe1\x90\x93", "CANADIAN SYLLABICS WEST-CREE WO (U+1413)"
"U+1414", "\xe1\x90\x94", "CANADIAN SYLLABICS WOO (U+1414)"
"U+1415", "\xe1\x90\x95", "CANADIAN SYLLABICS WEST-CREE WOO (U+1415)"
"U+1416", "\xe1\x90\x96", "CANADIAN SYLLABICS NASKAPI WOO (U+1416)"
"U+1417", "\xe1\x90\x97", "CANADIAN SYLLABICS WA (U+1417)"
"U+1418", "\xe1\x90\x98", "CANADIAN SYLLABICS WEST-CREE WA (U+1418)"
"U+1419", "\xe1\x90\x99", "CANADIAN SYLLABICS WAA (U+1419)"
