# Unicode Characters in the Ogham Block
# Source: http://www.fileformat.info/info/unicode/block/ogham/list.htm
"U+1680", "\xe1\x9a\x80", "OGHAM SPACE MARK (U+1680)"
"U+1681", "\xe1\x9a\x81", "OGHAM LETTER BEITH (U+1681)"
"U+1682", "\xe1\x9a\x82", "OGHAM LETTER LUIS (U+1682)"
"U+1683", "\xe1\x9a\x83", "OGHAM LETTER FEARN (U+1683)"
"U+1684", "\xe1\x9a\x84", "OGHAM LETTER SAIL (U+1684)"
"U+1685", "\xe1\x9a\x85", "OGHAM LETTER NION (U+1685)"
"U+1686", "\xe1\x9a\x86", "OGHAM LETTER UATH (U+1686)"
"U+1687", "\xe1\x9a\x87", "OGHAM LETTER DAIR (U+1687)"
"U+1688", "\xe1\x9a\x88", "OGHAM LETTER TINNE (U+1688)"
"U+1689", "\xe1\x9a\x89", "OGHAM LETTER COLL (U+1689)"
"U+168A", "\xe1\x9a\x8a", "OGHAM LETTER CEIRT (U+168A)"
"U+168B", "\xe1\x9a\x8b", "OGHAM LETTER MUIN (U+168B)"
"U+168C", "\xe1\x9a\x8c", "OGHAM LETTER GORT (U+168C)"
"U+168D", "\xe1\x9a\x8d", "OGHAM LETTER NGEADAL (U+168D)"
"U+168E", "\xe1\x9a\x8e", "OGHAM LETTER STRAIF (U+168E)"
"U+168F", "\xe1\x9a\x8f", "OGHAM LETTER RUIS (U+168F)"
"U+1690", "\xe1\x9a\x90", "OGHAM LETTER AILM (U+1690)"
"U+1691", "\xe1\x9a\x91", "OGHAM LETTER ONN (U+1691)"
"U+1692", "\xe1\x9a\x92", "OGHAM LETTER UR (U+1692)"
"U+1693", "\xe1\x9a\x93", "OGHAM LETTER EADHADH (U+1693)"
"U+1694", "\xe1\x9a\x94", "OGHAM LETTER IODHADH (U+1694)"
"U+1695", "\xe1\x9a\x95", "OGHAM LETTER EABHADH (U+1695)"
"U+1696", "\xe1\x9a\x96", "OGHAM LETTER OR (U+1696)"
"U+1697", "\xe1\x9a\x97", "OGHAM LETTER UILLEANN (U+1697)"
"U+1698", "\xe1\x9a\x98", "OGHAM LETTER IFIN (U+1698)"
"U+1699", "\xe1\x9a\x99", "OGHAM LETTER EAMHANCHOLL (U+1699)"
"U+169A", "\xe1\x9a\x9a", "OGHAM LETTER PEITH (U+169A)"
"U+169B", "\xe1\x9a\x9b", "OGHAM FEATHER MARK (U+169B)"
"U+169C", "\xe1\x9a\x9c", "OGHAM REVERSED FEATHER MARK (U+169C)"
