# Unicode Characters in the Bamum Supplement Block
# Source: http://www.fileformat.info/info/unicode/block/bamum_supplement/list.htm
"U+16800", "\xe1\x9a\x80\x30", "BAMUM LETTER PHASE-A NGKUE MFON (U+16800)"
"U+16801", "\xe1\x9a\x80\x31", "BAMUM LETTER PHASE-A GBIEE FON (U+16801)"
"U+16802", "\xe1\x9a\x80\x32", "BAMUM LETTER PHASE-A PON MFON PIPAEMGBIEE (U+16802)"
"U+16803", "\xe1\x9a\x80\x33", "BAMUM LETTER PHASE-A PON MFON PIPAEMBA (U+16803)"
"U+16804", "\xe1\x9a\x80\x34", "BAMUM LETTER PHASE-A NAA MFON (U+16804)"
"U+16805", "\xe1\x9a\x80\x35", "BAMUM LETTER PHASE-A SHUENSHUET (U+16805)"
"U+16806", "\xe1\x9a\x80\x36", "BAMUM LETTER PHASE-A TITA MFON (U+16806)"
"U+16807", "\xe1\x9a\x80\x37", "BAMUM LETTER PHASE-A NZA MFON (U+16807)"
"U+16808", "\xe1\x9a\x80\x38", "BAMUM LETTER PHASE-A SHINDA PA NJI (U+16808)"
"U+16809", "\xe1\x9a\x80\x39", "BAMUM LETTER PHASE-A PON PA NJI PIPAEMGBIEE (U+16809)"
"U+1680A", "\xe1\x9a\x80\x41", "BAMUM LETTER PHASE-A PON PA NJI PIPAEMBA (U+1680A)"
"U+1680B", "\xe1\x9a\x80\x42", "BAMUM LETTER PHASE-A MAEMBGBIEE (U+1680B)"
"U+1680C", "\xe1\x9a\x80\x43", "BAMUM LETTER PHASE-A TU MAEMBA (U+1680C)"
"U+1680D", "\xe1\x9a\x80\x44", "BAMUM LETTER PHASE-A NGANGU (U+1680D)"
"U+1680E", "\xe1\x9a\x80\x45", "BAMUM LETTER PHASE-A MAEMVEUX (U+1680E)"
"U+1680F", "\xe1\x9a\x80\x46", "BAMUM LETTER PHASE-A MANSUAE (U+1680F)"
"U+16810", "\xe1\x9a\x81\x30", "BAMUM LETTER PHASE-A MVEUAENGAM (U+16810)"
"U+16811", "\xe1\x9a\x81\x31", "BAMUM LETTER PHASE-A SEUNYAM (U+16811)"
"U+16812", "\xe1\x9a\x81\x32", "BAMUM LETTER PHASE-A NTOQPEN (U+16812)"
"U+16813", "\xe1\x9a\x81\x33", "BAMUM LETTER PHASE-A KEUKEUTNDA (U+16813)"
"U+16814", "\xe1\x9a\x81\x34", "BAMUM LETTER PHASE-A NKINDI (U+16814)"
"U+16815", "\xe1\x9a\x81\x35", "BAMUM LETTER PHASE-A SUU (U+16815)"
"U+16816", "\xe1\x9a\x81\x36", "BAMUM LETTER PHASE-A NGKUENZEUM (U+16816)"
"U+16817", "\xe1\x9a\x81\x37", "BAMUM LETTER PHASE-A LAPAQ (U+16817)"
"U+16818", "\xe1\x9a\x81\x38", "BAMUM LETTER PHASE-A LET KUT (U+16818)"
"U+16819", "\xe1\x9a\x81\x39", "BAMUM LETTER PHASE-A NTAP MFAA (U+16819)"
"U+1681A", "\xe1\x9a\x81\x41", "BAMUM LETTER PHASE-A MAEKEUP (U+1681A)"
"U+1681B", "\xe1\x9a\x81\x42", "BAMUM LETTER PHASE-A PASHAE (U+1681B)"
"U+1681C", "\xe1\x9a\x81\x43", "BAMUM LETTER PHASE-A GHEUAERAE (U+1681C)"
"U+1681D", "\xe1\x9a\x81\x44", "BAMUM LETTER PHASE-A PAMSHAE (U+1681D)"
"U+1681E", "\xe1\x9a\x81\x45", "BAMUM LETTER PHASE-A MON NGGEUAET (U+1681E)"
"U+1681F", "\xe1\x9a\x81\x46", "BAMUM LETTER PHASE-A NZUN MEUT (U+1681F)"
"U+16820", "\xe1\x9a\x82\x30", "BAMUM LETTER PHASE-A U YUQ NAE (U+16820)"
"U+16821", "\xe1\x9a\x82\x31", "BAMUM LETTER PHASE-A GHEUAEGHEUAE (U+16821)"
"U+16822", "\xe1\x9a\x82\x32", "BAMUM LETTER PHASE-A NTAP NTAA (U+16822)"
"U+16823", "\xe1\x9a\x82\x33", "BAMUM LETTER PHASE-A SISA (U+16823)"
"U+16824", "\xe1\x9a\x82\x34", "BAMUM LETTER PHASE-A MGBASA (U+16824)"
"U+16825", "\xe1\x9a\x82\x35", "BAMUM LETTER PHASE-A MEUNJOMNDEUQ (U+16825)"
"U+16826", "\xe1\x9a\x82\x36", "BAMUM LETTER PHASE-A MOOMPUQ (U+16826)"
"U+16827", "\xe1\x9a\x82\x37", "BAMUM LETTER PHASE-A KAFA (U+16827)"
"U+16828", "\xe1\x9a\x82\x38", "BAMUM LETTER PHASE-A PA LEERAEWA (U+16828)"
"U+16829", "\xe1\x9a\x82\x39", "BAMUM LETTER PHASE-A NDA LEERAEWA (U+16829)"
"U+1682A", "\xe1\x9a\x82\x41", "BAMUM LETTER PHASE-A PET (U+1682A)"
"U+1682B", "\xe1\x9a\x82\x42", "BAMUM LETTER PHASE-A MAEMKPEN (U+1682B)"
"U+1682C", "\xe1\x9a\x82\x43", "BAMUM LETTER PHASE-A NIKA (U+1682C)"
"U+1682D", "\xe1\x9a\x82\x44", "BAMUM LETTER PHASE-A PUP (U+1682D)"
"U+1682E", "\xe1\x9a\x82\x45", "BAMUM LETTER PHASE-A TUAEP (U+1682E)"
"U+1682F", "\xe1\x9a\x82\x46", "BAMUM LETTER PHASE-A LUAEP (U+1682F)"
"U+16830", "\xe1\x9a\x83\x30", "BAMUM LETTER PHASE-A SONJAM (U+16830)"
