# Unicode Characters in the Miao Block
# Source: http://www.fileformat.info/info/unicode/block/miao/list.htm
"U+16F00", "\xe1\x9b\xb0\x30", "MIAO LETTER PA (U+16F00)"
"U+16F01", "\xe1\x9b\xb0\x31", "MIAO LETTER BA (U+16F01)"
"U+16F02", "\xe1\x9b\xb0\x32", "MIAO LETTER YI PA (U+16F02)"
"U+16F03", "\xe1\x9b\xb0\x33", "MIAO LETTER PLA (U+16F03)"
"U+16F04", "\xe1\x9b\xb0\x34", "MIAO LETTER MA (U+16F04)"
"U+16F05", "\xe1\x9b\xb0\x35", "MIAO LETTER MHA (U+16F05)"
"U+16F06", "\xe1\x9b\xb0\x36", "MIAO LETTER ARCHAIC MA (U+16F06)"
"U+16F07", "\xe1\x9b\xb0\x37", "MIAO LETTER FA (U+16F07)"
"U+16F08", "\xe1\x9b\xb0\x38", "MIAO LETTER VA (U+16F08)"
"U+16F09", "\xe1\x9b\xb0\x39", "MIAO LETTER VFA (U+16F09)"
"U+16F0A", "\xe1\x9b\xb0\x41", "MIAO LETTER TA (U+16F0A)"
"U+16F0B", "\xe1\x9b\xb0\x42", "MIAO LETTER DA (U+16F0B)"
"U+16F0C", "\xe1\x9b\xb0\x43", "MIAO LETTER YI TTA (U+16F0C)"
"U+16F0D", "\xe1\x9b\xb0\x44", "MIAO LETTER YI TA (U+16F0D)"
"U+16F0E", "\xe1\x9b\xb0\x45", "MIAO LETTER TTA (U+16F0E)"
"U+16F0F", "\xe1\x9b\xb0\x46", "MIAO LETTER DDA (U+16F0F)"
"U+16F10", "\xe1\x9b\xb1\x30", "MIAO LETTER NA (U+16F10)"
"U+16F11", "\xe1\x9b\xb1\x31", "MIAO LETTER NHA (U+16F11)"
"U+16F12", "\xe1\x9b\xb1\x32", "MIAO LETTER YI NNA (U+16F12)"
"U+16F13", "\xe1\x9b\xb1\x33", "MIAO LETTER ARCHAIC NA (U+16F13)"
"U+16F14", "\xe1\x9b\xb1\x34", "MIAO LETTER NNA (U+16F14)"
"U+16F15", "\xe1\x9b\xb1\x35", "MIAO LETTER NNHA (U+16F15)"
"U+16F16", "\xe1\x9b\xb1\x36", "MIAO LETTER LA (U+16F16)"
"U+16F17", "\xe1\x9b\xb1\x37", "MIAO LETTER LYA (U+16F17)"
