# Unicode Characters in the Tagalog Block
# Source: http://www.fileformat.info/info/unicode/block/tagalog/list.htm
"U+1700", "\xe1\x9c\x80", "TAGALOG LETTER A (U+1700)"
"U+1701", "\xe1\x9c\x81", "TAGALOG LETTER I (U+1701)"
"U+1702", "\xe1\x9c\x82", "TAGALOG LETTER U (U+1702)"
"U+1703", "\xe1\x9c\x83", "TAGALOG LETTER KA (U+1703)"
"U+1704", "\xe1\x9c\x84", "TAGALOG LETTER GA (U+1704)"
"U+1705", "\xe1\x9c\x85", "TAGALOG LETTER NGA (U+1705)"
"U+1706", "\xe1\x9c\x86", "TAGALOG LETTER TA (U+1706)"
"U+1707", "\xe1\x9c\x87", "TAGALOG LETTER DA (U+1707)"
"U+1708", "\xe1\x9c\x88", "TAGALOG LETTER NA (U+1708)"
"U+1709", "\xe1\x9c\x89", "TAGALOG LETTER PA (U+1709)"
"U+170A", "\xe1\x9c\x8a", "TAGALOG LETTER BA (U+170A)"
"U+170B", "\xe1\x9c\x8b", "TAGALOG LETTER MA (U+170B)"
"U+170C", "\xe1\x9c\x8c", "TAGALOG LETTER YA (U+170C)"
"U+170E", "\xe1\x9c\x8e", "TAGALOG LETTER LA (U+170E)"
"U+170F", "\xe1\x9c\x8f", "TAGALOG LETTER WA (U+170F)"
"U+1710", "\xe1\x9c\x90", "TAGALOG LETTER SA (U+1710)"
"U+1711", "\xe1\x9c\x91", "TAGALOG LETTER HA (U+1711)"
"U+1712", "\xe1\x9c\x92", "TAGALOG VOWEL SIGN I (U+1712)"
"U+1713", "\xe1\x9c\x93", "TAGALOG VOWEL SIGN U (U+1713)"
"U+1714", "\xe1\x9c\x94", "TAGALOG SIGN VIRAMA (U+1714)"
