# Unicode Characters in the Hanunoo Block
# Source: http://www.fileformat.info/info/unicode/block/hanunoo/list.htm
"U+1720", "\xe1\x9c\xa0", "HANUNOO LETTER A (U+1720)"
"U+1721", "\xe1\x9c\xa1", "HANUNOO LETTER I (U+1721)"
"U+1722", "\xe1\x9c\xa2", "HANUNOO LETTER U (U+1722)"
"U+1723", "\xe1\x9c\xa3", "HANUNOO LETTER KA (U+1723)"
"U+1724", "\xe1\x9c\xa4", "HANUNOO LETTER GA (U+1724)"
"U+1725", "\xe1\x9c\xa5", "HANUNOO LETTER NGA (U+1725)"
"U+1726", "\xe1\x9c\xa6", "HANUNOO LETTER TA (U+1726)"
"U+1727", "\xe1\x9c\xa7", "HANUNOO LETTER DA (U+1727)"
"U+1728", "\xe1\x9c\xa8", "HANUNOO LETTER NA (U+1728)"
"U+1729", "\xe1\x9c\xa9", "HANUNOO LETTER PA (U+1729)"
"U+172A", "\xe1\x9c\xaa", "HANUNOO LETTER BA (U+172A)"
"U+172B", "\xe1\x9c\xab", "HANUNOO LETTER MA (U+172B)"
"U+172C", "\xe1\x9c\xac", "HANUNOO LETTER YA (U+172C)"
"U+172D", "\xe1\x9c\xad", "HANUNOO LETTER RA (U+172D)"
"U+172E", "\xe1\x9c\xae", "HANUNOO LETTER LA (U+172E)"
"U+172F", "\xe1\x9c\xaf", "HANUNOO LETTER WA (U+172F)"
"U+1730", "\xe1\x9c\xb0", "HANUNOO LETTER SA (U+1730)"
"U+1731", "\xe1\x9c\xb1", "HANUNOO LETTER HA (U+1731)"
"U+1732", "\xe1\x9c\xb2", "HANUNOO VOWEL SIGN I (U+1732)"
"U+1733", "\xe1\x9c\xb3", "HANUNOO VOWEL SIGN U (U+1733)"
"U+1734", "\xe1\x9c\xb4", "HANUNOO SIGN PAMUDPOD (U+1734)"
"U+1735", "\xe1\x9c\xb5", "PHILIPPINE SINGLE PUNCTUATION (U+1735)"
"U+1736", "\xe1\x9c\xb6", "PHILIPPINE DOUBLE PUNCTUATION (U+1736)"
