# Unicode Characters in the Buhid Block
# Source: http://www.fileformat.info/info/unicode/block/buhid/list.htm
"U+1740", "\xe1\x9d\x80", "BUHID LETTER A (U+1740)"
"U+1741", "\xe1\x9d\x81", "BUHID LETTER I (U+1741)"
"U+1742", "\xe1\x9d\x82", "BUHID LETTER U (U+1742)"
"U+1743", "\xe1\x9d\x83", "BUHID LETTER KA (U+1743)"
"U+1744", "\xe1\x9d\x84", "BUHID LETTER GA (U+1744)"
"U+1745", "\xe1\x9d\x85", "BUHID LETTER NGA (U+1745)"
"U+1746", "\xe1\x9d\x86", "BUHID LETTER TA (U+1746)"
"U+1747", "\xe1\x9d\x87", "BUHID LETTER DA (U+1747)"
"U+1748", "\xe1\x9d\x88", "BUHID LETTER NA (U+1748)"
"U+1749", "\xe1\x9d\x89", "BUHID LETTER PA (U+1749)"
"U+174A", "\xe1\x9d\x8a", "BUHID LETTER BA (U+174A)"
"U+174B", "\xe1\x9d\x8b", "BUHID LETTER MA (U+174B)"
"U+174C", "\xe1\x9d\x8c", "BUHID LETTER YA (U+174C)"
"U+174D", "\xe1\x9d\x8d", "BUHID LETTER RA (U+174D)"
"U+174E", "\xe1\x9d\x8e", "BUHID LETTER LA (U+174E)"
"U+174F", "\xe1\x9d\x8f", "BUHID LETTER WA (U+174F)"
"U+1750", "\xe1\x9d\x90", "BUHID LETTER SA (U+1750)"
"U+1751", "\xe1\x9d\x91", "BUHID LETTER HA (U+1751)"
"U+1752", "\xe1\x9d\x92", "BUHID VOWEL SIGN I (U+1752)"
"U+1753", "\xe1\x9d\x93", "BUHID VOWEL SIGN U (U+1753)"
