# Unicode Characters in the Tagbanwa Block
# Source: http://www.fileformat.info/info/unicode/block/tagbanwa/list.htm
"U+1760", "\xe1\x9d\xa0", "TAGBANWA LETTER A (U+1760)"
"U+1761", "\xe1\x9d\xa1", "TAGBANWA LETTER I (U+1761)"
"U+1762", "\xe1\x9d\xa2", "TAGBANWA LETTER U (U+1762)"
"U+1763", "\xe1\x9d\xa3", "TAGBANWA LETTER KA (U+1763)"
"U+1764", "\xe1\x9d\xa4", "TAGBANWA LETTER GA (U+1764)"
"U+1765", "\xe1\x9d\xa5", "TAGBANWA LETTER NGA (U+1765)"
"U+1766", "\xe1\x9d\xa6", "TAGBANWA LETTER TA (U+1766)"
"U+1767", "\xe1\x9d\xa7", "TAGBANWA LETTER DA (U+1767)"
"U+1768", "\xe1\x9d\xa8", "TAGBANWA LETTER NA (U+1768)"
"U+1769", "\xe1\x9d\xa9", "TAGBANWA LETTER PA (U+1769)"
"U+176A", "\xe1\x9d\xaa", "TAGBANWA LETTER BA (U+176A)"
"U+176B", "\xe1\x9d\xab", "TAGBANWA LETTER MA (U+176B)"
"U+176C", "\xe1\x9d\xac", "TAGBANWA LETTER YA (U+176C)"
"U+176E", "\xe1\x9d\xae", "TAGBANWA LETTER LA (U+176E)"
"U+176F", "\xe1\x9d\xaf", "TAGBANWA LETTER WA (U+176F)"
"U+1770", "\xe1\x9d\xb0", "TAGBANWA LETTER SA (U+1770)"
"U+1772", "\xe1\x9d\xb2", "TAGBANWA VOWEL SIGN I (U+1772)"
"U+1773", "\xe1\x9d\xb3", "TAGBANWA VOWEL SIGN U (U+1773)"
