# Unicode Characters in the Tai Le Block
# Source: http://www.fileformat.info/info/unicode/block/tai_le/list.htm
"U+1950", "\xe1\xa5\x90", "TAI LE LETTER KA (U+1950)"
"U+1951", "\xe1\xa5\x91", "TAI LE LETTER XA (U+1951)"
"U+1952", "\xe1\xa5\x92", "TAI LE LETTER NGA (U+1952)"
"U+1953", "\xe1\xa5\x93", "TAI LE LETTER TSA (U+1953)"
"U+1954", "\xe1\xa5\x94", "TAI LE LETTER SA (U+1954)"
"U+1955", "\xe1\xa5\x95", "TAI LE LETTER YA (U+1955)"
"U+1956", "\xe1\xa5\x96", "TAI LE LETTER TA (U+1956)"
"U+1957", "\xe1\xa5\x97", "TAI LE LETTER THA (U+1957)"
"U+1958", "\xe1\xa5\x98", "TAI LE LETTER LA (U+1958)"
"U+1959", "\xe1\xa5\x99", "TAI LE LETTER PA (U+1959)"
"U+195A", "\xe1\xa5\x9a", "TAI LE LETTER PHA (U+195A)"
"U+195B", "\xe1\xa5\x9b", "TAI LE LETTER MA (U+195B)"
"U+195C", "\xe1\xa5\x9c", "TAI LE LETTER FA (U+195C)"
"U+195D", "\xe1\xa5\x9d", "TAI LE LETTER VA (U+195D)"
"U+195E", "\xe1\xa5\x9e", "TAI LE LETTER HA (U+195E)"
"U+195F", "\xe1\xa5\x9f", "TAI LE LETTER QA (U+195F)"
"U+1960", "\xe1\xa5\xa0", "TAI LE LETTER KHA (U+1960)"
"U+1961", "\xe1\xa5\xa1", "TAI LE LETTER TSHA (U+1961)"
"U+1962", "\xe1\xa5\xa2", "TAI LE LETTER NA (U+1962)"
"U+1963", "\xe1\xa5\xa3", "TAI LE LETTER A (U+1963)"
"U+1964", "\xe1\xa5\xa4", "TAI LE LETTER I (U+1964)"
"U+1965", "\xe1\xa5\xa5", "TAI LE LETTER EE (U+1965)"
"U+1966", "\xe1\xa5\xa6", "TAI LE LETTER EH (U+1966)"
"U+1967", "\xe1\xa5\xa7", "TAI LE LETTER U (U+1967)"
"U+1968", "\xe1\xa5\xa8", "TAI LE LETTER OO (U+1968)"
"U+1969", "\xe1\xa5\xa9", "TAI LE LETTER O (U+1969)"
"U+196A", "\xe1\xa5\xaa", "TAI LE LETTER UE (U+196A)"
"U+196B", "\xe1\xa5\xab", "TAI LE LETTER E (U+196B)"
"U+196C", "\xe1\xa5\xac", "TAI LE LETTER AUE (U+196C)"
"U+196D", "\xe1\xa5\xad", "TAI LE LETTER AI (U+196D)"
"U+1970", "\xe1\xa5\xb0", "TAI LE LETTER TONE-2 (U+1970)"
"U+1971", "\xe1\xa5\xb1", "TAI LE LETTER TONE-3 (U+1971)"
"U+1972", "\xe1\xa5\xb2", "TAI LE LETTER TONE-4 (U+1972)"
"U+1973", "\xe1\xa5\xb3", "TAI LE LETTER TONE-5 (U+1973)"
"U+1974", "\xe1\xa5\xb4", "TAI LE LETTER TONE-6 (U+1974)"
