# Unicode Characters in the Khmer Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/khmer_symbols/list.htm
"U+19E0", "\xe1\xa7\xa0", "KHMER SYMBOL PATHAMASAT (U+19E0)"
"U+19E1", "\xe1\xa7\xa1", "KHMER SYMBOL MUOY KOET (U+19E1)"
"U+19E2", "\xe1\xa7\xa2", "KHMER SYMBOL PII KOET (U+19E2)"
"U+19E3", "\xe1\xa7\xa3", "KHMER SYMBOL BEI KOET (U+19E3)"
"U+19E4", "\xe1\xa7\xa4", "KHMER SYMBOL BUON KOET (U+19E4)"
"U+19E5", "\xe1\xa7\xa5", "KHMER SYMBOL PRAM KOET (U+19E5)"
"U+19E6", "\xe1\xa7\xa6", "KHMER SYMBOL PRAM-MUOY KOET (U+19E6)"
"U+19E7", "\xe1\xa7\xa7", "KHMER SYMBOL PRAM-PII KOET (U+19E7)"
"U+19E8", "\xe1\xa7\xa8", "KHMER SYMBOL PRAM-BEI KOET (U+19E8)"
"U+19E9", "\xe1\xa7\xa9", "KHMER SYMBOL PRAM-BUON KOET (U+19E9)"
"U+19EA", "\xe1\xa7\xaa", "KHMER SYMBOL DAP KOET (U+19EA)"
"U+19EB", "\xe1\xa7\xab", "KHMER SYMBOL DAP-MUOY KOET (U+19EB)"
"U+19EC", "\xe1\xa7\xac", "KHMER SYMBOL DAP-PII KOET (U+19EC)"
"U+19ED", "\xe1\xa7\xad", "KHMER SYMBOL DAP-BEI KOET (U+19ED)"
"U+19EE", "\xe1\xa7\xae", "KHMER SYMBOL DAP-BUON KOET (U+19EE)"
"U+19EF", "\xe1\xa7\xaf", "KHMER SYMBOL DAP-PRAM KOET (U+19EF)"
"U+19F0", "\xe1\xa7\xb0", "KHMER SYMBOL TUTEYASAT (U+19F0)"
"U+19F1", "\xe1\xa7\xb1", "KHMER SYMBOL MUOY ROC (U+19F1)"
"U+19F2", "\xe1\xa7\xb2", "KHMER SYMBOL PII ROC (U+19F2)"
"U+19F3", "\xe1\xa7\xb3", "KHMER SYMBOL BEI ROC (U+19F3)"
"U+19F4", "\xe1\xa7\xb4", "KHMER SYMBOL BUON ROC (U+19F4)"
"U+19F5", "\xe1\xa7\xb5", "KHMER SYMBOL PRAM ROC (U+19F5)"
"U+19F6", "\xe1\xa7\xb6", "KHMER SYMBOL PRAM-MUOY ROC (U+19F6)"
"U+19F7", "\xe1\xa7\xb7", "KHMER SYMBOL PRAM-PII ROC (U+19F7)"
"U+19F8", "\xe1\xa7\xb8", "KHMER SYMBOL PRAM-BEI ROC (U+19F8)"
"U+19F9", "\xe1\xa7\xb9", "KHMER SYMBOL PRAM-BUON ROC (U+19F9)"
"U+19FA", "\xe1\xa7\xba", "KHMER SYMBOL DAP ROC (U+19FA)"
"U+19FB", "\xe1\xa7\xbb", "KHMER SYMBOL DAP-MUOY ROC (U+19FB)"
"U+19FC", "\xe1\xa7\xbc", "KHMER SYMBOL DAP-PII ROC (U+19FC)"
"U+19FD", "\xe1\xa7\xbd", "KHMER SYMBOL DAP-BEI ROC (U+19FD)"
"U+19FE", "\xe1\xa7\xbe", "KHMER SYMBOL DAP-BUON ROC (U+19FE)"
"U+19FF", "\xe1\xa7\xbf", "KHMER SYMBOL DAP-PRAM ROC (U+19FF)"
