# Unicode Characters in the Tai Tham Block
# Source: http://www.fileformat.info/info/unicode/block/tai_tham/list.htm
"U+1A20", "\xe1\xa8\xa0", "TAI THAM LETTER HIGH KA (U+1A20)"
"U+1A21", "\xe1\xa8\xa1", "TAI THAM LETTER HIGH KHA (U+1A21)"
"U+1A22", "\xe1\xa8\xa2", "TAI THAM LETTER HIGH KXA (U+1A22)"
"U+1A23", "\xe1\xa8\xa3", "TAI THAM LETTER LOW KA (U+1A23)"
"U+1A24", "\xe1\xa8\xa4", "TAI THAM LETTER LOW KXA (U+1A24)"
"U+1A25", "\xe1\xa8\xa5", "TAI THAM LETTER LOW KHA (U+1A25)"
"U+1A26", "\xe1\xa8\xa6", "TAI THAM LETTER NGA (U+1A26)"
"U+1A27", "\xe1\xa8\xa7", "TAI THAM LETTER HIGH CA (U+1A27)"
"U+1A28", "\xe1\xa8\xa8", "TAI THAM LETTER HIGH CHA (U+1A28)"
"U+1A29", "\xe1\xa8\xa9", "TAI THAM LETTER LOW CA (U+1A29)"
"U+1A2A", "\xe1\xa8\xaa", "TAI THAM LETTER LOW SA (U+1A2A)"
"U+1A2B", "\xe1\xa8\xab", "TAI THAM LETTER LOW CHA (U+1A2B)"
"U+1A2C", "\xe1\xa8\xac", "TAI THAM LETTER NYA (U+1A2C)"
"U+1A2D", "\xe1\xa8\xad", "TAI THAM LETTER RATA (U+1A2D)"
"U+1A2E", "\xe1\xa8\xae", "TAI THAM LETTER HIGH RATHA (U+1A2E)"
"U+1A2F", "\xe1\xa8\xaf", "TAI THAM LETTER DA (U+1A2F)"
"U+1A30", "\xe1\xa8\xb0", "TAI THAM LETTER LOW RATHA (U+1A30)"
"U+1A31", "\xe1\xa8\xb1", "TAI THAM LETTER RANA (U+1A31)"
"U+1A32", "\xe1\xa8\xb2", "TAI THAM LETTER HIGH TA (U+1A32)"
"U+1A33", "\xe1\xa8\xb3", "TAI THAM LETTER HIGH THA (U+1A33)"
"U+1A34", "\xe1\xa8\xb4", "TAI THAM LETTER LOW TA (U+1A34)"
"U+1A35", "\xe1\xa8\xb5", "TAI THAM LETTER LOW THA (U+1A35)"
"U+1A36", "\xe1\xa8\xb6", "TAI THAM LETTER NA (U+1A36)"
"U+1A37", "\xe1\xa8\xb7", "TAI THAM LETTER BA (U+1A37)"
"U+1A38", "\xe1\xa8\xb8", "TAI THAM LETTER HIGH PA (U+1A38)"
"U+1A39", "\xe1\xa8\xb9", "TAI THAM LETTER HIGH PHA (U+1A39)"
"U+1A3A", "\xe1\xa8\xba", "TAI THAM LETTER HIGH FA (U+1A3A)"
"U+1A3B", "\xe1\xa8\xbb", "TAI THAM LETTER LOW PA (U+1A3B)"
"U+1A3C", "\xe1\xa8\xbc", "TAI THAM LETTER LOW FA (U+1A3C)"
"U+1A3D", "\xe1\xa8\xbd", "TAI THAM LETTER LOW PHA (U+1A3D)"
"U+1A3E", "\xe1\xa8\xbe", "TAI THAM LETTER MA (U+1A3E)"
"U+1A3F", "\xe1\xa8\xbf", "TAI THAM LETTER LOW YA (U+1A3F)"
"U+1A40", "\xe1\xa9\x80", "TAI THAM LETTER HIGH YA (U+1A40)"
"U+1A41", "\xe1\xa9\x81", "TAI THAM LETTER RA (U+1A41)"
"U+1A42", "\xe1\xa9\x82", "TAI THAM LETTER RUE (U+1A42)"
"U+1A43", "\xe1\xa9\x83", "TAI THAM LETTER LA (U+1A43)"
"U+1A44", "\xe1\xa9\x84", "TAI THAM LETTER LUE (U+1A44)"
"U+1A45", "\xe1\xa9\x85", "TAI THAM LETTER WA (U+1A45)"
"U+1A46", "\xe1\xa9\x86", "TAI THAM LETTER HIGH SHA (U+1A46)"
"U+1A47", "\xe1\xa9\x87", "TAI THAM LETTER HIGH SSA (U+1A47)"
"U+1A48", "\xe1\xa9\x88", "TAI THAM LETTER HIGH SA (U+1A48)"
"U+1A49", "\xe1\xa9\x89", "TAI THAM LETTER HIGH HA (U+1A49)"
"U+1A4A", "\xe1\xa9\x8a", "TAI THAM LETTER LLA (U+1A4A)"
"U+1A4B", "\xe1\xa9\x8b", "TAI THAM LETTER A (U+1A4B)"
"U+1A4C", "\xe1\xa9\x8c", "TAI THAM LETTER LOW HA (U+1A4C)"
"U+1A4D", "\xe1\xa9\x8d", "TAI THAM LETTER I (U+1A4D)"
"U+1A4E", "\xe1\xa9\x8e", "TAI THAM LETTER II (U+1A4E)"
"U+1A4F", "\xe1\xa9\x8f", "TAI THAM LETTER U (U+1A4F)"
"U+1A50", "\xe1\xa9\x90", "TAI THAM LETTER UU (U+1A50)"
"U+1A51", "\xe1\xa9\x91", "TAI THAM LETTER EE (U+1A51)"
"U+1A52", "\xe1\xa9\x92", "TAI THAM LETTER OO (U+1A52)"
"U+1A53", "\xe1\xa9\x93", "TAI THAM LETTER LAE (U+1A53)"
"U+1A54", "\xe1\xa9\x94", "TAI THAM LETTER GREAT SA (U+1A54)"
"U+1A55", "\xe1\xa9\x95", "TAI THAM CONSONANT SIGN MEDIAL RA (U+1A55)"
"U+1A56", "\xe1\xa9\x96", "TAI THAM CONSONANT SIGN MEDIAL LA (U+1A56)"
"U+1A57", "\xe1\xa9\x97", "TAI THAM CONSONANT SIGN LA TANG LAI (U+1A57)"
"U+1A58", "\xe1\xa9\x98", "TAI THAM SIGN MAI KANG LAI (U+1A58)"
"U+1A59", "\xe1\xa9\x99", "TAI THAM CONSONANT SIGN FINAL NGA (U+1A59)"
"U+1A5A", "\xe1\xa9\x9a", "TAI THAM CONSONANT SIGN LOW PA (U+1A5A)"
"U+1A5B", "\xe1\xa9\x9b", "TAI THAM CONSONANT SIGN HIGH RATHA OR LOW PA (U+1A5B)"
"U+1A5C", "\xe1\xa9\x9c", "TAI THAM CONSONANT SIGN MA (U+1A5C)"
