# Unicode Characters in the Balinese Block
# Source: http://www.fileformat.info/info/unicode/block/balinese/list.htm
"U+1B00", "\xe1\xac\x80", "BALINESE SIGN ULU RICEM (U+1B00)"
"U+1B01", "\xe1\xac\x81", "BALINESE SIGN ULU CANDRA (U+1B01)"
"U+1B02", "\xe1\xac\x82", "BALINESE SIGN CECEK (U+1B02)"
"U+1B03", "\xe1\xac\x83", "BALINESE SIGN SURANG (U+1B03)"
"U+1B04", "\xe1\xac\x84", "BALINESE SIGN BISAH (U+1B04)"
"U+1B05", "\xe1\xac\x85", "BALINESE LETTER AKARA (U+1B05)"
"U+1B06", "\xe1\xac\x86", "BALINESE LETTER AKARA TEDUNG (U+1B06)"
"U+1B07", "\xe1\xac\x87", "BALINESE LETTER IKARA (U+1B07)"
"U+1B08", "\xe1\xac\x88", "BALINESE LETTER IKARA TEDUNG (U+1B08)"
"U+1B09", "\xe1\xac\x89", "BALINESE LETTER UKARA (U+1B09)"
"U+1B0A", "\xe1\xac\x8a", "BALINESE LETTER UKARA TEDUNG (U+1B0A)"
"U+1B0B", "\xe1\xac\x8b", "BALINESE LETTER RA REPA (U+1B0B)"
"U+1B0C", "\xe1\xac\x8c", "BALINESE LETTER RA REPA TEDUNG (U+1B0C)"
"U+1B0D", "\xe1\xac\x8d", "BALINESE LETTER LA LENGA (U+1B0D)"
"U+1B0E", "\xe1\xac\x8e", "BALINESE LETTER LA LENGA TEDUNG (U+1B0E)"
"U+1B0F", "\xe1\xac\x8f", "BALINESE LETTER EKARA (U+1B0F)"
"U+1B10", "\xe1\xac\x90", "BALINESE LETTER AIKARA (U+1B10)"
"U+1B11", "\xe1\xac\x91", "BALINESE LETTER OKARA (U+1B11)"
"U+1B12", "\xe1\xac\x92", "BALINESE LETTER OKARA TEDUNG (U+1B12)"
"U+1B13", "\xe1\xac\x93", "BALINESE LETTER KA (U+1B13)"
"U+1B14", "\xe1\xac\x94", "BALINESE LETTER KA MAHAPRANA (U+1B14)"
"U+1B15", "\xe1\xac\x95", "BALINESE LETTER GA (U+1B15)"
"U+1B16", "\xe1\xac\x96", "BALINESE LETTER GA GORA (U+1B16)"
"U+1B17", "\xe1\xac\x97", "BALINESE LETTER NGA (U+1B17)"
"U+1B18", "\xe1\xac\x98", "BALINESE LETTER CA (U+1B18)"
"U+1B19", "\xe1\xac\x99", "BALINESE LETTER CA LACA (U+1B19)"
"U+1B1A", "\xe1\xac\x9a", "BALINESE LETTER JA (U+1B1A)"
"U+1B1B", "\xe1\xac\x9b", "BALINESE LETTER JA JERA (U+1B1B)"
"U+1B1C", "\xe1\xac\x9c", "BALINESE LETTER NYA (U+1B1C)"
"U+1B1D", "\xe1\xac\x9d", "BALINESE LETTER TA LATIK (U+1B1D)"
"U+1B1E", "\xe1\xac\x9e", "BALINESE LETTER TA MURDA MAHAPRANA (U+1B1E)"
"U+1B1F", "\xe1\xac\x9f", "BALINESE LETTER DA MURDA ALPAPRANA (U+1B1F)"
"U+1B20", "\xe1\xac\xa0", "BALINESE LETTER DA MURDA MAHAPRANA (U+1B20)"
"U+1B21", "\xe1\xac\xa1", "BALINESE LETTER NA RAMBAT (U+1B21)"
"U+1B22", "\xe1\xac\xa2", "BALINESE LETTER TA (U+1B22)"
"U+1B23", "\xe1\xac\xa3", "BALINESE LETTER TA TAWA (U+1B23)"
"U+1B24", "\xe1\xac\xa4", "BALINESE LETTER DA (U+1B24)"
"U+1B25", "\xe1\xac\xa5", "BALINESE LETTER DA MADU (U+1B25)"
"U+1B26", "\xe1\xac\xa6", "BALINESE LETTER NA (U+1B26)"
"U+1B27", "\xe1\xac\xa7", "BALINESE LETTER PA (U+1B27)"
"U+1B28", "\xe1\xac\xa8", "BALINESE LETTER PA KAPAL (U+1B28)"
"U+1B29", "\xe1\xac\xa9", "BALINESE LETTER BA (U+1B29)"
"U+1B2A", "\xe1\xac\xaa", "BALINESE LETTER BA KEMBANG (U+1B2A)"
"U+1B2B", "\xe1\xac\xab", "BALINESE LETTER MA (U+1B2B)"
"U+1B2C", "\xe1\xac\xac", "BALINESE LETTER YA (U+1B2C)"
"U+1B2D", "\xe1\xac\xad", "BALINESE LETTER RA (U+1B2D)"
"U+1B2E", "\xe1\xac\xae", "BALINESE LETTER LA (U+1B2E)"
"U+1B2F", "\xe1\xac\xaf", "BALINESE LETTER WA (U+1B2F)"
"U+1B30", "\xe1\xac\xb0", "BALINESE LETTER SA SAGA (U+1B30)"
"U+1B31", "\xe1\xac\xb1", "BALINESE LETTER SA SAPA (U+1B31)"
"U+1B32", "\xe1\xac\xb2", "BALINESE LETTER SA (U+1B32)"
"U+1B33", "\xe1\xac\xb3", "BALINESE LETTER HA (U+1B33)"
"U+1B34", "\xe1\xac\xb4", "BALINESE SIGN REREKAN (U+1B34)"
"U+1B35", "\xe1\xac\xb5", "BALINESE VOWEL SIGN TEDUNG (U+1B35)"
"U+1B36", "\xe1\xac\xb6", "BALINESE VOWEL SIGN ULU (U+1B36)"
"U+1B37", "\xe1\xac\xb7", "BALINESE VOWEL SIGN ULU SARI (U+1B37)"
"U+1B38", "\xe1\xac\xb8", "BALINESE VOWEL SIGN SUKU (U+1B38)"
"U+1B39", "\xe1\xac\xb9", "BALINESE VOWEL SIGN SUKU ILUT (U+1B39)"
"U+1B3A", "\xe1\xac\xba", "BALINESE VOWEL SIGN RA REPA (U+1B3A)"
"U+1B3B", "\xe1\xac\xbb", "BALINESE VOWEL SIGN RA REPA TEDUNG (U+1B3B)"
"U+1B3C", "\xe1\xac\xbc", "BALINESE VOWEL SIGN LA LENGA (U+1B3C)"
"U+1B3D", "\xe1\xac\xbd", "BALINESE VOWEL SIGN LA LENGA TEDUNG (U+1B3D)"
"U+1B3E", "\xe1\xac\xbe", "BALINESE VOWEL SIGN TALING (U+1B3E)"
"U+1B3F", "\xe1\xac\xbf", "BALINESE VOWEL SIGN TALING REPA (U+1B3F)"
"U+1B40", "\xe1\xad\x80", "BALINESE VOWEL SIGN TALING TEDUNG (U+1B40)"
"U+1B41", "\xe1\xad\x81", "BALINESE VOWEL SIGN TALING REPA TEDUNG (U+1B41)"
"U+1B42", "\xe1\xad\x82", "BALINESE VOWEL SIGN PEPET (U+1B42)"
"U+1B43", "\xe1\xad\x83", "BALINESE VOWEL SIGN PEPET TEDUNG (U+1B43)"
"U+1B44", "\xe1\xad\x84", "BALINESE ADEG ADEG (U+1B44)"
"U+1B45", "\xe1\xad\x85", "BALINESE LETTER KAF SASAK (U+1B45)"
"U+1B46", "\xe1\xad\x86", "BALINESE LETTER KHOT SASAK (U+1B46)"
"U+1B47", "\xe1\xad\x87", "BALINESE LETTER TZIR SASAK (U+1B47)"
"U+1B48", "\xe1\xad\x88", "BALINESE LETTER EF SASAK (U+1B48)"
"U+1B49", "\xe1\xad\x89", "BALINESE LETTER VE SASAK (U+1B49)"
"U+1B4A", "\xe1\xad\x8a", "BALINESE LETTER ZAL SASAK (U+1B4A)"
"U+1B4B", "\xe1\xad\x8b", "BALINESE LETTER ASYURA SASAK (U+1B4B)"
"U+1B50", "\xe1\xad\x90", "BALINESE DIGIT ZERO (U+1B50)"
"U+1B51", "\xe1\xad\x91", "BALINESE DIGIT ONE (U+1B51)"
"U+1B52", "\xe1\xad\x92", "BALINESE DIGIT TWO (U+1B52)"
"U+1B53", "\xe1\xad\x93", "BALINESE DIGIT THREE (U+1B53)"
"U+1B54", "\xe1\xad\x94", "BALINESE DIGIT FOUR (U+1B54)"
"U+1B55", "\xe1\xad\x95", "BALINESE DIGIT FIVE (U+1B55)"
"U+1B56", "\xe1\xad\x96", "BALINESE DIGIT SIX (U+1B56)"
"U+1B57", "\xe1\xad\x97", "BALINESE DIGIT SEVEN (U+1B57)"
"U+1B58", "\xe1\xad\x98", "BALINESE DIGIT EIGHT (U+1B58)"
"U+1B59", "\xe1\xad\x99", "BALINESE DIGIT NINE (U+1B59)"
