# Unicode Characters in the Sundanese Block
# Source: http://www.fileformat.info/info/unicode/block/sundanese/list.htm
"U+1B80", "\xe1\xae\x80", "SUNDANESE SIGN PANYECEK (U+1B80)"
"U+1B81", "\xe1\xae\x81", "SUNDANESE SIGN PANGLAYAR (U+1B81)"
"U+1B82", "\xe1\xae\x82", "SUNDANESE SIGN PANGWISAD (U+1B82)"
"U+1B83", "\xe1\xae\x83", "SUNDANESE LETTER A (U+1B83)"
"U+1B84", "\xe1\xae\x84", "SUNDANESE LETTER I (U+1B84)"
"U+1B85", "\xe1\xae\x85", "SUNDANESE LETTER U (U+1B85)"
"U+1B86", "\xe1\xae\x86", "SUNDANESE LETTER AE (U+1B86)"
"U+1B87", "\xe1\xae\x87", "SUNDANESE LETTER O (U+1B87)"
"U+1B88", "\xe1\xae\x88", "SUNDANESE LETTER E (U+1B88)"
"U+1B89", "\xe1\xae\x89", "SUNDANESE LETTER EU (U+1B89)"
"U+1B8A", "\xe1\xae\x8a", "SUNDANESE LETTER KA (U+1B8A)"
"U+1B8B", "\xe1\xae\x8b", "SUNDANESE LETTER QA (U+1B8B)"
"U+1B8C", "\xe1\xae\x8c", "SUNDANESE LETTER GA (U+1B8C)"
"U+1B8D", "\xe1\xae\x8d", "SUNDANESE LETTER NGA (U+1B8D)"
"U+1B8E", "\xe1\xae\x8e", "SUNDANESE LETTER CA (U+1B8E)"
"U+1B8F", "\xe1\xae\x8f", "SUNDANESE LETTER JA (U+1B8F)"
"U+1B90", "\xe1\xae\x90", "SUNDANESE LETTER ZA (U+1B90)"
"U+1B91", "\xe1\xae\x91", "SUNDANESE LETTER NYA (U+1B91)"
"U+1B92", "\xe1\xae\x92", "SUNDANESE LETTER TA (U+1B92)"
"U+1B93", "\xe1\xae\x93", "SUNDANESE LETTER DA (U+1B93)"
"U+1B94", "\xe1\xae\x94", "SUNDANESE LETTER NA (U+1B94)"
"U+1B95", "\xe1\xae\x95", "SUNDANESE LETTER PA (U+1B95)"
"U+1B96", "\xe1\xae\x96", "SUNDANESE LETTER FA (U+1B96)"
"U+1B97", "\xe1\xae\x97", "SUNDANESE LETTER VA (U+1B97)"
"U+1B98", "\xe1\xae\x98", "SUNDANESE LETTER BA (U+1B98)"
"U+1B99", "\xe1\xae\x99", "SUNDANESE LETTER MA (U+1B99)"
"U+1B9A", "\xe1\xae\x9a", "SUNDANESE LETTER YA (U+1B9A)"
"U+1B9B", "\xe1\xae\x9b", "SUNDANESE LETTER RA (U+1B9B)"
"U+1B9C", "\xe1\xae\x9c", "SUNDANESE LETTER LA (U+1B9C)"
"U+1B9D", "\xe1\xae\x9d", "SUNDANESE LETTER WA (U+1B9D)"
"U+1B9E", "\xe1\xae\x9e", "SUNDANESE LETTER SA (U+1B9E)"
"U+1B9F", "\xe1\xae\x9f", "SUNDANESE LETTER XA (U+1B9F)"
"U+1BA0", "\xe1\xae\xa0", "SUNDANESE LETTER HA (U+1BA0)"
"U+1BA1", "\xe1\xae\xa1", "SUNDANESE CONSONANT SIGN PAMINGKAL (U+1BA1)"
"U+1BA2", "\xe1\xae\xa2", "SUNDANESE CONSONANT SIGN PANYAKRA (U+1BA2)"
"U+1BA3", "\xe1\xae\xa3", "SUNDANESE CONSONANT SIGN PANYIKU (U+1BA3)"
"U+1BA4", "\xe1\xae\xa4", "SUNDANESE VOWEL SIGN PANGHULU (U+1BA4)"
"U+1BA5", "\xe1\xae\xa5", "SUNDANESE VOWEL SIGN PANYUKU (U+1BA5)"
"U+1BA6", "\xe1\xae\xa6", "SUNDANESE VOWEL SIGN PANAELAENG (U+1BA6)"
"U+1BA7", "\xe1\xae\xa7", "SUNDANESE VOWEL SIGN PANOLONG (U+1BA7)"
"U+1BA8", "\xe1\xae\xa8", "SUNDANESE VOWEL SIGN PAMEPET (U+1BA8)"
"U+1BA9", "\xe1\xae\xa9", "SUNDANESE VOWEL SIGN PANEULEUNG (U+1BA9)"
"U+1BAA", "\xe1\xae\xaa", "SUNDANESE SIGN PAMAAEH (U+1BAA)"
"U+1BAB", "\xe1\xae\xab", "SUNDANESE SIGN VIRAMA (U+1BAB)"
"U+1BAC", "\xe1\xae\xac", "SUNDANESE CONSONANT SIGN PASANGAN MA (U+1BAC)"
"U+1BAD", "\xe1\xae\xad", "SUNDANESE CONSONANT SIGN PASANGAN WA (U+1BAD)"
"U+1BAE", "\xe1\xae\xae", "SUNDANESE LETTER KHA (U+1BAE)"
"U+1BAF", "\xe1\xae\xaf", "SUNDANESE LETTER SYA (U+1BAF)"
"U+1BB0", "\xe1\xae\xb0", "SUNDANESE DIGIT ZERO (U+1BB0)"
"U+1BB1", "\xe1\xae\xb1", "SUNDANESE DIGIT ONE (U+1BB1)"
"U+1BB2", "\xe1\xae\xb2", "SUNDANESE DIGIT TWO (U+1BB2)"
"U+1BB3", "\xe1\xae\xb3", "SUNDANESE DIGIT THREE (U+1BB3)"
"U+1BB4", "\xe1\xae\xb4", "SUNDANESE DIGIT FOUR (U+1BB4)"
"U+1BB5", "\xe1\xae\xb5", "SUNDANESE DIGIT FIVE (U+1BB5)"
"U+1BB6", "\xe1\xae\xb6", "SUNDANESE DIGIT SIX (U+1BB6)"
"U+1BB7", "\xe1\xae\xb7", "SUNDANESE DIGIT SEVEN (U+1BB7)"
"U+1BB8", "\xe1\xae\xb8", "SUNDANESE DIGIT EIGHT (U+1BB8)"
"U+1BB9", "\xe1\xae\xb9", "SUNDANESE DIGIT NINE (U+1BB9)"
