# Unicode Characters in the Vedic Extensions Block
# Source: http://www.fileformat.info/info/unicode/block/vedic_extensions/list.htm
"U+1CD0", "\xe1\xb3\x90", "VEDIC TONE KARSHANA (U+1CD0)"
"U+1CD1", "\xe1\xb3\x91", "VEDIC TONE SHARA (U+1CD1)"
"U+1CD2", "\xe1\xb3\x92", "VEDIC TONE PRENKHA (U+1CD2)"
"U+1CD3", "\xe1\xb3\x93", "VEDIC SIGN NIHSHVASA (U+1CD3)"
"U+1CD4", "\xe1\xb3\x94", "VEDIC SIGN YAJURVEDIC MIDLINE SVARITA (U+1CD4)"
"U+1CD5", "\xe1\xb3\x95", "VEDIC TONE YAJURVEDIC AGGRAVATED INDEPENDENT SVARITA (U+1CD5)"
"U+1CD6", "\xe1\xb3\x96", "VEDIC TONE YAJURVEDIC INDEPENDENT SVARITA (U+1CD6)"
"U+1CD7", "\xe1\xb3\x97", "VEDIC TONE YAJURVEDIC KATHAKA INDEPENDENT SVARITA (U+1CD7)"
"U+1CD8", "\xe1\xb3\x98", "VEDIC TONE CANDRA BELOW (U+1CD8)"
"U+1CD9", "\xe1\xb3\x99", "VEDIC TONE YAJURVEDIC KATHAKA INDEPENDENT SVARITA SCHROEDER (U+1CD9)"
"U+1CDA", "\xe1\xb3\x9a", "VEDIC TONE DOUBLE SVARITA (U+1CDA)"
"U+1CDB", "\xe1\xb3\x9b", "VEDIC TONE TRIPLE SVARITA (U+1CDB)"
"U+1CDC", "\xe1\xb3\x9c", "VEDIC TONE KATHAKA ANUDATTA (U+1CDC)"
"U+1CDD", "\xe1\xb3\x9d", "VEDIC TONE DOT BELOW (U+1CDD)"
"U+1CDE", "\xe1\xb3\x9e", "VEDIC TONE TWO DOTS BELOW (U+1CDE)"
"U+1CDF", "\xe1\xb3\x9f", "VEDIC TONE THREE DOTS BELOW (U+1CDF)"
"U+1CE0", "\xe1\xb3\xa0", "VEDIC TONE RIGVEDIC KASHMIRI INDEPENDENT SVARITA (U+1CE0)"
"U+1CE1", "\xe1\xb3\xa1", "VEDIC TONE ATHARVAVEDIC INDEPENDENT SVARITA (U+1CE1)"
"U+1CE2", "\xe1\xb3\xa2", "VEDIC SIGN VISARGA SVARITA (U+1CE2)"
"U+1CE3", "\xe1\xb3\xa3", "VEDIC SIGN VISARGA UDATTA (U+1CE3)"
"U+1CE4", "\xe1\xb3\xa4", "VEDIC SIGN REVERSED VISARGA UDATTA (U+1CE4)"
"U+1CE5", "\xe1\xb3\xa5", "VEDIC SIGN VISARGA ANUDATTA (U+1CE5)"
"U+1CE6", "\xe1\xb3\xa6", "VEDIC SIGN REVERSED VISARGA ANUDATTA (U+1CE6)"
"U+1CE7", "\xe1\xb3\xa7", "VEDIC SIGN VISARGA UDATTA WITH TAIL (U+1CE7)"
"U+1CE8", "\xe1\xb3\xa8", "VEDIC SIGN VISARGA ANUDATTA WITH TAIL (U+1CE8)"
"U+1CE9", "\xe1\xb3\xa9", "VEDIC SIGN ANUSVARA ANTARGOMUKHA (U+1CE9)"
"U+1CEA", "\xe1\xb3\xaa", "VEDIC SIGN ANUSVARA BAHIRGOMUKHA (U+1CEA)"
"U+1CEB", "\xe1\xb3\xab", "VEDIC SIGN ANUSVARA VAMAGOMUKHA (U+1CEB)"
"U+1CEC", "\xe1\xb3\xac", "VEDIC SIGN ANUSVARA VAMAGOMUKHA WITH TAIL (U+1CEC)"
"U+1CED", "\xe1\xb3\xad", "VEDIC SIGN TIRYAK (U+1CED)"
"U+1CEE", "\xe1\xb3\xae", "VEDIC SIGN HEXIFORM LONG ANUSVARA (U+1CEE)"
"U+1CEF", "\xe1\xb3\xaf", "VEDIC SIGN LONG ANUSVARA (U+1CEF)"
"U+1CF0", "\xe1\xb3\xb0", "VEDIC SIGN RTHANG LONG ANUSVARA (U+1CF0)"
"U+1CF1", "\xe1\xb3\xb1", "VEDIC SIGN ANUSVARA UBHAYATO MUKHA (U+1CF1)"
"U+1CF2", "\xe1\xb3\xb2", "VEDIC SIGN ARDHAVISARGA (U+1CF2)"
"U+1CF3", "\xe1\xb3\xb3", "VEDIC SIGN ROTATED ARDHAVISARGA (U+1CF3)"
"U+1CF4", "\xe1\xb3\xb4", "VEDIC TONE CANDRA ABOVE (U+1CF4)"
"U+1CF5", "\xe1\xb3\xb5", "VEDIC SIGN JIHVAMULIYA (U+1CF5)"
"U+1CF6", "\xe1\xb3\xb6", "VEDIC SIGN UPADHMANIYA (U+1CF6)"
