# Unicode Characters in the Byzantine Musical Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/byzantine_musical_symbols/list.htm
"U+1D000", "\xe1\xb4\x80\x30", "BYZANTINE MUSICAL SYMBOL PSILI (U+1D000)"
"U+1D001", "\xe1\xb4\x80\x31", "BYZANTINE MUSICAL SYMBOL DASEIA (U+1D001)"
"U+1D002", "\xe1\xb4\x80\x32", "BYZANTINE MUSICAL SYMBOL PERISPOMENI (U+1D002)"
"U+1D003", "\xe1\xb4\x80\x33", "BYZANTINE MUSICAL SYMBOL OXEIA EKFONITIKON (U+1D003)"
"U+1D004", "\xe1\xb4\x80\x34", "BYZANTINE MUSICAL SYMBOL OXEIA DIPLI (U+1D004)"
"U+1D005", "\xe1\xb4\x80\x35", "BYZANTINE MUSICAL SYMBOL VAREIA EKFONITIKON (U+1D005)"
"U+1D006", "\xe1\xb4\x80\x36", "BYZANTINE MUSICAL SYMBOL VAREIA DIPLI (U+1D006)"
"U+1D007", "\xe1\xb4\x80\x37", "BYZANTINE MUSICAL SYMBOL KATHISTI (U+1D007)"
"U+1D008", "\xe1\xb4\x80\x38", "BYZANTINE MUSICAL SYMBOL SYRMATIKI (U+1D008)"
"U+1D009", "\xe1\xb4\x80\x39", "BYZANTINE MUSICAL SYMBOL PARAKLITIKI (U+1D009)"
"U+1D00A", "\xe1\xb4\x80\x41", "BYZANTINE MUSICAL SYMBOL YPOKRISIS (U+1D00A)"
"U+1D00B", "\xe1\xb4\x80\x42", "BYZANTINE MUSICAL SYMBOL YPOKRISIS DIPLI (U+1D00B)"
"U+1D00C", "\xe1\xb4\x80\x43", "BYZANTINE MUSICAL SYMBOL KREMASTI (U+1D00C)"
"U+1D00D", "\xe1\xb4\x80\x44", "BYZANTINE MUSICAL SYMBOL APESO EKFONITIKON (U+1D00D)"
"U+1D00E", "\xe1\xb4\x80\x45", "BYZANTINE MUSICAL SYMBOL EXO EKFONITIKON (U+1D00E)"
"U+1D00F", "\xe1\xb4\x80\x46", "BYZANTINE MUSICAL SYMBOL TELEIA (U+1D00F)"
"U+1D010", "\xe1\xb4\x81\x30", "BYZANTINE MUSICAL SYMBOL KENTIMATA (U+1D010)"
"U+1D011", "\xe1\xb4\x81\x31", "BYZANTINE MUSICAL SYMBOL APOSTROFOS (U+1D011)"
"U+1D012", "\xe1\xb4\x81\x32", "BYZANTINE MUSICAL SYMBOL APOSTROFOS DIPLI (U+1D012)"
"U+1D013", "\xe1\xb4\x81\x33", "BYZANTINE MUSICAL SYMBOL SYNEVMA (U+1D013)"
"U+1D014", "\xe1\xb4\x81\x34", "BYZANTINE MUSICAL SYMBOL THITA (U+1D014)"
"U+1D015", "\xe1\xb4\x81\x35", "BYZANTINE MUSICAL SYMBOL OLIGON ARCHAION (U+1D015)"
"U+1D016", "\xe1\xb4\x81\x36", "BYZANTINE MUSICAL SYMBOL GORGON ARCHAION (U+1D016)"
"U+1D017", "\xe1\xb4\x81\x37", "BYZANTINE MUSICAL SYMBOL PSILON (U+1D017)"
"U+1D018", "\xe1\xb4\x81\x38", "BYZANTINE MUSICAL SYMBOL CHAMILON (U+1D018)"
"U+1D019", "\xe1\xb4\x81\x39", "BYZANTINE MUSICAL SYMBOL VATHY (U+1D019)"
"U+1D01A", "\xe1\xb4\x81\x41", "BYZANTINE MUSICAL SYMBOL ISON ARCHAION (U+1D01A)"
"U+1D01B", "\xe1\xb4\x81\x42", "BYZANTINE MUSICAL SYMBOL KENTIMA ARCHAION (U+1D01B)"
