# Unicode Characters in the Musical Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/musical_symbols/list.htm
"U+1D100", "\xe1\xb4\x90\x30", "MUSICAL SYMBOL SINGLE BARLINE (U+1D100)"
"U+1D101", "\xe1\xb4\x90\x31", "MUSICAL SYMBOL DOUBLE BARLINE (U+1D101)"
"U+1D102", "\xe1\xb4\x90\x32", "MUSICAL SYMBOL FINAL BARLINE (U+1D102)"
"U+1D103", "\xe1\xb4\x90\x33", "MUSICAL SYMBOL REVERSE FINAL BARLINE (U+1D103)"
"U+1D104", "\xe1\xb4\x90\x34", "MUSICAL SYMBOL DASHED BARLINE (U+1D104)"
"U+1D105", "\xe1\xb4\x90\x35", "MUSICAL SYMBOL SHORT BARLINE (U+1D105)"
"U+1D106", "\xe1\xb4\x90\x36", "MUSICAL SYMBOL LEFT REPEAT SIGN (U+1D106)"
"U+1D107", "\xe1\xb4\x90\x37", "MUSICAL SYMBOL RIGHT REPEAT SIGN (U+1D107)"
"U+1D108", "\xe1\xb4\x90\x38", "MUSICAL SYMBOL REPEAT DOTS (U+1D108)"
"U+1D109", "\xe1\xb4\x90\x39", "MUSICAL SYMBOL DAL SEGNO (U+1D109)"
"U+1D10A", "\xe1\xb4\x90\x41", "MUSICAL SYMBOL DA CAPO (U+1D10A)"
"U+1D10B", "\xe1\xb4\x90\x42", "MUSICAL SYMBOL SEGNO (U+1D10B)"
"U+1D10C", "\xe1\xb4\x90\x43", "MUSICAL SYMBOL CODA (U+1D10C)"
"U+1D10D", "\xe1\xb4\x90\x44", "MUSICAL SYMBOL REPEATED FIGURE-1 (U+1D10D)"
"U+1D10E", "\xe1\xb4\x90\x45", "MUSICAL SYMBOL REPEATED FIGURE-2 (U+1D10E)"
"U+1D10F", "\xe1\xb4\x90\x46", "MUSICAL SYMBOL REPEATED FIGURE-3 (U+1D10F)"
"U+1D110", "\xe1\xb4\x91\x30", "MUSICAL SYMBOL FERMATA (U+1D110)"
"U+1D111", "\xe1\xb4\x91\x31", "MUSICAL SYMBOL FERMATA BELOW (U+1D111)"
"U+1D112", "\xe1\xb4\x91\x32", "MUSICAL SYMBOL BREATH MARK (U+1D112)"
"U+1D113", "\xe1\xb4\x91\x33", "MUSICAL SYMBOL CAESURA (U+1D113)"
"U+1D114", "\xe1\xb4\x91\x34", "MUSICAL SYMBOL BRACE (U+1D114)"
"U+1D115", "\xe1\xb4\x91\x35", "MUSICAL SYMBOL BRACKET (U+1D115)"
"U+1D116", "\xe1\xb4\x91\x36", "MUSICAL SYMBOL ONE-LINE STAFF (U+1D116)"
"U+1D117", "\xe1\xb4\x91\x37", "MUSICAL SYMBOL TWO-LINE STAFF (U+1D117)"
"U+1D118", "\xe1\xb4\x91\x38", "MUSICAL SYMBOL THREE-LINE STAFF (U+1D118)"
"U+1D119", "\xe1\xb4\x91\x39", "MUSICAL SYMBOL FOUR-LINE STAFF (U+1D119)"
"U+1D11A", "\xe1\xb4\x91\x41", "MUSICAL SYMBOL FIVE-LINE STAFF (U+1D11A)"
"U+1D11B", "\xe1\xb4\x91\x42", "MUSICAL SYMBOL SIX-LINE STAFF (U+1D11B)"
"U+1D11C", "\xe1\xb4\x91\x43", "MUSICAL SYMBOL SIX-STRING FRETBOARD (U+1D11C)"
"U+1D11D", "\xe1\xb4\x91\x44", "MUSICAL SYMBOL FOUR-STRING FRETBOARD (U+1D11D)"
"U+1D11E", "\xe1\xb4\x91\x45", "MUSICAL SYMBOL G CLEF (U+1D11E)"
"U+1D11F", "\xe1\xb4\x91\x46", "MUSICAL SYMBOL G CLEF OTTAVA ALTA (U+1D11F)"
"U+1D120", "\xe1\xb4\x92\x30", "MUSICAL SYMBOL G CLEF OTTAVA BASSA (U+1D120)"
"U+1D121", "\xe1\xb4\x92\x31", "MUSICAL SYMBOL C CLEF (U+1D121)"
"U+1D122", "\xe1\xb4\x92\x32", "MUSICAL SYMBOL F CLEF (U+1D122)"
"U+1D123", "\xe1\xb4\x92\x33", "MUSICAL SYMBOL F CLEF OTTAVA ALTA (U+1D123)"
"U+1D124", "\xe1\xb4\x92\x34", "MUSICAL SYMBOL F CLEF OTTAVA BASSA (U+1D124)"
"U+1D125", "\xe1\xb4\x92\x35", "MUSICAL SYMBOL DRUM CLEF-1 (U+1D125)"
"U+1D126", "\xe1\xb4\x92\x36", "MUSICAL SYMBOL DRUM CLEF-2 (U+1D126)"
"U+1D129", "\xe1\xb4\x92\x39", "MUSICAL SYMBOL MULTIPLE MEASURE REST (U+1D129)"
"U+1D12A", "\xe1\xb4\x92\x41", "MUSICAL SYMBOL DOUBLE SHARP (U+1D12A)"
"U+1D12B", "\xe1\xb4\x92\x42", "MUSICAL SYMBOL DOUBLE FLAT (U+1D12B)"
"U+1D12C", "\xe1\xb4\x92\x43", "MUSICAL SYMBOL FLAT UP (U+1D12C)"
"U+1D12D", "\xe1\xb4\x92\x44", "MUSICAL SYMBOL FLAT DOWN (U+1D12D)"
"U+1D12E", "\xe1\xb4\x92\x45", "MUSICAL SYMBOL NATURAL UP (U+1D12E)"
"U+1D12F", "\xe1\xb4\x92\x46", "MUSICAL SYMBOL NATURAL DOWN (U+1D12F)"
"U+1D130", "\xe1\xb4\x93\x30", "MUSICAL SYMBOL SHARP UP (U+1D130)"
"U+1D131", "\xe1\xb4\x93\x31", "MUSICAL SYMBOL SHARP DOWN (U+1D131)"
"U+1D132", "\xe1\xb4\x93\x32", "MUSICAL SYMBOL QUARTER TONE SHARP (U+1D132)"
"U+1D133", "\xe1\xb4\x93\x33", "MUSICAL SYMBOL QUARTER TONE FLAT (U+1D133)"
"U+1D134", "\xe1\xb4\x93\x34", "MUSICAL SYMBOL COMMON TIME (U+1D134)"
"U+1D135", "\xe1\xb4\x93\x35", "MUSICAL SYMBOL CUT TIME (U+1D135)"
"U+1D136", "\xe1\xb4\x93\x36", "MUSICAL SYMBOL OTTAVA ALTA (U+1D136)"
"U+1D137", "\xe1\xb4\x93\x37", "MUSICAL SYMBOL OTTAVA BASSA (U+1D137)"
"U+1D138", "\xe1\xb4\x93\x38", "MUSICAL SYMBOL QUINDICESIMA ALTA (U+1D138)"
