# Unicode Characters in the Ancient Greek Musical Notation Block
# Source: http://www.fileformat.info/info/unicode/block/ancient_greek_musical_notation/list.htm
"U+1D200", "\xe1\xb4\xa0\x30", "GREEK VOCAL NOTATION SYMBOL-1 (U+1D200)"
"U+1D201", "\xe1\xb4\xa0\x31", "GREEK VOCAL NOTATION SYMBOL-2 (U+1D201)"
"U+1D202", "\xe1\xb4\xa0\x32", "GREEK VOCAL NOTATION SYMBOL-3 (U+1D202)"
"U+1D203", "\xe1\xb4\xa0\x33", "GREEK VOCAL NOTATION SYMBOL-4 (U+1D203)"
"U+1D204", "\xe1\xb4\xa0\x34", "GREEK VOCAL NOTATION SYMBOL-5 (U+1D204)"
"U+1D205", "\xe1\xb4\xa0\x35", "GREEK VOCAL NOTATION SYMBOL-6 (U+1D205)"
"U+1D206", "\xe1\xb4\xa0\x36", "GREEK VOCAL NOTATION SYMBOL-7 (U+1D206)"
"U+1D207", "\xe1\xb4\xa0\x37", "GREEK VOCAL NOTATION SYMBOL-8 (U+1D207)"
"U+1D208", "\xe1\xb4\xa0\x38", "GREEK VOCAL NOTATION SYMBOL-9 (U+1D208)"
"U+1D209", "\xe1\xb4\xa0\x39", "GREEK VOCAL NOTATION SYMBOL-10 (U+1D209)"
"U+1D20A", "\xe1\xb4\xa0\x41", "GREEK VOCAL NOTATION SYMBOL-11 (U+1D20A)"
"U+1D20B", "\xe1\xb4\xa0\x42", "GREEK VOCAL NOTATION SYMBOL-12 (U+1D20B)"
"U+1D20C", "\xe1\xb4\xa0\x43", "GREEK VOCAL NOTATION SYMBOL-13 (U+1D20C)"
"U+1D20D", "\xe1\xb4\xa0\x44", "GREEK VOCAL NOTATION SYMBOL-14 (U+1D20D)"
"U+1D20E", "\xe1\xb4\xa0\x45", "GREEK VOCAL NOTATION SYMBOL-15 (U+1D20E)"
"U+1D20F", "\xe1\xb4\xa0\x46", "GREEK VOCAL NOTATION SYMBOL-16 (U+1D20F)"
"U+1D210", "\xe1\xb4\xa1\x30", "GREEK VOCAL NOTATION SYMBOL-17 (U+1D210)"
"U+1D211", "\xe1\xb4\xa1\x31", "GREEK VOCAL NOTATION SYMBOL-18 (U+1D211)"
"U+1D212", "\xe1\xb4\xa1\x32", "GREEK VOCAL NOTATION SYMBOL-19 (U+1D212)"
"U+1D213", "\xe1\xb4\xa1\x33", "GREEK VOCAL NOTATION SYMBOL-20 (U+1D213)"
"U+1D214", "\xe1\xb4\xa1\x34", "GREEK VOCAL NOTATION SYMBOL-21 (U+1D214)"
"U+1D215", "\xe1\xb4\xa1\x35", "GREEK VOCAL NOTATION SYMBOL-22 (U+1D215)"
"U+1D216", "\xe1\xb4\xa1\x36", "GREEK VOCAL NOTATION SYMBOL-23 (U+1D216)"
"U+1D217", "\xe1\xb4\xa1\x37", "GREEK VOCAL NOTATION SYMBOL-24 (U+1D217)"
"U+1D218", "\xe1\xb4\xa1\x38", "GREEK VOCAL NOTATION SYMBOL-50 (U+1D218)"
"U+1D219", "\xe1\xb4\xa1\x39", "GREEK VOCAL NOTATION SYMBOL-51 (U+1D219)"
"U+1D21A", "\xe1\xb4\xa1\x41", "GREEK VOCAL NOTATION SYMBOL-52 (U+1D21A)"
"U+1D21B", "\xe1\xb4\xa1\x42", "GREEK VOCAL NOTATION SYMBOL-53 (U+1D21B)"
"U+1D21C", "\xe1\xb4\xa1\x43", "GREEK VOCAL NOTATION SYMBOL-54 (U+1D21C)"
"U+1D21D", "\xe1\xb4\xa1\x44", "GREEK INSTRUMENTAL NOTATION SYMBOL-1 (U+1D21D)"
"U+1D21E", "\xe1\xb4\xa1\x45", "GREEK INSTRUMENTAL NOTATION SYMBOL-2 (U+1D21E)"
"U+1D21F", "\xe1\xb4\xa1\x46", "GREEK INSTRUMENTAL NOTATION SYMBOL-4 (U+1D21F)"
"U+1D220", "\xe1\xb4\xa2\x30", "GREEK INSTRUMENTAL NOTATION SYMBOL-5 (U+1D220)"
"U+1D221", "\xe1\xb4\xa2\x31", "GREEK INSTRUMENTAL NOTATION SYMBOL-7 (U+1D221)"
"U+1D222", "\xe1\xb4\xa2\x32", "GREEK INSTRUMENTAL NOTATION SYMBOL-8 (U+1D222)"
"U+1D223", "\xe1\xb4\xa2\x33", "GREEK INSTRUMENTAL NOTATION SYMBOL-11 (U+1D223)"
"U+1D224", "\xe1\xb4\xa2\x34", "GREEK INSTRUMENTAL NOTATION SYMBOL-12 (U+1D224)"
"U+1D225", "\xe1\xb4\xa2\x35", "GREEK INSTRUMENTAL NOTATION SYMBOL-13 (U+1D225)"
"U+1D226", "\xe1\xb4\xa2\x36", "GREEK INSTRUMENTAL NOTATION SYMBOL-14 (U+1D226)"
"U+1D227", "\xe1\xb4\xa2\x37", "GREEK INSTRUMENTAL NOTATION SYMBOL-17 (U+1D227)"
"U+1D228", "\xe1\xb4\xa2\x38", "GREEK INSTRUMENTAL NOTATION SYMBOL-18 (U+1D228)"
"U+1D229", "\xe1\xb4\xa2\x39", "GREEK INSTRUMENTAL NOTATION SYMBOL-19 (U+1D229)"
