# Unicode Characters in the Counting Rod Numerals Block
# Source: http://www.fileformat.info/info/unicode/block/counting_rod_numerals/list.htm
"U+1D360", "\xe1\xb4\xb6\x30", "COUNTING ROD UNIT DIGIT ONE (U+1D360)"
"U+1D361", "\xe1\xb4\xb6\x31", "COUNTING ROD UNIT DIGIT TWO (U+1D361)"
"U+1D362", "\xe1\xb4\xb6\x32", "COUNTING ROD UNIT DIGIT THREE (U+1D362)"
"U+1D363", "\xe1\xb4\xb6\x33", "COUNTING ROD UNIT DIGIT FOUR (U+1D363)"
"U+1D364", "\xe1\xb4\xb6\x34", "COUNTING ROD UNIT DIGIT FIVE (U+1D364)"
"U+1D365", "\xe1\xb4\xb6\x35", "COUNTING ROD UNIT DIGIT SIX (U+1D365)"
"U+1D366", "\xe1\xb4\xb6\x36", "COUNTING ROD UNIT DIGIT SEVEN (U+1D366)"
"U+1D367", "\xe1\xb4\xb6\x37", "COUNTING ROD UNIT DIGIT EIGHT (U+1D367)"
"U+1D368", "\xe1\xb4\xb6\x38", "COUNTING ROD UNIT DIGIT NINE (U+1D368)"
"U+1D369", "\xe1\xb4\xb6\x39", "COUNTING ROD TENS DIGIT ONE (U+1D369)"
"U+1D36A", "\xe1\xb4\xb6\x41", "COUNTING ROD TENS DIGIT TWO (U+1D36A)"
"U+1D36B", "\xe1\xb4\xb6\x42", "COUNTING ROD TENS DIGIT THREE (U+1D36B)"
"U+1D36C", "\xe1\xb4\xb6\x43", "COUNTING ROD TENS DIGIT FOUR (U+1D36C)"
"U+1D36D", "\xe1\xb4\xb6\x44", "COUNTING ROD TENS DIGIT FIVE (U+1D36D)"
"U+1D36E", "\xe1\xb4\xb6\x45", "COUNTING ROD TENS DIGIT SIX (U+1D36E)"
"U+1D36F", "\xe1\xb4\xb6\x46", "COUNTING ROD TENS DIGIT SEVEN (U+1D36F)"
"U+1D370", "\xe1\xb4\xb7\x30", "COUNTING ROD TENS DIGIT EIGHT (U+1D370)"
"U+1D371", "\xe1\xb4\xb7\x31", "COUNTING ROD TENS DIGIT NINE (U+1D371)"
