# Unicode Characters in the Phonetic Extensions Supplement Block
# Source: http://www.fileformat.info/info/unicode/block/phonetic_extensions_supplement/list.htm
"U+1D80", "\xe1\xb6\x80", "LATIN SMALL LETTER B WITH PALATAL HOOK (U+1D80)"
"U+1D81", "\xe1\xb6\x81", "LATIN SMALL LETTER D WITH PALATAL HOOK (U+1D81)"
"U+1D82", "\xe1\xb6\x82", "LATIN SMALL LETTER F WITH PALATAL HOOK (U+1D82)"
"U+1D83", "\xe1\xb6\x83", "LATIN SMALL LETTER G WITH PALATAL HOOK (U+1D83)"
"U+1D84", "\xe1\xb6\x84", "LATIN SMALL LETTER K WITH PALATAL HOOK (U+1D84)"
"U+1D85", "\xe1\xb6\x85", "LATIN SMALL LETTER L WITH PALATAL HOOK (U+1D85)"
"U+1D86", "\xe1\xb6\x86", "LATIN SMALL LETTER M WITH PALATAL HOOK (U+1D86)"
"U+1D87", "\xe1\xb6\x87", "LATIN SMALL LETTER N WITH PALATAL HOOK (U+1D87)"
"U+1D88", "\xe1\xb6\x88", "LATIN SMALL LETTER P WITH PALATAL HOOK (U+1D88)"
"U+1D89", "\xe1\xb6\x89", "LATIN SMALL LETTER R WITH PALATAL HOOK (U+1D89)"
"U+1D8A", "\xe1\xb6\x8a", "LATIN SMALL LETTER S WITH PALATAL HOOK (U+1D8A)"
"U+1D8B", "\xe1\xb6\x8b", "LATIN SMALL LETTER ESH WITH PALATAL HOOK (U+1D8B)"
"U+1D8C", "\xe1\xb6\x8c", "LATIN SMALL LETTER V WITH PALATAL HOOK (U+1D8C)"
"U+1D8D", "\xe1\xb6\x8d", "LATIN SMALL LETTER X WITH PALATAL HOOK (U+1D8D)"
"U+1D8E", "\xe1\xb6\x8e", "LATIN SMALL LETTER Z WITH PALATAL HOOK (U+1D8E)"
"U+1D8F", "\xe1\xb6\x8f", "LATIN SMALL LETTER A WITH RETROFLEX HOOK (U+1D8F)"
"U+1D90", "\xe1\xb6\x90", "LATIN SMALL LETTER ALPHA WITH RETROFLEX HOOK (U+1D90)"
"U+1D91", "\xe1\xb6\x91", "LATIN SMALL LETTER D WITH HOOK AND TAIL (U+1D91)"
