# Unicode Characters in the Combining Diacritical Marks Supplement Block
# Source: http://www.fileformat.info/info/unicode/block/combining_diacritical_marks_supplement/list.htm
"U+1DC0", "\xe1\xb7\x80", "COMBINING DOTTED GRAVE ACCENT (U+1DC0)"
"U+1DC1", "\xe1\xb7\x81", "COMBINING DOTTED ACUTE ACCENT (U+1DC1)"
"U+1DC2", "\xe1\xb7\x82", "COMBINING SNAKE BELOW (U+1DC2)"
"U+1DC3", "\xe1\xb7\x83", "COMBINING SUSPENSION MARK (U+1DC3)"
"U+1DC4", "\xe1\xb7\x84", "COMBINING MACRON-ACUTE (U+1DC4)"
"U+1DC5", "\xe1\xb7\x85", "COMBINING GRAVE-MACRON (U+1DC5)"
"U+1DC6", "\xe1\xb7\x86", "COMBINING MACRON-GRAVE (U+1DC6)"
"U+1DC7", "\xe1\xb7\x87", "COMBINING ACUTE-MACRON (U+1DC7)"
"U+1DC8", "\xe1\xb7\x88", "COMBINING GRAVE-ACUTE-GRAVE (U+1DC8)"
"U+1DC9", "\xe1\xb7\x89", "COMBINING ACUTE-GRAVE-ACUTE (U+1DC9)"
"U+1DCA", "\xe1\xb7\x8a", "COMBINING LATIN SMALL LETTER R BELOW (U+1DCA)"
"U+1DCB", "\xe1\xb7\x8b", "COMBINING BREVE-MACRON (U+1DCB)"
"U+1DCC", "\xe1\xb7\x8c", "COMBINING MACRON-BREVE (U+1DCC)"
"U+1DCD", "\xe1\xb7\x8d", "COMBINING DOUBLE CIRCUMFLEX ABOVE (U+1DCD)"
"U+1DCE", "\xe1\xb7\x8e", "COMBINING OGONEK ABOVE (U+1DCE)"
"U+1DCF", "\xe1\xb7\x8f", "COMBINING ZIGZAG BELOW (U+1DCF)"
"U+1DD0", "\xe1\xb7\x90", "COMBINING IS BELOW (U+1DD0)"
"U+1DD1", "\xe1\xb7\x91", "COMBINING UR ABOVE (U+1DD1)"
"U+1DD2", "\xe1\xb7\x92", "COMBINING US ABOVE (U+1DD2)"
"U+1DD3", "\xe1\xb7\x93", "COMBINING LATIN SMALL LETTER FLATTENED OPEN A ABOVE (U+1DD3)"
"U+1DD4", "\xe1\xb7\x94", "COMBINING LATIN SMALL LETTER AE (U+1DD4)"
"U+1DD5", "\xe1\xb7\x95", "COMBINING LATIN SMALL LETTER AO (U+1DD5)"
"U+1DD6", "\xe1\xb7\x96", "COMBINING LATIN SMALL LETTER AV (U+1DD6)"
"U+1DD7", "\xe1\xb7\x97", "COMBINING LATIN SMALL LETTER C CEDILLA (U+1DD7)"
"U+1DD8", "\xe1\xb7\x98", "COMBINING LATIN SMALL LETTER INSULAR D (U+1DD8)"
"U+1DD9", "\xe1\xb7\x99", "COMBINING LATIN SMALL LETTER ETH (U+1DD9)"
"U+1DDA", "\xe1\xb7\x9a", "COMBINING LATIN SMALL LETTER G (U+1DDA)"
"U+1DDB", "\xe1\xb7\x9b", "COMBINING LATIN LETTER SMALL CAPITAL G (U+1DDB)"
"U+1DDC", "\xe1\xb7\x9c", "COMBINING LATIN SMALL LETTER K (U+1DDC)"
"U+1DDD", "\xe1\xb7\x9d", "COMBINING LATIN SMALL LETTER L (U+1DDD)"
"U+1DDE", "\xe1\xb7\x9e", "COMBINING LATIN LETTER SMALL CAPITAL L (U+1DDE)"
"U+1DDF", "\xe1\xb7\x9f", "COMBINING LATIN LETTER SMALL CAPITAL M (U+1DDF)"
"U+1DE0", "\xe1\xb7\xa0", "COMBINING LATIN SMALL LETTER N (U+1DE0)"
"U+1DE1", "\xe1\xb7\xa1", "COMBINING LATIN LETTER SMALL CAPITAL N (U+1DE1)"
"U+1DE2", "\xe1\xb7\xa2", "COMBINING LATIN LETTER SMALL CAPITAL R (U+1DE2)"
"U+1DE3", "\xe1\xb7\xa3", "COMBINING LATIN SMALL LETTER R ROTUNDA (U+1DE3)"
"U+1DE4", "\xe1\xb7\xa4", "COMBINING LATIN SMALL LETTER S (U+1DE4)"
"U+1DE5", "\xe1\xb7\xa5", "COMBINING LATIN SMALL LETTER LONG S (U+1DE5)"
"U+1DE6", "\xe1\xb7\xa6", "COMBINING LATIN SMALL LETTER Z (U+1DE6)"
"U+1DFC", "\xe1\xb7\xbc", "COMBINING DOUBLE INVERTED BREVE BELOW (U+1DFC)"
"U+1DFD", "\xe1\xb7\xbd", "COMBINING ALMOST EQUAL TO BELOW (U+1DFD)"
"U+1DFE", "\xe1\xb7\xbe", "COMBINING LEFT ARROWHEAD ABOVE (U+1DFE)"
"U+1DFF", "\xe1\xb7\xbf", "COMBINING RIGHT ARROWHEAD AND DOWN ARROWHEAD BELOW (U+1DFF)"
