# Unicode Characters in the Latin Extended Additional Block
# Source: http://www.fileformat.info/info/unicode/block/latin_extended_additional/list.htm
"U+1E00", "\xe1\xb8\x80", "LATIN CAPITAL LETTER A WITH RING BELOW (U+1E00)"
"U+1E01", "\xe1\xb8\x81", "LATIN SMALL LETTER A WITH RING BELOW (U+1E01)"
"U+1E02", "\xe1\xb8\x82", "LATIN CAPITAL LETTER B WITH DOT ABOVE (U+1E02)"
"U+1E03", "\xe1\xb8\x83", "LATIN SMALL LETTER B WITH DOT ABOVE (U+1E03)"
"U+1E04", "\xe1\xb8\x84", "LATIN CAPITAL LETTER B WITH DOT BELOW (U+1E04)"
"U+1E05", "\xe1\xb8\x85", "LATIN SMALL LETTER B WITH DOT BELOW (U+1E05)"
"U+1E06", "\xe1\xb8\x86", "LATIN CAPITAL LETTER B WITH LINE BELOW (U+1E06)"
"U+1E07", "\xe1\xb8\x87", "LATIN SMALL LETTER B WITH LINE BELOW (U+1E07)"
"U+1E08", "\xe1\xb8\x88", "LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE (U+1E08)"
"U+1E09", "\xe1\xb8\x89", "LATIN SMALL LETTER C WITH CEDILLA AND ACUTE (U+1E09)"
"U+1E0A", "\xe1\xb8\x8a", "LATIN CAPITAL LETTER D WITH DOT ABOVE (U+1E0A)"
"U+1E0B", "\xe1\xb8\x8b", "LATIN SMALL LETTER D WITH DOT ABOVE (U+1E0B)"
"U+1E0C", "\xe1\xb8\x8c", "LATIN CAPITAL LETTER D WITH DOT BELOW (U+1E0C)"
"U+1E0D", "\xe1\xb8\x8d", "LATIN SMALL LETTER D WITH DOT BELOW (U+1E0D)"
"U+1E0E", "\xe1\xb8\x8e", "LATIN CAPITAL LETTER D WITH LINE BELOW (U+1E0E)"
"U+1E0F", "\xe1\xb8\x8f", "LATIN SMALL LETTER D WITH LINE BELOW (U+1E0F)"
"U+1E10", "\xe1\xb8\x90", "LATIN CAPITAL LETTER D WITH CEDILLA (U+1E10)"
"U+1E11", "\xe1\xb8\x91", "LATIN SMALL LETTER D WITH CEDILLA (U+1E11)"
