# Unicode Characters in the Arabic Mathematical Alphabetic Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/arabic_mathematical_alphabetic_symbols/list.htm
"U+1EE00", "\xe1\xbb\xa0\x30", "ARABIC MATHEMATICAL ALEF (U+1EE00)"
"U+1EE01", "\xe1\xbb\xa0\x31", "ARABIC MATHEMATICAL BEH (U+1EE01)"
"U+1EE02", "\xe1\xbb\xa0\x32", "ARABIC MATHEMATICAL JEEM (U+1EE02)"
"U+1EE03", "\xe1\xbb\xa0\x33", "ARABIC MATHEMATICAL DAL (U+1EE03)"
"U+1EE05", "\xe1\xbb\xa0\x35", "ARABIC MATHEMATICAL WAW (U+1EE05)"
"U+1EE06", "\xe1\xbb\xa0\x36", "ARABIC MATHEMATICAL ZAIN (U+1EE06)"
"U+1EE07", "\xe1\xbb\xa0\x37", "ARABIC MATHEMATICAL HAH (U+1EE07)"
"U+1EE08", "\xe1\xbb\xa0\x38", "ARABIC MATHEMATICAL TAH (U+1EE08)"
"U+1EE09", "\xe1\xbb\xa0\x39", "ARABIC MATHEMATICAL YEH (U+1EE09)"
"U+1EE0A", "\xe1\xbb\xa0\x41", "ARABIC MATHEMATICAL KAF (U+1EE0A)"
"U+1EE0B", "\xe1\xbb\xa0\x42", "ARABIC MATHEMATICAL LAM (U+1EE0B)"
"U+1EE0C", "\xe1\xbb\xa0\x43", "ARABIC MATHEMATICAL MEEM (U+1EE0C)"
"U+1EE0D", "\xe1\xbb\xa0\x44", "ARABIC MATHEMATICAL NOON (U+1EE0D)"
"U+1EE0E", "\xe1\xbb\xa0\x45", "ARABIC MATHEMATICAL SEEN (U+1EE0E)"
"U+1EE0F", "\xe1\xbb\xa0\x46", "ARABIC MATHEMATICAL AIN (U+1EE0F)"
"U+1EE10", "\xe1\xbb\xa1\x30", "ARABIC MATHEMATICAL FEH (U+1EE10)"
"U+1EE11", "\xe1\xbb\xa1\x31", "ARABIC MATHEMATICAL SAD (U+1EE11)"
"U+1EE12", "\xe1\xbb\xa1\x32", "ARABIC MATHEMATICAL QAF (U+1EE12)"
"U+1EE13", "\xe1\xbb\xa1\x33", "ARABIC MATHEMATICAL REH (U+1EE13)"
"U+1EE14", "\xe1\xbb\xa1\x34", "ARABIC MATHEMATICAL SHEEN (U+1EE14)"
"U+1EE15", "\xe1\xbb\xa1\x35", "ARABIC MATHEMATICAL TEH (U+1EE15)"
"U+1EE16", "\xe1\xbb\xa1\x36", "ARABIC MATHEMATICAL THEH (U+1EE16)"
"U+1EE17", "\xe1\xbb\xa1\x37", "ARABIC MATHEMATICAL KHAH (U+1EE17)"
"U+1EE18", "\xe1\xbb\xa1\x38", "ARABIC MATHEMATICAL THAL (U+1EE18)"
"U+1EE19", "\xe1\xbb\xa1\x39", "ARABIC MATHEMATICAL DAD (U+1EE19)"
"U+1EE1A", "\xe1\xbb\xa1\x41", "ARABIC MATHEMATICAL ZAH (U+1EE1A)"
"U+1EE1B", "\xe1\xbb\xa1\x42", "ARABIC MATHEMATICAL GHAIN (U+1EE1B)"
"U+1EE1C", "\xe1\xbb\xa1\x43", "ARABIC MATHEMATICAL DOTLESS BEH (U+1EE1C)"
"U+1EE1D", "\xe1\xbb\xa1\x44", "ARABIC MATHEMATICAL DOTLESS NOON (U+1EE1D)"
"U+1EE1E", "\xe1\xbb\xa1\x45", "ARABIC MATHEMATICAL DOTLESS FEH (U+1EE1E)"
"U+1EE1F", "\xe1\xbb\xa1\x46", "ARABIC MATHEMATICAL DOTLESS QAF (U+1EE1F)"
"U+1EE21", "\xe1\xbb\xa2\x31", "ARABIC MATHEMATICAL INITIAL BEH (U+1EE21)"
"U+1EE22", "\xe1\xbb\xa2\x32", "ARABIC MATHEMATICAL INITIAL JEEM (U+1EE22)"
"U+1EE24", "\xe1\xbb\xa2\x34", "ARABIC MATHEMATICAL INITIAL HEH (U+1EE24)"
"U+1EE27", "\xe1\xbb\xa2\x37", "ARABIC MATHEMATICAL INITIAL HAH (U+1EE27)"
"U+1EE29", "\xe1\xbb\xa2\x39", "ARABIC MATHEMATICAL INITIAL YEH (U+1EE29)"
"U+1EE2A", "\xe1\xbb\xa2\x41", "ARABIC MATHEMATICAL INITIAL KAF (U+1EE2A)"
"U+1EE2B", "\xe1\xbb\xa2\x42", "ARABIC MATHEMATICAL INITIAL LAM (U+1EE2B)"
"U+1EE2C", "\xe1\xbb\xa2\x43", "ARABIC MATHEMATICAL INITIAL MEEM (U+1EE2C)"
"U+1EE2D", "\xe1\xbb\xa2\x44", "ARABIC MATHEMATICAL INITIAL NOON (U+1EE2D)"
"U+1EE2E", "\xe1\xbb\xa2\x45", "ARABIC MATHEMATICAL INITIAL SEEN (U+1EE2E)"
"U+1EE2F", "\xe1\xbb\xa2\x46", "ARABIC MATHEMATICAL INITIAL AIN (U+1EE2F)"
"U+1EE30", "\xe1\xbb\xa3\x30", "ARABIC MATHEMATICAL INITIAL FEH (U+1EE30)"
"U+1EE31", "\xe1\xbb\xa3\x31", "ARABIC MATHEMATICAL INITIAL SAD (U+1EE31)"
"U+1EE32", "\xe1\xbb\xa3\x32", "ARABIC MATHEMATICAL INITIAL QAF (U+1EE32)"
"U+1EE34", "\xe1\xbb\xa3\x34", "ARABIC MATHEMATICAL INITIAL SHEEN (U+1EE34)"
"U+1EE35", "\xe1\xbb\xa3\x35", "ARABIC MATHEMATICAL INITIAL TEH (U+1EE35)"
"U+1EE36", "\xe1\xbb\xa3\x36", "ARABIC MATHEMATICAL INITIAL THEH (U+1EE36)"
"U+1EE37", "\xe1\xbb\xa3\x37", "ARABIC MATHEMATICAL INITIAL KHAH (U+1EE37)"
"U+1EE39", "\xe1\xbb\xa3\x39", "ARABIC MATHEMATICAL INITIAL DAD (U+1EE39)"
"U+1EE3B", "\xe1\xbb\xa3\x42", "ARABIC MATHEMATICAL INITIAL GHAIN (U+1EE3B)"
"U+1EE42", "\xe1\xbb\xa4\x32", "ARABIC MATHEMATICAL TAILED JEEM (U+1EE42)"
"U+1EE47", "\xe1\xbb\xa4\x37", "ARABIC MATHEMATICAL TAILED HAH (U+1EE47)"
"U+1EE49", "\xe1\xbb\xa4\x39", "ARABIC MATHEMATICAL TAILED YEH (U+1EE49)"
"U+1EE4B", "\xe1\xbb\xa4\x42", "ARABIC MATHEMATICAL TAILED LAM (U+1EE4B)"
"U+1EE4D", "\xe1\xbb\xa4\x44", "ARABIC MATHEMATICAL TAILED NOON (U+1EE4D)"
"U+1EE4E", "\xe1\xbb\xa4\x45", "ARABIC MATHEMATICAL TAILED SEEN (U+1EE4E)"
"U+1EE4F", "\xe1\xbb\xa4\x46", "ARABIC MATHEMATICAL TAILED AIN (U+1EE4F)"
"U+1EE51", "\xe1\xbb\xa5\x31", "ARABIC MATHEMATICAL TAILED SAD (U+1EE51)"
"U+1EE52", "\xe1\xbb\xa5\x32", "ARABIC MATHEMATICAL TAILED QAF (U+1EE52)"
