# Unicode Characters in the Greek Extended Block
# Source: http://www.fileformat.info/info/unicode/block/greek_extended/list.htm
"U+1F00", "\xe1\xbc\x80", "GREEK SMALL LETTER ALPHA WITH PSILI (U+1F00)"
"U+1F01", "\xe1\xbc\x81", "GREEK SMALL LETTER ALPHA WITH DASIA (U+1F01)"
"U+1F02", "\xe1\xbc\x82", "GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA (U+1F02)"
"U+1F03", "\xe1\xbc\x83", "GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA (U+1F03)"
"U+1F04", "\xe1\xbc\x84", "GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA (U+1F04)"
"U+1F05", "\xe1\xbc\x85", "GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA (U+1F05)"
"U+1F06", "\xe1\xbc\x86", "GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI (U+1F06)"
"U+1F07", "\xe1\xbc\x87", "GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI (U+1F07)"
"U+1F08", "\xe1\xbc\x88", "GREEK CAPITAL LETTER ALPHA WITH PSILI (U+1F08)"
"U+1F09", "\xe1\xbc\x89", "GREEK CAPITAL LETTER ALPHA WITH DASIA (U+1F09)"
"U+1F0A", "\xe1\xbc\x8a", "GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA (U+1F0A)"
"U+1F0B", "\xe1\xbc\x8b", "GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA (U+1F0B)"
"U+1F0C", "\xe1\xbc\x8c", "GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA (U+1F0C)"
"U+1F0D", "\xe1\xbc\x8d", "GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA (U+1F0D)"
"U+1F0E", "\xe1\xbc\x8e", "GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI (U+1F0E)"
