# Unicode Characters in the Domino Tiles Block
# Source: http://www.fileformat.info/info/unicode/block/domino_tiles/list.htm
"U+1F030", "\xe1\xbc\x83\x30", "DOMINO TILE HORIZONTAL BACK (U+1F030)"
"U+1F031", "\xe1\xbc\x83\x31", "DOMINO TILE HORIZONTAL-00-00 (U+1F031)"
"U+1F032", "\xe1\xbc\x83\x32", "DOMINO TILE HORIZONTAL-00-01 (U+1F032)"
"U+1F033", "\xe1\xbc\x83\x33", "DOMINO TILE HORIZONTAL-00-02 (U+1F033)"
"U+1F034", "\xe1\xbc\x83\x34", "DOMINO TILE HORIZONTAL-00-03 (U+1F034)"
"U+1F035", "\xe1\xbc\x83\x35", "DOMINO TILE HORIZONTAL-00-04 (U+1F035)"
"U+1F036", "\xe1\xbc\x83\x36", "DOMINO TILE HORIZONTAL-00-05 (U+1F036)"
"U+1F037", "\xe1\xbc\x83\x37", "DOMINO TILE HORIZONTAL-00-06 (U+1F037)"
"U+1F038", "\xe1\xbc\x83\x38", "DOMINO TILE HORIZONTAL-01-00 (U+1F038)"
"U+1F039", "\xe1\xbc\x83\x39", "DOMINO TILE HORIZONTAL-01-01 (U+1F039)"
"U+1F03A", "\xe1\xbc\x83\x41", "DOMINO TILE HORIZONTAL-01-02 (U+1F03A)"
"U+1F03B", "\xe1\xbc\x83\x42", "DOMINO TILE HORIZONTAL-01-03 (U+1F03B)"
"U+1F03C", "\xe1\xbc\x83\x43", "DOMINO TILE HORIZONTAL-01-04 (U+1F03C)"
"U+1F03D", "\xe1\xbc\x83\x44", "DOMINO TILE HORIZONTAL-01-05 (U+1F03D)"
"U+1F03E", "\xe1\xbc\x83\x45", "DOMINO TILE HORIZONTAL-01-06 (U+1F03E)"
"U+1F03F", "\xe1\xbc\x83\x46", "DOMINO TILE HORIZONTAL-02-00 (U+1F03F)"
"U+1F040", "\xe1\xbc\x84\x30", "DOMINO TILE HORIZONTAL-02-01 (U+1F040)"
"U+1F041", "\xe1\xbc\x84\x31", "DOMINO TILE HORIZONTAL-02-02 (U+1F041)"
"U+1F042", "\xe1\xbc\x84\x32", "DOMINO TILE HORIZONTAL-02-03 (U+1F042)"
"U+1F043", "\xe1\xbc\x84\x33", "DOMINO TILE HORIZONTAL-02-04 (U+1F043)"
"U+1F044", "\xe1\xbc\x84\x34", "DOMINO TILE HORIZONTAL-02-05 (U+1F044)"
"U+1F045", "\xe1\xbc\x84\x35", "DOMINO TILE HORIZONTAL-02-06 (U+1F045)"
"U+1F046", "\xe1\xbc\x84\x36", "DOMINO TILE HORIZONTAL-03-00 (U+1F046)"
"U+1F047", "\xe1\xbc\x84\x37", "DOMINO TILE HORIZONTAL-03-01 (U+1F047)"
"U+1F048", "\xe1\xbc\x84\x38", "DOMINO TILE HORIZONTAL-03-02 (U+1F048)"
"U+1F049", "\xe1\xbc\x84\x39", "DOMINO TILE HORIZONTAL-03-03 (U+1F049)"
"U+1F04A", "\xe1\xbc\x84\x41", "DOMINO TILE HORIZONTAL-03-04 (U+1F04A)"
