# Unicode Characters in the Playing Cards Block
# Source: http://www.fileformat.info/info/unicode/block/playing_cards/list.htm
"U+1F0A0", "\xe1\xbc\x8a\x30", "PLAYING CARD BACK (U+1F0A0)"
"U+1F0A1", "\xe1\xbc\x8a\x31", "PLAYING CARD ACE OF SPADES (U+1F0A1)"
"U+1F0A2", "\xe1\xbc\x8a\x32", "PLAYING CARD TWO OF SPADES (U+1F0A2)"
"U+1F0A3", "\xe1\xbc\x8a\x33", "PLAYING CARD THREE OF SPADES (U+1F0A3)"
"U+1F0A4", "\xe1\xbc\x8a\x34", "PLAYING CARD FOUR OF SPADES (U+1F0A4)"
"U+1F0A5", "\xe1\xbc\x8a\x35", "PLAYING CARD FIVE OF SPADES (U+1F0A5)"
"U+1F0A6", "\xe1\xbc\x8a\x36", "PLAYING CARD SIX OF SPADES (U+1F0A6)"
"U+1F0A7", "\xe1\xbc\x8a\x37", "PLAYING CARD SEVEN OF SPADES (U+1F0A7)"
"U+1F0A8", "\xe1\xbc\x8a\x38", "PLAYING CARD EIGHT OF SPADES (U+1F0A8)"
"U+1F0A9", "\xe1\xbc\x8a\x39", "PLAYING CARD NINE OF SPADES (U+1F0A9)"
"U+1F0AA", "\xe1\xbc\x8a\x41", "PLAYING CARD TEN OF SPADES (U+1F0AA)"
"U+1F0AB", "\xe1\xbc\x8a\x42", "PLAYING CARD JACK OF SPADES (U+1F0AB)"
"U+1F0AC", "\xe1\xbc\x8a\x43", "PLAYING CARD KNIGHT OF SPADES (U+1F0AC)"
"U+1F0AD", "\xe1\xbc\x8a\x44", "PLAYING CARD QUEEN OF SPADES (U+1F0AD)"
"U+1F0AE", "\xe1\xbc\x8a\x45", "PLAYING CARD KING OF SPADES (U+1F0AE)"
"U+1F0B1", "\xe1\xbc\x8b\x31", "PLAYING CARD ACE OF HEARTS (U+1F0B1)"
"U+1F0B2", "\xe1\xbc\x8b\x32", "PLAYING CARD TWO OF HEARTS (U+1F0B2)"
"U+1F0B3", "\xe1\xbc\x8b\x33", "PLAYING CARD THREE OF HEARTS (U+1F0B3)"
"U+1F0B4", "\xe1\xbc\x8b\x34", "PLAYING CARD FOUR OF HEARTS (U+1F0B4)"
"U+1F0B5", "\xe1\xbc\x8b\x35", "PLAYING CARD FIVE OF HEARTS (U+1F0B5)"
"U+1F0B6", "\xe1\xbc\x8b\x36", "PLAYING CARD SIX OF HEARTS (U+1F0B6)"
"U+1F0B7", "\xe1\xbc\x8b\x37", "PLAYING CARD SEVEN OF HEARTS (U+1F0B7)"
"U+1F0B8", "\xe1\xbc\x8b\x38", "PLAYING CARD EIGHT OF HEARTS (U+1F0B8)"
"U+1F0B9", "\xe1\xbc\x8b\x39", "PLAYING CARD NINE OF HEARTS (U+1F0B9)"
"U+1F0BA", "\xe1\xbc\x8b\x41", "PLAYING CARD TEN OF HEARTS (U+1F0BA)"
"U+1F0BB", "\xe1\xbc\x8b\x42", "PLAYING CARD JACK OF HEARTS (U+1F0BB)"
"U+1F0BC", "\xe1\xbc\x8b\x43", "PLAYING CARD KNIGHT OF HEARTS (U+1F0BC)"
"U+1F0BD", "\xe1\xbc\x8b\x44", "PLAYING CARD QUEEN OF HEARTS (U+1F0BD)"
"U+1F0BE", "\xe1\xbc\x8b\x45", "PLAYING CARD KING OF HEARTS (U+1F0BE)"
"U+1F0C1", "\xe1\xbc\x8c\x31", "PLAYING CARD ACE OF DIAMONDS (U+1F0C1)"
"U+1F0C2", "\xe1\xbc\x8c\x32", "PLAYING CARD TWO OF DIAMONDS (U+1F0C2)"
"U+1F0C3", "\xe1\xbc\x8c\x33", "PLAYING CARD THREE OF DIAMONDS (U+1F0C3)"
"U+1F0C4", "\xe1\xbc\x8c\x34", "PLAYING CARD FOUR OF DIAMONDS (U+1F0C4)"
"U+1F0C5", "\xe1\xbc\x8c\x35", "PLAYING CARD FIVE OF DIAMONDS (U+1F0C5)"
"U+1F0C6", "\xe1\xbc\x8c\x36", "PLAYING CARD SIX OF DIAMONDS (U+1F0C6)"
